YEAR,PHASE,RESP_PIT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1986,R,aased001,empty,161,153,31,38,5,1,0,0,0,8,0,31,0,0,0,0,0
1986,R,aased001,loaded,11,9,1,1,0,0,0,0,4,1,0,2,1,0,0,1,0
1986,R,aased001,menon,176,151,40,69,7,2,6,0,45,20,2,36,7,0,3,2,0
1986,R,aased001,scoring,106,89,27,42,5,2,2,0,37,14,2,18,4,0,1,2,0
1986,R,ackej001,empty,355,334,95,132,17,1,6,0,6,20,0,38,0,1,0,0,0
1986,R,ackej001,loaded,16,12,5,12,1,0,2,2,16,2,0,3,1,0,0,2,0
1986,R,ackej001,menon,306,255,68,106,9,4,7,2,73,28,6,31,14,2,12,9,0
1986,R,ackej001,scoring,199,163,40,66,7,2,5,2,66,22,6,23,4,1,4,9,0
1986,R,agosj001,empty,52,47,18,21,3,0,0,0,0,5,0,5,0,0,0,0,0
1986,R,agosj001,loaded,7,6,4,5,1,0,0,0,7,1,0,0,0,0,0,0,0
1986,R,agosj001,menon,87,69,31,39,3,1,1,0,26,13,0,7,5,2,2,0,1
1986,R,agosj001,scoring,63,50,22,29,2,1,1,0,25,10,0,6,3,2,1,0,0
1986,L,aguir001,empty,11,9,2,3,1,0,0,0,0,2,0,1,0,0,0,0,0
1986,R,aguir001,empty,350,324,85,134,20,4,7,0,7,22,0,64,0,4,0,0,0
1986,W,aguir001,empty,9,8,3,7,1,0,1,0,1,1,0,3,0,0,0,0,0
1986,R,aguir001,loaded,6,5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1986,W,aguir001,loaded,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
1986,L,aguir001,menon,8,7,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
1986,R,aguir001,menon,255,227,60,100,12,2,8,0,54,14,1,40,8,3,6,5,0
1986,W,aguir001,menon,10,9,5,5,0,0,0,0,3,0,0,1,1,1,0,0,0
1986,L,aguir001,scoring,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1986,R,aguir001,scoring,150,130,33,52,6,2,3,0,41,9,1,19,2,2,4,5,0
1986,W,aguir001,scoring,7,6,4,4,0,0,0,0,3,0,0,1,0,1,0,0,0
1986,R,akerd001,empty,13,13,4,7,0,0,1,0,1,0,0,3,0,0,0,0,0
1986,R,akerd001,loaded,1,1,1,2,1,0,0,0,3,0,0,0,0,0,0,0,0
1986,R,akerd001,menon,13,10,3,7,1,0,1,0,7,3,1,2,0,0,0,0,0
1986,R,akerd001,scoring,8,6,2,3,1,0,0,0,5,2,1,2,0,0,0,0,0
1986,R,alexd001,empty,572,547,151,235,30,3,16,0,16,23,0,78,0,2,0,0,0
1986,R,alexd001,loaded,6,6,3,4,1,0,0,0,7,0,0,1,1,0,0,0,0
1986,R,alexd001,menon,394,363,104,163,24,1,11,0,86,14,2,61,17,2,11,4,0
1986,R,alexd001,scoring,221,199,52,72,9,1,3,0,65,10,2,36,6,2,6,4,0
1986,R,allen001,empty,294,267,62,94,15,1,5,0,5,26,0,35,0,1,0,0,0
1986,R,allen001,loaded,6,5,3,5,0,1,0,0,8,0,0,0,0,0,0,1,0
1986,R,allen001,menon,172,147,39,57,7,1,3,0,36,12,1,22,5,1,5,7,0
1986,R,allen001,scoring,88,71,20,29,4,1,1,0,32,6,1,6,3,1,3,7,0
