YEAR,PHASE,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1973,L,alouj101,R,L,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,L,alouj101,R,R,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1973,L,andrm101,R,L,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1973,L,armbe101,R,L,6,6,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0
1973,L,bands101,R,L,9,8,2,8,0,0,2,0,3,1,0,2,0,0,0,0,0
1973,L,bands101,R,R,13,10,1,1,0,0,0,0,0,2,0,4,0,1,0,0,0
1973,L,bayld001,R,L,8,6,1,1,0,0,0,0,0,2,0,3,1,0,0,0,0
1973,L,bayld001,R,R,6,5,2,2,0,0,0,0,1,1,0,2,0,0,0,0,0
1973,L,belam101,R,L,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1973,L,belam101,R,R,11,10,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
1973,L,bencj101,R,L,13,12,2,3,1,0,0,0,0,1,0,2,0,0,0,0,0
1973,L,bencj101,R,R,8,7,3,7,1,0,1,0,1,1,1,1,0,0,0,0,0
1973,L,billj101,R,R,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1973,L,blaip101,R,L,8,7,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0
1973,L,blaip101,R,R,12,11,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0
1973,L,boswk101,L,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,L,bourp101,L,R,3,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
1973,L,bumba001,L,R,9,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
1973,L,campb101,R,L,10,10,3,9,0,0,2,0,2,0,0,1,0,0,0,0,0
1973,L,campb101,R,R,13,11,4,5,1,0,0,0,1,2,0,1,0,0,0,0,0
1973,L,chand101,L,R,5,4,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0
1973,L,chand101,R,L,7,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
1973,L,coggr101,L,R,9,9,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
1973,L,conib101,R,L,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1973,L,crose101,L,L,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,L,crose101,L,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1973,L,crowt101,L,R,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,L,davav101,L,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,L,davav101,L,R,8,7,5,8,1,1,0,0,1,1,1,0,1,0,0,0,0
1973,L,davit103,R,L,8,7,1,2,1,0,0,0,1,1,0,0,1,0,0,0,0
1973,L,davit103,R,R,14,14,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1973,L,dried001,L,L,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1973,L,dried001,L,R,8,7,2,3,1,0,0,0,1,0,0,1,0,0,0,1,0
1973,L,etcha101,R,L,7,7,2,5,0,0,1,0,3,0,0,0,0,0,0,0,0
1973,L,etcha101,R,R,8,7,3,4,1,0,0,0,1,0,0,1,0,1,0,0,0
1973,L,fossr101,R,L,6,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
1973,L,fossr101,R,R,9,7,1,2,1,0,0,0,3,0,0,1,0,0,1,1,0
1973,L,gaglp101,R,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1973,L,garrw101,L,L,11,10,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0
