YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1987,L,aldrm001,9,8,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1987,L,aldrm001,11,3,2,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0
1987,L,bayld001,10,6,5,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0
1987,L,bergd001,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1987,L,bergd001,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,bergd001,11,3,2,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0
1987,L,brenb001,2,19,16,4,8,1,0,1,0,2,3,0,7,0,0,0,0,0
1987,L,brenb001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,broot001,5,14,13,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
1987,L,brunt001,9,21,17,7,17,4,0,2,0,9,4,0,3,0,0,0,0,0
1987,L,bushr001,10,16,12,3,5,0,1,0,0,2,3,0,2,0,0,0,1,0
1987,L,butes001,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,clarj001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1987,L,clarw001,3,28,25,9,14,2,0,1,0,3,3,1,6,1,0,0,0,0
1987,L,colev001,7,30,26,7,8,1,0,0,0,4,4,0,6,1,0,0,0,0
1987,L,cox-d001,1,7,6,2,2,0,0,0,0,1,0,0,2,0,0,1,0,0
1987,L,davic001,8,21,20,3,4,1,0,0,0,0,1,0,4,1,0,0,0,0
1987,L,dravd001,1,6,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1987,L,dried001,3,11,10,2,4,2,0,0,0,0,1,0,1,1,0,0,0,0
1987,L,dried001,11,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1987,L,evand001,3,21,16,5,5,0,0,0,0,0,4,0,2,1,1,0,0,0
1987,L,evand001,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,fordc001,9,9,8,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0
1987,L,fordc001,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,gaetg001,5,23,20,6,13,1,0,2,0,5,1,0,3,0,1,0,1,0
1987,L,gagng001,6,22,18,5,14,3,0,2,0,3,3,0,4,0,1,0,0,0
1987,L,gibsk001,7,24,21,6,10,1,0,1,0,4,3,0,8,0,0,0,0,0
1987,L,gladd001,7,24,20,7,9,2,0,0,0,5,2,1,1,0,2,0,0,0
1987,L,grubj001,10,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1987,L,grubj001,11,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,hamma001,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1987,L,heatm001,2,8,7,2,5,0,0,1,0,2,0,0,0,0,0,1,0,0
1987,L,hernl001,9,7,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1987,L,hernl001,10,3,3,2,3,1,0,0,0,2,0,0,1,0,0,0,0,0
1987,L,herrt001,4,29,27,6,6,0,0,0,0,3,0,0,1,3,0,1,1,0
1987,L,hrbek001,3,23,20,3,6,0,0,1,0,1,3,2,0,1,0,0,0,0
1987,L,krukm001,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1987,L,larkg001,11,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1987,L,laudt001,2,16,14,1,2,1,0,0,0,2,2,0,5,0,0,0,0,0
1987,L,lawlt001,5,4,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1987,L,lawlt001,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,lawlt001,11,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,lemoc001,8,20,18,5,11,0,0,2,0,4,1,0,4,0,0,0,1,0
