YEAR,PHASE,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2019,D,acunr001,R,R,23,18,8,16,3,1,1,0,2,4,0,5,0,1,0,0,0
2019,D,adamm002,L,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,adamw002,R,L,1,1,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
2019,D,adamw002,R,R,15,12,4,8,1,0,1,0,1,3,0,3,0,0,0,0,0
2019,D,albio001,L,R,23,20,5,8,0,0,1,0,3,2,0,3,0,0,0,1,0
2019,D,altuj001,R,L,4,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,altuj001,R,R,17,16,5,15,1,0,3,0,5,1,0,3,1,0,0,0,0
2019,D,alvay001,L,L,8,8,2,3,1,0,0,0,0,0,0,4,0,0,0,0,0
2019,D,alvay001,L,R,12,11,4,6,2,0,0,0,1,1,0,3,0,0,0,0,0
2019,D,arozr001,R,R,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2019,D,arral001,L,L,3,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0
2019,D,arral001,L,R,8,8,4,7,3,0,0,0,1,0,0,2,0,0,0,0,0
2019,D,badeh001,R,L,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,badeh001,R,R,6,6,1,1,0,0,0,0,1,0,0,4,0,0,0,0,0
2019,D,beatm001,L,R,8,8,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,bellc002,L,L,7,5,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0
2019,D,bellc002,L,R,14,14,3,4,1,0,0,0,0,0,0,4,0,0,0,0,0
2019,D,branm003,L,L,6,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2019,D,branm003,L,R,14,14,3,6,0,0,1,0,1,0,0,4,0,0,0,0,0
2019,D,brega001,R,L,6,6,2,6,1,0,1,0,1,0,0,2,0,0,0,0,0
2019,D,brega001,R,R,14,11,4,5,1,0,0,0,2,3,0,4,0,0,0,0,0
2019,D,buehw001,R,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,buehw001,R,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,cabra002,L,R,6,6,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2019,D,cabra002,R,L,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019,D,carpm002,L,L,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2019,D,carpm002,L,R,5,3,1,1,0,0,0,0,3,1,0,2,0,0,0,1,0
2019,D,cavej001,L,R,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2019,D,cervf001,R,R,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2019,D,chirr001,R,L,4,4,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0
2019,D,chirr001,R,R,7,5,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0
2019,D,choij001,L,L,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2019,D,choij001,L,R,20,14,3,6,0,0,1,0,1,6,0,9,0,0,0,0,0
2019,D,corbp001,L,R,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2019,D,corrc001,R,L,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2019,D,corrc001,R,R,15,15,3,4,1,0,0,0,1,0,0,7,0,0,0,0,0
2019,D,cronc002,R,L,4,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2019,D,cronc002,R,R,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,cruzn002,R,L,6,5,1,4,0,0,1,0,1,1,0,3,0,0,0,0,0
2019,D,cruzn002,R,R,8,5,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0
2019,D,darnt001,R,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,darnt001,R,R,18,14,2,2,0,0,0,0,2,1,0,5,0,2,0,1,0
2019,D,dejop001,R,L,7,6,2,3,1,0,0,0,1,1,1,3,0,0,0,0,0
2019,D,dejop001,R,R,13,12,2,2,0,0,0,0,1,1,1,5,0,0,0,0,0
2019,D,diaza003,R,L,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2019,D,diazy001,R,R,9,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019,D,donaj001,R,L,5,3,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0
2019,D,donaj001,R,R,17,16,3,7,1,0,1,0,3,1,0,2,0,0,0,0,0
2019,D,dozib001,R,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,dozib001,R,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,duffm002,R,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,duffm002,R,R,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,duvaa001,R,L,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2019,D,duvaa001,R,R,10,10,3,6,0,0,1,0,5,0,0,5,0,0,0,0,0
2019,D,eatoa002,L,L,12,8,2,2,0,0,0,0,1,3,0,1,0,0,1,0,0
2019,D,eatoa002,L,R,10,8,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0
2019,D,edmat001,L,R,13,12,3,4,1,0,0,0,2,1,0,2,0,0,0,0,0
2019,D,edmat001,R,L,8,7,3,7,2,1,0,0,0,1,0,0,1,0,0,0,0
2019,D,encae001,R,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,encae001,R,R,11,10,4,6,2,0,0,0,2,1,0,1,0,0,0,0,0
2019,D,flahj002,R,L,3,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
2019,D,flahj002,R,R,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,flowt001,R,L,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,foltm001,R,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,fowld001,L,R,13,12,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0
2019,D,fowld001,R,L,11,10,1,2,1,0,0,0,3,1,0,1,0,0,0,0,0
2019,D,freed001,R,L,5,5,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2019,D,freed001,R,R,3,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,freef001,L,L,6,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
2019,D,freef001,L,R,16,15,4,8,1,0,1,0,1,1,0,4,1,0,0,0,0
2019,D,garca003,R,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,garca003,R,R,14,14,5,5,0,0,0,0,1,0,0,3,1,0,0,0,0
2019,D,gardb001,L,L,3,3,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0
2019,D,gardb001,L,R,11,9,2,5,0,0,1,0,2,1,0,3,0,1,0,0,0
2019,D,garvm001,R,L,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2019,D,garvm001,R,R,7,6,2,2,0,0,0,0,1,1,0,2,0,0,0,0,0
2019,D,goldp001,R,L,6,6,2,6,1,0,1,0,1,0,0,0,0,0,0,0,0
2019,D,goldp001,R,R,17,15,7,13,3,0,1,0,1,2,1,2,0,0,0,0,0
2019,D,gomey001,R,R,7,6,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0
2019,D,gonzm002,L,R,7,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2019,D,gonzm002,R,L,4,4,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,gregd001,L,L,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,D,gregd001,L,R,10,8,3,6,0,0,1,1,5,2,0,3,0,0,0,0,0
2019,D,gurry001,R,L,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,gurry001,R,R,15,14,5,6,1,0,0,0,4,1,0,0,0,0,0,0,0
2019,D,hamib001,L,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,D,hecha001,R,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,hecha001,R,R,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2019,D,herne001,R,L,2,2,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0
2019,D,herne001,R,R,6,5,2,5,0,0,1,0,1,1,0,2,0,0,0,0,0
2019,D,hillr001,L,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,hudsd002,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,hudsd002,R,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,joycm001,L,R,11,10,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0
2019,D,judga001,R,L,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,D,judga001,R,R,12,8,2,2,0,0,0,0,0,3,0,1,0,0,0,0,1
2019,D,kendh001,R,L,8,8,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,D,kendh001,R,R,13,12,2,5,0,0,1,1,4,1,0,3,1,0,0,0,0
2019,D,keplm001,L,L,6,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2019,D,keplm001,L,R,7,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
2019,D,kersc001,L,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,keucd001,L,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,kierk001,L,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,kierk001,L,R,17,17,3,7,1,0,1,0,3,0,0,6,0,0,0,0,0
2019,D,lemad001,R,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,lemad001,R,R,14,13,4,9,2,0,1,0,4,1,0,4,0,0,0,0,0
2019,D,loweb001,L,L,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,D,loweb001,L,R,15,14,3,7,1,0,1,0,1,1,0,8,0,0,0,0,0
2019,D,lux-g001,L,R,10,9,2,5,0,0,1,0,1,1,0,6,0,0,0,0,0
2019,D,maldm001,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,D,maldm001,R,R,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,D,markn001,L,L,6,5,2,3,1,0,0,0,0,1,0,1,0,0,0,0,0
2019,D,markn001,L,R,16,16,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0
2019,D,martc006,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
