YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2006,R,encaj001,8,110,103,24,33,1,1,2,0,12,5,2,15,1,1,0,1,0
2006,R,encaj001,9,475,442,127,210,24,4,17,0,67,24,3,68,9,3,1,5,0
2006,R,encaj001,11,10,9,4,4,0,0,0,0,0,1,1,2,1,0,0,0,0
2006,R,ensbm001,5,479,375,87,172,17,1,22,0,56,98,7,93,3,3,0,3,0
2006,R,ensbm001,11,16,12,4,7,0,0,1,0,2,3,0,3,0,1,0,0,0
2006,R,erstd001,3,6,4,1,2,1,0,0,0,0,1,0,1,0,0,1,0,0
2006,R,erstd001,8,99,91,20,29,7,1,0,0,5,5,0,17,2,2,0,1,0
2006,R,escoa002,8,86,76,28,41,3,2,2,0,13,6,0,17,3,0,0,4,0
2006,R,escoa002,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,escoa002,11,12,10,3,9,0,0,2,0,5,2,0,1,0,0,0,0,0
2006,R,escok001,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2006,R,estes001,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,R,estrj001,2,431,403,122,180,25,0,11,0,69,13,7,36,17,6,1,8,0
2006,R,estrj001,11,12,11,3,4,1,0,0,0,2,0,0,4,0,1,0,0,0
2006,R,ethia001,7,419,376,119,185,19,7,11,0,52,32,2,69,10,5,0,6,0
2006,R,ethia001,11,22,20,3,4,1,0,0,0,3,2,0,8,1,0,0,0,0
2006,R,eveld001,1,8,7,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
2006,R,evera001,6,564,512,123,181,28,6,6,0,59,34,5,71,5,4,10,4,0
2006,R,evera001,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,everc001,7,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,R,everc001,9,4,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2006,R,everc001,10,325,294,68,106,8,0,10,0,32,25,2,53,5,3,0,3,0
2006,R,everc001,11,10,8,1,4,0,0,1,0,1,2,0,2,1,0,0,0,0
2006,R,eyres001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,eyrew001,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,faheb001,4,60,57,15,18,0,0,1,0,6,3,0,6,0,0,0,0,0
2006,R,faheb001,5,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2006,R,faheb001,6,43,36,8,9,1,0,0,0,0,5,0,8,0,0,2,0,0
2006,R,faheb001,7,174,149,34,48,7,2,1,0,16,15,0,32,2,3,7,0,0
2006,R,faheb001,9,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,faheb001,11,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
