YEAR,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1999,abbok002,cookd001,2,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,coppr001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,cunnw001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,daalo001,5,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abbok002,dalec001,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1999,abbok002,darev001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,dempr002,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1999,abbok002,doteo001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,edmob001,2,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,estes001,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1999,abbok002,fassj001,3,2,1,4,0,0,1,0,2,1,0,0,0,0,0,0,0
1999,abbok002,ferna001,3,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,finlc001,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,franj001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,frasj001,3,3,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0
1999,abbok002,fyhrm001,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1999,abbok002,gardm001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,glavt001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,harnp001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,harrr001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,hases001,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
