YEAR,PHASE,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2004,R,rente001,R,L,149,131,48,72,12,0,4,0,20,14,3,17,2,1,2,1,0
2004,R,rente001,R,R,493,455,120,163,25,0,6,1,52,25,2,61,12,0,4,9,0
2004,R,restm001,R,L,21,19,7,11,1,0,1,0,2,2,0,5,0,0,0,0,0
2004,R,restm001,R,R,30,28,5,10,2,0,1,0,4,2,0,5,0,0,0,0,0
2004,R,reyea001,R,L,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,reyed001,R,R,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2004,R,reyej001,L,R,186,177,42,58,9,2,1,0,11,5,0,27,1,0,4,0,0
2004,R,reyej001,R,L,43,43,14,24,7,0,1,0,3,0,0,4,0,0,0,0,0
2004,R,reyer001,L,R,54,51,8,9,1,0,0,0,1,3,1,12,0,0,0,0,0
2004,R,reyer001,R,L,12,10,1,2,1,0,0,0,0,2,1,5,0,0,0,0,0
2004,R,riedj001,R,R,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,rigga001,R,L,15,15,5,8,3,0,0,0,2,0,0,0,2,0,0,0,0
2004,R,rigga001,R,R,22,21,2,2,0,0,0,0,1,1,0,10,0,0,0,0,0
2004,R,rilem001,L,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,rilem001,L,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,rincj001,R,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,riosa002,R,L,115,101,29,38,7,1,0,0,6,14,0,22,4,0,0,0,0
2004,R,riosa002,R,R,345,325,93,125,17,6,1,0,22,17,0,62,10,2,1,0,0
2004,R,rival001,R,L,111,103,30,51,7,1,4,0,14,3,0,10,4,0,3,2,0
2004,R,rival001,R,R,247,233,56,94,12,4,6,0,20,10,0,43,4,1,2,1,0
2004,R,rivec001,L,R,17,15,3,3,0,0,0,0,1,1,1,3,0,0,0,0,1
2004,R,rivej001,R,L,167,156,43,72,11,0,6,1,21,10,5,13,5,1,0,0,0
2004,R,rivej001,R,R,259,235,77,110,13,1,6,0,28,24,2,32,6,0,0,0,0
2004,R,river003,R,R,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,robeb003,L,R,501,439,132,178,32,1,4,1,38,45,1,65,2,1,10,5,1
2004,R,robeb003,R,L,232,200,43,63,18,1,0,0,15,25,0,29,1,0,5,1,1
2004,R,robeb003,R,R,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2004,R,robed001,L,L,63,56,10,14,2,1,0,0,3,5,0,12,1,0,1,1,0
2004,R,robed001,L,R,308,263,71,107,12,6,4,0,32,33,0,36,3,5,2,5,0
2004,R,roben001,R,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,robew001,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,robik002,L,L,13,12,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,R,robik002,L,R,88,80,25,29,4,0,0,0,5,4,0,8,0,1,1,2,0
2004,R,rodra001,R,L,161,132,41,87,4,0,14,0,28,25,2,27,3,2,0,2,0
2004,R,rodra001,R,R,537,469,131,221,20,2,22,0,78,55,4,104,15,8,0,5,0
2004,R,rodre002,R,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,rodrf002,R,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,rodri001,R,L,200,175,60,86,11,0,5,0,30,24,4,31,7,0,0,1,0
2004,R,rodri001,R,R,375,352,116,183,21,2,14,0,56,17,2,60,8,3,0,3,0
2004,R,rodrr005,L,R,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2004,R,rogek001,L,L,3,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2004,R,rogek001,L,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,roles001,R,L,120,89,33,61,8,1,6,0,27,28,3,19,1,2,0,1,0
2004,R,roles001,R,R,473,411,124,238,24,3,28,0,97,44,2,73,7,11,1,6,0
2004,R,rolld001,R,L,72,66,10,14,4,0,0,0,5,3,0,18,2,0,2,1,0
2004,R,rolld001,R,R,60,51,9,10,1,0,0,0,4,7,0,18,2,1,0,1,0
2004,R,rollj001,L,R,540,492,140,221,32,11,9,0,47,42,3,61,3,2,2,2,0
2004,R,rollj001,R,L,185,165,50,78,11,1,5,1,26,15,0,12,1,1,4,0,0
2004,R,romaj002,R,L,16,16,3,6,0,0,1,0,4,0,0,6,0,0,0,0,0
2004,R,romaj002,R,R,21,18,2,2,0,0,0,0,0,2,0,6,0,0,1,0,0
2004,R,rosem001,L,R,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2004,R,rossd001,R,L,73,64,8,12,1,0,1,0,1,8,1,29,0,1,0,0,0
2004,R,rossd001,R,R,117,101,20,36,2,1,4,0,14,7,0,33,3,4,0,5,0
2004,R,rowaa001,R,L,206,179,54,103,16,0,11,0,27,18,1,30,3,3,4,2,0
2004,R,rowaa001,R,R,328,308,97,162,22,2,13,1,42,12,0,61,2,7,1,0,0
2004,R,ruetk001,L,L,16,13,1,1,0,0,0,0,0,1,0,1,0,0,2,0,0
2004,R,ruetk001,L,R,51,48,7,9,2,0,0,0,2,2,0,6,0,0,1,0,0
2004,R,ruscg001,L,L,13,10,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0
2004,R,ruscg001,L,R,33,29,6,13,1,0,2,0,3,0,0,5,0,0,4,0,0
2004,R,ryanm001,L,L,20,20,7,10,1,1,0,0,1,0,0,5,1,0,0,0,0
2004,R,ryanm001,L,R,55,51,10,11,1,0,0,0,6,4,1,11,1,0,0,0,0
2004,R,sabac001,L,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,sabac001,L,R,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,sadld001,R,L,6,6,1,2,1,0,0,0,0,0,0,3,0,0,0,0,0
2004,R,sadld001,R,R,18,17,2,3,1,0,0,0,0,1,0,4,0,0,0,0,0
2004,R,saenc001,R,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,saeno001,R,L,75,65,22,41,1,0,6,1,13,10,1,18,1,0,0,0,0
2004,R,saeno001,R,R,53,46,9,15,0,0,2,0,9,2,0,15,3,2,0,3,0
2004,R,salmt001,R,L,82,75,11,13,2,0,0,0,5,4,0,15,1,1,0,2,0
2004,R,salmt001,R,R,124,111,36,47,5,0,2,0,18,10,0,26,1,1,0,2,0
2004,R,sanca003,L,L,146,141,49,58,4,1,1,0,15,1,0,22,1,0,3,1,0
2004,R,sanca003,L,R,206,191,58,70,5,2,1,0,11,6,0,28,4,0,9,0,0
2004,R,sancd001,R,L,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2004,R,sancd001,R,R,3,2,1,2,1,0,0,0,2,0,0,0,0,0,1,0,0
2004,R,sancf001,R,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,sancf001,R,R,18,17,3,3,0,0,0,0,2,0,0,2,0,0,1,0,0
2004,R,sancj001,L,R,5,4,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
2004,R,sancr001,R,L,90,83,24,32,4,2,0,0,10,6,0,6,1,0,1,0,0
2004,R,sancr001,R,R,217,202,46,64,10,1,2,0,16,6,0,22,5,3,3,3,0
2004,R,sandr002,R,L,132,113,26,44,9,0,3,0,14,17,1,33,1,1,0,1,0
2004,R,sandr002,R,R,355,333,90,171,18,3,19,0,53,16,4,85,4,3,1,2,0
2004,R,santb001,R,L,46,44,11,17,3,0,1,0,5,1,0,6,3,0,1,0,0
2004,R,santb001,R,R,143,131,37,59,7,0,5,0,18,7,0,26,6,2,2,1,0
2004,R,santj003,L,R,8,8,3,3,0,0,0,0,2,0,0,1,0,0,0,0,0
2004,R,santr002,L,R,34,29,5,5,0,0,0,0,2,2,0,1,1,1,2,0,0
2004,R,santr002,R,L,11,10,2,3,1,0,0,0,0,1,0,2,0,0,0,0,0
2004,R,santv001,R,L,9,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2004,R,santv001,R,R,38,30,2,3,1,0,0,0,1,2,0,16,0,0,6,0,0
2004,R,schic002,R,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,schic002,R,R,6,6,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2004,R,schmj001,R,L,31,23,2,5,0,0,1,0,1,1,0,12,0,1,6,0,0
2004,R,schmj001,R,R,53,43,7,10,0,0,1,0,2,3,0,18,0,0,7,0,0
2004,R,schnb001,L,L,92,86,21,31,0,2,2,0,8,4,1,12,2,1,1,0,0
2004,R,schnb001,L,R,396,350,91,143,20,1,10,1,41,38,9,51,6,2,4,2,0
2004,R,schos001,L,R,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,scutm001,R,L,156,145,40,72,12,1,6,0,19,9,0,15,4,0,1,1,0
2004,R,scutm001,R,R,321,310,84,107,20,0,1,0,24,7,1,43,5,0,4,0,0
2004,R,segud001,L,R,45,42,14,19,2,0,1,0,5,2,1,6,3,1,0,0,0
2004,R,segud001,R,L,20,17,6,7,1,0,0,0,2,3,0,7,0,0,0,0,0
2004,R,selea001,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,seo-j001,R,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,seo-j001,R,R,35,29,5,6,1,0,0,0,1,2,0,8,1,1,3,0,0
2004,R,servs001,R,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,sexsr001,R,L,25,18,4,6,2,0,0,0,1,7,0,5,1,0,0,0,0
2004,R,sexsr001,R,R,79,72,17,46,2,0,9,0,22,7,0,16,1,0,0,0,0
2004,R,sheeb001,R,L,12,9,0,0,0,0,0,0,0,2,0,5,0,0,1,0,0
2004,R,sheeb001,R,R,69,58,9,9,0,0,0,0,1,3,0,17,2,0,8,0,0
2004,R,shefg001,R,L,168,140,44,77,9,0,8,0,30,26,3,16,2,1,0,1,0
2004,R,shefg001,R,R,516,433,122,229,21,1,28,0,91,66,4,67,14,10,0,7,0
2004,R,shelc001,R,L,32,24,5,8,0,0,1,0,3,7,0,7,0,0,0,1,0
2004,R,shelc001,R,R,24,22,4,5,1,0,0,0,0,2,0,7,2,0,0,0,0
2004,R,shies002,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,sierr001,L,R,190,171,42,83,5,0,12,3,41,16,2,30,1,0,0,3,0
2004,R,sierr001,R,L,148,136,33,57,7,1,5,0,24,9,2,25,4,0,0,3,0
2004,R,silvc001,R,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,silvc001,R,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,simoj001,R,L,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,simoj001,R,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,simor001,L,L,17,17,4,4,0,0,0,0,1,0,0,4,2,0,0,0,0
2004,R,simor001,L,R,197,175,32,47,6,0,3,0,13,18,5,15,6,3,0,1,0
2004,R,simpa001,R,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,sizeg001,L,L,54,45,8,8,0,0,0,0,2,5,0,8,0,3,0,1,0
2004,R,sizeg001,L,R,105,93,26,48,6,2,4,0,22,9,0,26,0,2,0,1,0
2004,R,sledt001,L,L,92,87,21,32,3,1,2,0,16,4,0,15,2,0,1,0,0
2004,R,sledt001,L,R,354,311,86,152,17,5,13,1,46,36,4,51,0,1,5,1,0
2004,R,smala001,R,R,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2004,R,smitj001,L,L,36,33,8,10,0,1,0,0,4,2,0,9,0,0,1,0,0
2004,R,smitj001,L,R,133,122,29,57,7,3,5,0,15,6,0,28,0,1,4,0,0
2004,R,smitt001,R,L,7,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,smitt001,R,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,smolj001,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,smolj001,R,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,sneli001,R,R,3,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
2004,R,snowj001,L,L,58,47,12,19,4,0,1,0,9,9,0,10,1,1,0,1,0
2004,R,snowj001,L,R,359,299,101,164,28,1,11,0,51,49,0,51,4,6,2,3,0
2004,R,snydc002,R,L,35,32,8,18,1,0,3,0,4,3,0,8,0,0,0,0,0
2004,R,snydc002,R,R,75,64,15,26,5,0,2,0,11,10,1,17,0,0,0,1,0
2004,R,snyde001,R,R,4,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2004,R,soria001,R,L,179,158,42,82,9,2,9,0,31,16,2,38,3,2,0,3,0
2004,R,soria001,R,R,479,450,128,212,23,2,19,0,60,17,2,83,4,8,0,4,0
2004,R,sosas001,R,L,117,95,24,42,6,0,4,0,12,22,1,34,2,0,0,0,0
2004,R,sosas001,R,R,422,383,97,205,15,0,31,1,68,34,3,99,7,2,0,3,0
2004,R,spars001,R,L,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,spars001,R,R,28,27,4,4,0,0,0,0,1,0,0,13,0,0,1,0,0
2004,R,speij001,R,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,spens001,R,L,62,57,13,17,1,0,1,0,8,5,0,12,1,0,0,0,0
2004,R,spens001,R,R,142,128,39,59,9,1,3,0,18,8,0,25,0,2,2,2,0
2004,R,spies001,L,R,334,293,64,105,8,3,9,0,33,30,1,51,5,4,1,6,0
2004,R,spies001,R,L,81,74,15,22,4,0,1,0,8,6,1,9,2,0,1,0,0
2004,R,spivj001,R,L,54,43,12,24,3,0,3,0,5,10,0,9,0,1,0,0,0
2004,R,spivj001,R,R,209,185,50,72,10,0,4,0,23,15,0,39,7,6,1,2,0
2004,R,staim001,L,L,107,94,21,36,3,0,4,1,16,11,0,28,4,2,0,0,0
2004,R,staim001,L,R,389,345,96,162,18,3,14,0,50,38,2,64,11,3,0,3,0
2004,R,stanm003,L,L,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,R,stanm003,L,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,stard001,R,R,9,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
2004,R,stews002,R,L,132,113,29,43,5,0,3,0,10,18,1,17,1,0,0,1,0
2004,R,stews002,R,R,298,265,86,126,12,2,8,0,37,29,3,27,4,1,1,2,0
2004,R,stink001,R,L,22,18,3,3,0,0,0,0,2,2,0,7,0,1,1,0,0
2004,R,stink001,R,R,47,41,15,24,0,0,3,0,5,3,0,9,0,1,2,0,0
2004,R,stonr001,R,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,sturt001,R,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,sturt001,R,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,stync001,R,L,63,58,11,17,3,0,1,0,8,4,1,8,0,1,0,0,0
2004,R,stync001,R,R,111,104,24,31,7,0,0,0,8,5,1,15,2,1,1,0,0
2004,R,suppj001,R,L,8,7,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
2004,R,suppj001,R,R,57,50,4,4,0,0,0,0,0,1,0,9,1,0,6,0,0
2004,R,surhb001,L,L,108,99,33,42,6,0,1,0,14,6,0,13,3,1,2,0,0
2004,R,surhb001,L,R,270,244,73,102,6,1,7,1,36,24,2,33,6,0,1,1,0
2004,R,suttl001,L,R,6,5,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0
2004,R,suzui001,L,L,226,208,84,110,9,1,5,0,21,15,3,19,1,1,1,1,0
2004,R,suzui001,L,R,536,496,178,210,15,4,3,0,39,34,16,44,5,3,1,2,0
2004,R,sweeb001,R,L,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2004,R,sweem001,L,L,10,9,5,10,2,0,1,0,3,1,0,1,0,0,0,0,0
2004,R,sweem001,L,R,205,168,42,80,10,2,8,1,37,31,2,50,2,2,0,4,0
2004,R,sweem002,R,L,123,113,25,42,5,0,4,0,8,8,2,15,0,1,0,1,0
2004,R,sweem002,R,R,329,298,93,165,18,0,18,1,71,25,7,29,7,5,0,1,0
2004,R,swisn001,L,R,56,50,10,18,2,0,2,0,8,3,0,9,1,2,0,1,0
2004,R,swisn001,R,L,15,10,5,7,2,0,0,0,0,5,0,2,1,0,0,0,0
2004,R,szumj001,R,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,tadak001,R,L,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
