YEAR,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1977,alstd101,10,29,25,9,12,0,0,1,0,3,3,0,3,2,0,0,1,0
1977,alstd101,11,8,8,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0
1977,alval101,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,alval101,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,andem101,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1977,andem101,9,146,134,29,44,1,1,4,0,16,11,0,25,1,0,1,0,0
1977,andem101,11,22,20,5,8,3,0,0,0,1,2,0,6,2,0,0,0,0
1977,andrf101,4,20,18,2,4,0,1,0,0,2,1,0,4,1,0,0,1,0
1977,andrf101,11,5,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,andrr101,4,488,427,114,131,11,3,0,0,25,53,0,28,6,0,4,3,1
1977,andrr101,11,13,9,1,1,0,0,0,0,0,3,0,4,0,0,1,0,0
1977,anduj001,1,60,53,10,12,2,0,0,0,2,3,0,27,0,0,4,0,0
1977,apodb101,1,8,6,1,1,0,0,0,0,1,0,0,3,0,0,1,0,1
1977,armat001,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1977,armat001,7,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1977,armat001,8,298,278,73,119,5,1,13,1,50,11,2,73,6,0,1,8,0
1977,armat001,9,81,74,14,19,3,1,0,0,2,7,0,21,1,0,0,0,0
1977,armat001,11,8,7,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0
1977,armbe101,7,43,36,7,12,1,2,0,0,1,6,0,12,1,0,0,1,0
1977,armbe101,9,20,19,9,15,3,0,1,0,3,1,0,1,2,0,0,0,0
1977,armbe101,11,28,23,4,6,0,1,0,0,1,3,0,8,0,0,2,0,0
1977,ashba001,2,458,396,83,111,16,3,2,0,29,49,3,50,13,2,10,1,0
1977,ashba001,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1977,ashft001,4,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,ashft001,5,246,221,49,76,18,0,3,0,23,20,4,31,5,0,3,2,0
1977,ashft001,6,26,23,4,4,0,0,0,0,1,1,0,3,0,1,1,0,0
1977,ashft001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,asseb101,7,30,27,6,13,1,0,2,0,3,3,1,1,1,0,0,0,0
1977,asseb101,8,40,37,8,13,2,0,1,0,5,3,0,4,0,0,0,0,0
1977,asseb101,9,15,13,2,3,1,0,0,0,3,1,0,0,0,0,1,0,0
1977,asseb101,11,49,47,10,15,2,0,1,0,6,2,0,5,1,0,0,0,0
1977,atkib101,1,6,5,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1977,auerr101,4,22,19,4,6,2,0,0,0,0,3,0,4,1,0,0,0,0
1977,auerr101,6,28,24,3,3,0,0,0,0,3,1,0,2,0,0,1,2,0
1977,auerr101,11,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,aultd101,3,482,435,105,163,22,3,10,0,58,38,5,64,18,3,3,3,0
1977,aultd101,10,7,6,3,6,0,0,1,0,4,0,0,1,1,1,0,0,0
1977,aultd101,11,5,4,1,1,0,0,0,0,2,1,0,1,1,0,0,0,0
1977,avilr101,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1977,ayalb001,9,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,baezj101,4,312,286,75,93,13,1,1,0,15,18,1,20,6,1,7,0,0
1977,baezj101,5,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1977,baezj101,10,11,10,2,3,1,0,0,0,2,0,0,0,0,0,1,0,0
1977,baezj101,11,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bahns101,1,49,42,5,7,2,0,0,0,7,3,0,18,1,0,4,0,0
1977,bailb001,6,214,204,68,82,7,2,1,0,10,6,0,11,3,0,3,1,0
1977,bailb001,7,66,63,16,25,6,0,1,0,2,1,0,2,1,1,1,0,0
1977,bailb001,8,204,191,59,82,8,3,3,0,16,10,1,10,3,1,2,0,0
1977,bailb001,9,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bailb001,10,30,30,6,6,0,0,0,0,3,0,0,2,0,0,0,0,0
1977,bailb001,11,4,3,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0
1977,bailb103,3,53,46,11,15,1,0,1,0,3,7,1,5,2,0,0,0,0
