YEAR,PHASE,RESP_PIT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1969,R,abert101,empty,182,167,37,49,6,0,2,0,2,14,0,29,0,1,0,0,0
1969,R,abert101,loaded,19,15,2,2,0,0,0,0,11,3,0,2,0,0,0,1,0
1969,R,abert101,menon,192,153,38,61,1,2,6,0,43,28,11,26,2,0,8,3,0
1969,R,abert101,scoring,116,88,21,33,1,1,3,0,36,23,11,15,1,0,2,3,0
1969,R,adamm101,empty,10,8,5,7,2,0,0,0,0,2,0,1,0,0,0,0,0
1969,R,adamm101,loaded,5,4,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0
1969,R,adamm101,menon,28,20,5,5,0,0,0,0,5,4,2,1,1,0,2,2,0
1969,R,adamm101,scoring,23,17,4,4,0,0,0,0,5,4,2,1,1,0,0,2,0
1969,R,aguih101,empty,79,69,22,31,3,0,2,0,2,8,0,7,0,2,0,0,0
1969,R,aguih101,loaded,8,8,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
1969,R,aguih101,menon,107,98,23,29,4,1,0,0,19,4,1,12,4,0,4,1,0
1969,R,aguih101,scoring,70,64,16,22,4,1,0,0,19,3,1,7,3,0,2,1,0
1969,R,akerj102,empty,172,155,36,48,4,1,2,0,2,16,1,26,0,1,0,0,0
1969,R,akerj102,loaded,18,17,4,4,0,0,0,0,11,1,0,2,3,0,0,0,0
1969,R,akerj102,menon,176,150,40,66,6,1,6,0,44,19,8,21,14,4,2,1,0
1969,R,akerj102,scoring,118,99,23,40,3,1,4,0,40,14,6,18,6,3,1,1,0
1969,R,allel101,empty,25,20,3,6,0,0,1,0,1,5,0,3,0,0,0,0,0
1969,R,allel101,loaded,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1969,R,allel101,menon,19,14,2,2,0,0,0,0,2,5,0,2,0,0,0,0,0
1969,R,allel101,scoring,10,8,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0
1969,R,arlis101,empty,22,17,5,9,1,0,1,0,1,5,0,6,0,0,0,0,0
1969,R,arlis101,loaded,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,R,arlis101,menon,32,28,8,11,0,0,1,0,8,4,1,3,0,0,0,0,0
1969,R,arlis101,scoring,21,17,5,8,0,0,1,0,8,4,1,2,0,0,0,0,0
1969,R,arrig101,empty,233,191,46,68,7,0,5,0,5,37,0,21,0,5,0,0,0
1969,R,arrig101,loaded,6,4,2,2,0,0,0,0,6,0,0,0,0,0,0,2,0
1969,R,arrig101,menon,189,157,43,60,5,0,4,0,34,24,3,14,10,3,2,3,0
1969,R,arrig101,scoring,95,79,25,33,2,0,2,0,30,12,3,8,2,0,1,3,0
1969,R,bahns101,empty,540,491,132,202,22,0,16,0,16,49,0,75,0,0,0,0,0
1969,R,bahns101,loaded,19,18,3,4,1,0,0,0,9,1,0,4,1,0,0,0,0
1969,R,bahns101,menon,416,362,90,142,14,1,12,0,76,41,9,55,14,0,10,3,0
1969,R,bahns101,scoring,222,184,44,70,6,1,6,0,62,32,9,33,2,0,3,3,0
1969,R,baldd101,empty,152,140,31,42,5,0,2,0,2,9,0,30,0,3,0,0,0
1969,R,baldd101,loaded,14,11,4,7,0,0,1,1,12,1,0,3,0,0,0,2,0
1969,R,baldd101,menon,135,102,26,39,5,1,2,1,32,25,2,21,5,2,2,4,0
1969,R,baldd101,scoring,83,64,18,31,5,1,2,1,32,14,2,15,3,1,0,4,0
1969,R,baldj101,empty,150,138,33,46,3,2,2,0,2,11,0,31,0,1,0,0,0
1969,R,baldj101,loaded,14,12,3,6,0,0,1,1,11,1,0,1,1,0,0,1,0
1969,R,baldj101,menon,190,165,47,84,14,4,5,1,55,18,6,36,4,1,5,1,0
1969,R,baldj101,scoring,131,115,32,58,12,1,4,1,49,14,6,26,3,0,1,1,0
1969,R,baned101,empty,44,41,14,24,2,1,2,0,2,3,0,5,0,0,0,0,0
1969,R,baned101,loaded,5,3,1,1,0,0,0,0,4,1,0,0,0,0,0,1,0
1969,R,baned101,menon,37,31,7,8,1,0,0,0,7,4,1,4,2,0,0,2,0
1969,R,baned101,scoring,20,14,3,4,1,0,0,0,7,4,1,2,1,0,0,2,0
1969,R,barbs102,empty,206,181,53,72,1,0,6,0,6,24,0,38,0,1,0,0,0
1969,R,barbs102,loaded,11,10,3,4,1,0,0,0,7,1,0,3,1,0,0,0,0
1969,R,barbs102,menon,187,158,46,65,6,2,3,0,36,24,2,31,16,0,2,3,0
1969,R,barbs102,scoring,98,79,18,25,2,1,1,0,29,15,2,19,5,0,1,3,0
1969,R,bated102,empty,5,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
1969,R,bated102,menon,6,5,3,8,2,0,1,0,5,1,0,1,0,0,0,0,0
1969,R,bated102,scoring,5,4,2,4,2,0,0,0,3,1,0,1,0,0,0,0,0
1969,R,beenf101,empty,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1969,R,beenf101,menon,7,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1969,R,beenf101,scoring,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1969,R,belib101,empty,34,29,10,15,5,0,0,0,0,3,0,7,0,2,0,0,0
1969,R,belib101,loaded,6,4,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0
1969,R,belib101,menon,49,35,7,12,2,0,1,0,9,11,2,8,2,0,3,0,0
1969,R,belib101,scoring,35,24,4,5,1,0,0,0,6,10,2,8,0,0,1,0,0
1969,R,bellg102,empty,235,208,60,91,11,1,6,0,6,25,0,31,0,2,0,0,0
1969,R,bellg102,loaded,22,19,8,11,0,0,1,1,20,2,0,4,1,0,0,1,0
1969,R,bellg102,menon,239,197,64,106,10,1,10,1,65,32,10,25,8,2,5,3,0
1969,R,bellg102,scoring,144,111,32,54,5,1,5,1,53,28,10,16,3,1,1,3,0
1969,R,bertf101,empty,98,82,21,40,4,0,5,0,5,16,0,15,0,0,0,0,0
1969,R,bertf101,loaded,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1969,R,bertf101,menon,95,82,23,38,6,0,3,0,21,10,0,15,2,0,1,2,0
1969,R,bertf101,scoring,49,41,11,16,2,0,1,0,16,5,0,7,1,0,1,2,0
1969,R,billj101,empty,179,164,45,70,6,2,5,0,5,12,0,42,0,3,0,0,0
1969,R,billj101,loaded,11,11,3,6,0,0,1,1,8,0,0,1,3,0,0,0,0
1969,R,billj101,menon,180,154,47,73,5,0,7,1,46,17,11,29,7,2,5,2,0
1969,R,billj101,scoring,108,88,29,44,3,0,4,1,39,14,11,16,5,2,2,2,0
1969,R,blass101,empty,504,445,109,179,20,7,12,0,12,55,0,87,0,4,0,0,0
1969,R,blass101,loaded,15,14,5,10,0,1,1,1,14,0,0,5,1,0,0,1,0
1969,R,blass101,menon,403,356,98,150,13,6,9,1,85,31,3,60,19,2,9,5,0
1969,R,blass101,scoring,221,192,54,93,6,6,7,1,74,17,3,40,5,2,5,5,0
1969,R,blasw101,empty,107,93,29,42,3,2,2,0,2,13,0,16,0,1,0,0,0
1969,R,blasw101,loaded,27,23,3,3,0,0,0,0,14,2,0,3,1,1,0,1,0
1969,R,blasw101,menon,151,123,37,49,6,0,2,0,43,20,7,17,6,1,3,4,0
1969,R,blasw101,scoring,97,74,23,30,4,0,1,0,40,17,7,12,3,1,1,4,0
1969,R,bluev001,empty,113,100,27,57,3,0,9,0,9,13,0,14,0,0,0,0,0
1969,R,bluev001,loaded,6,4,1,4,0,0,1,1,6,2,0,1,0,0,0,0,0
1969,R,bluev001,menon,78,69,22,39,3,1,4,1,21,5,1,10,3,0,4,0,0
1969,R,bluev001,scoring,39,35,9,13,1,0,1,1,14,3,1,6,0,0,1,0,0
1969,R,bolib101,empty,374,346,81,135,14,2,12,0,12,24,0,65,0,4,0,0,0
1969,R,bolib101,loaded,14,13,5,5,0,0,0,0,10,1,0,3,2,0,0,0,0
1969,R,bolib101,menon,265,227,68,96,7,3,5,0,64,25,3,37,7,3,5,5,0
1969,R,bolib101,scoring,152,127,43,58,4,1,3,0,56,15,3,22,4,2,3,5,0
1969,R,boozj101,empty,167,148,40,70,10,1,6,0,6,19,0,26,0,0,0,0,0
1969,R,boozj101,loaded,19,17,5,8,1,1,0,0,12,0,0,3,0,0,0,2,0
1969,R,boozj101,menon,195,173,51,81,6,3,6,0,52,17,5,21,10,0,3,2,0
1969,R,boozj101,scoring,133,115,36,57,5,2,4,0,47,16,5,14,1,0,0,2,0
1969,R,borbp101,empty,88,78,22,38,4,0,4,0,4,7,0,12,0,3,0,0,0
1969,R,borbp101,loaded,3,2,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0
1969,R,borbp101,menon,101,92,33,45,5,2,1,0,28,4,2,8,4,1,3,1,0
1969,R,borbp101,scoring,59,53,18,22,4,0,0,0,23,4,2,6,2,0,1,1,0
1969,R,bosmd101,empty,493,472,99,158,19,5,10,0,10,20,0,58,0,1,0,0,0
1969,R,bosmd101,loaded,7,5,1,2,1,0,0,0,6,0,0,1,0,0,0,2,0
1969,R,bosmd101,menon,269,238,57,66,6,0,1,0,44,19,0,41,12,1,5,6,0
1969,R,bosmd101,scoring,141,122,33,37,4,0,0,0,42,11,0,20,1,1,1,6,0
1969,L,boswd101,empty,24,20,5,7,2,0,0,0,0,4,0,3,0,0,0,0,0
1969,R,boswd101,empty,640,575,114,169,14,4,11,0,11,57,0,113,0,8,0,0,0
1969,L,boswd101,loaded,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1969,R,boswd101,loaded,20,19,5,6,1,0,0,0,12,0,0,5,0,0,0,1,0
1969,L,boswd101,menon,19,15,2,2,0,0,0,0,0,3,1,1,1,0,1,0,0
1969,R,boswd101,menon,429,377,101,145,17,3,7,0,82,42,2,77,15,0,7,3,0
1969,L,boswd101,scoring,11,9,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0
1969,R,boswd101,scoring,236,204,57,78,10,1,3,0,71,27,2,53,2,0,2,3,0
1969,R,boutj101,empty,273,254,57,106,12,2,11,0,11,17,0,58,0,2,0,0,0
1969,R,boutj101,loaded,32,29,7,12,2,0,1,1,22,3,0,7,3,0,0,0,0
1969,R,boutj101,menon,257,217,52,70,10,1,2,1,62,33,4,42,6,2,4,1,0
1969,R,boutj101,scoring,196,160,38,53,7,1,2,1,61,31,4,32,5,2,2,1,0
1969,R,boydg101,empty,27,18,2,4,2,0,0,0,0,9,0,4,0,0,0,0,0
1969,R,boydg101,menon,28,21,6,12,3,0,1,0,6,5,1,5,0,0,1,1,0
1969,R,boydg101,scoring,17,12,3,6,0,0,1,0,5,4,1,3,0,0,0,1,0
1969,R,brabg101,empty,498,435,111,182,16,5,15,0,15,56,0,67,0,7,0,0,0
1969,R,brabg101,loaded,28,25,5,8,1,1,0,0,14,1,0,7,1,0,0,2,0
1969,R,brabg101,menon,396,328,82,131,10,3,11,0,77,47,7,72,11,6,9,6,0
1969,R,brabg101,scoring,246,202,49,83,6,2,8,0,69,31,7,45,3,4,3,6,0
1969,R,bradt102,empty,5,5,4,5,1,0,0,0,0,0,0,1,0,0,0,0,0
1969,R,bradt102,menon,10,10,5,9,1,0,1,0,6,0,0,1,1,0,0,0,0
1969,R,bradt102,scoring,4,4,4,8,1,0,1,0,6,0,0,0,0,0,0,0,0
1969,R,branb102,empty,42,30,7,17,1,0,3,0,3,11,0,6,0,1,0,0,0
1969,R,branb102,loaded,9,9,2,2,0,0,0,0,3,0,0,1,0,0,0,0,0
1969,R,branb102,menon,56,44,13,20,1,0,2,0,13,8,3,5,1,1,3,0,0
1969,R,branb102,scoring,39,30,6,9,0,0,1,0,10,7,3,4,1,0,2,0,0
1969,R,bretk101,empty,102,89,20,31,3,1,2,0,2,10,0,14,0,3,0,0,0
1969,R,bretk101,loaded,3,2,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0
1969,R,bretk101,menon,76,60,21,35,2,0,4,0,19,12,1,9,4,0,3,1,0
1969,R,bretk101,scoring,42,34,10,20,1,0,3,0,17,7,1,6,1,0,0,1,0
1969,R,brewj102,empty,181,159,28,38,4,0,2,0,2,22,0,43,0,0,0,0,0
1969,R,brewj102,loaded,16,14,6,8,2,0,0,0,13,0,0,3,1,1,1,0,0
1969,R,brewj102,menon,191,162,43,62,10,0,3,0,37,19,7,49,6,4,5,1,0
1969,R,brewj102,scoring,122,98,23,32,6,0,1,0,31,17,7,33,3,3,3,1,0
1969,R,briln101,empty,549,517,132,181,21,2,8,0,8,31,0,71,0,1,0,0,0
1969,R,briln101,loaded,8,8,2,2,0,0,0,0,3,0,0,1,1,0,0,0,0
1969,R,briln101,menon,405,352,86,135,16,3,9,0,79,32,7,55,12,1,14,6,0
1969,R,briln101,scoring,217,186,43,69,6,1,6,0,65,22,7,35,5,0,3,6,0
1969,L,britj101,empty,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1969,R,britj101,empty,205,181,41,73,9,1,7,0,7,24,0,28,0,0,0,0,0
1969,R,britj101,loaded,8,4,2,6,1,0,1,1,10,3,0,2,0,0,0,1,0
1969,L,britj101,menon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
