YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1997,D,abbok002,4,7,7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0
1997,D,abbok002,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,abreb001,11,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
1997,D,alomr001,4,11,10,3,5,2,0,0,0,2,0,0,1,0,0,1,0,0
1997,D,alomr001,11,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1997,D,aloms001,2,19,19,6,13,1,0,2,0,5,0,0,2,0,0,0,0,0
1997,D,aloum001,7,14,14,3,4,1,0,0,0,1,0,0,3,1,0,0,0,0
1997,D,alvaw001,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,amarr001,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,amarr001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997,D,andeb001,8,18,17,6,10,1,0,1,0,4,1,0,4,0,0,0,0,0
1997,D,ariaa001,11,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1997,D,ausmb001,2,5,5,2,3,1,0,0,0,2,0,0,1,1,0,0,0,0
1997,D,bagwj001,3,13,12,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0
1997,D,bainh001,10,5,4,2,5,0,0,1,0,1,1,1,0,0,0,0,0,0
1997,D,bainh001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,bautd001,7,3,3,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0
1997,D,belld001,9,13,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1997,D,benam001,11,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997,D,berrd002,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,berrg001,9,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,berrg001,10,13,11,3,10,1,0,2,0,2,2,0,2,0,0,0,0,0
1997,D,berrs001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,biggc001,4,13,12,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1997,D,blauj001,6,12,10,3,6,0,0,1,0,4,2,0,2,0,0,0,0,0
1997,D,blowm001,5,5,5,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
1997,D,boggw001,5,5,5,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0
1997,D,boggw001,11,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1997,D,bondb001,7,13,12,3,5,2,0,0,0,2,0,0,3,0,0,0,1,0
1997,D,bonib001,5,14,12,4,7,0,0,1,0,3,2,1,1,1,0,0,0,0
1997,D,bordm001,6,14,10,4,5,1,0,0,0,4,4,0,2,0,0,0,0,0
1997,D,browk001,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1997,D,buhnj001,9,16,13,3,9,0,0,2,0,2,3,0,6,0,0,0,0,0
1997,D,cangj001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,carrc001,8,5,4,1,4,0,0,1,0,1,1,0,3,0,0,0,0,0
1997,D,cathm001,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997,D,colbg001,11,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1997,D,conij001,3,12,11,4,5,1,0,0,0,0,1,0,0,0,0,0,0,0
