YEAR,RESP_BAT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2002,gil-b001,loaded,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0
2002,gil-b001,menon,58,52,16,25,4,1,1,0,18,2,0,9,0,0,2,2,0
2002,gil-b001,scoring,35,31,11,17,1,1,1,0,16,2,0,5,0,0,0,2,0
2002,gil-g001,empty,253,245,56,96,13,0,9,0,9,8,0,55,0,0,0,0,0
2002,gil-g001,loaded,5,4,1,2,1,0,0,0,3,0,0,1,0,0,0,1,0
2002,gil-g001,menon,197,177,42,57,6,0,3,0,36,13,1,33,17,1,5,1,0
2002,gil-g001,scoring,114,102,23,29,3,0,1,0,30,8,1,19,4,1,2,1,0
2002,gileb002,empty,337,269,73,161,20,1,22,0,22,63,0,46,0,5,0,0,0
2002,gileb002,loaded,6,5,3,5,2,0,0,0,8,0,0,1,0,0,0,1,0
2002,gileb002,menon,307,228,75,148,17,4,16,0,81,72,24,28,10,2,0,5,0
2002,gileb002,scoring,159,101,29,55,8,0,6,0,56,52,24,15,3,1,0,5,0
2002,gilem001,empty,140,130,32,56,7,1,5,0,5,8,0,23,0,2,0,0,0
2002,gilem001,loaded,7,6,1,1,0,0,0,0,2,1,0,3,0,0,0,0,0
2002,gilem001,menon,102,83,17,29,3,0,3,0,18,17,3,18,5,0,1,1,0
2002,gilem001,scoring,67,50,9,16,1,0,2,0,14,15,3,10,3,0,1,1,0
2002,gintk001,empty,59,50,10,17,4,0,1,0,1,8,0,9,0,1,0,0,0
2002,gintk001,menon,40,31,9,14,5,0,0,0,7,9,0,6,0,0,0,0,0
2002,gintk001,scoring,20,15,4,7,3,0,0,0,5,5,0,2,0,0,0,0,0
2002,gipsc001,empty,43,39,11,17,4,1,0,0,0,4,0,8,0,0,0,0,0
2002,gipsc001,loaded,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
2002,gipsc001,menon,41,33,6,9,1,1,0,0,8,5,0,6,3,1,2,0,0
2002,gipsc001,scoring,27,20,3,5,0,1,0,0,8,4,0,4,2,1,2,0,0
2002,giraj001,empty,152,145,35,46,6,1,1,0,1,7,0,20,0,0,0,0,0
2002,giraj001,loaded,5,4,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0
2002,giraj001,menon,104,89,18,22,4,0,0,0,12,9,3,15,10,0,5,1,0
2002,giraj001,scoring,63,52,13,15,2,0,0,0,11,8,3,12,4,0,2,1,0
2002,gland001,empty,260,247,71,98,13,1,4,0,4,12,0,37,0,1,0,0,0
2002,gland001,loaded,17,15,2,2,0,0,0,0,4,0,0,1,0,1,0,1,0
2002,gland001,menon,200,175,34,47,3,2,2,0,25,13,4,20,5,1,8,3,0
2002,gland001,scoring,118,98,16,22,2,2,0,0,20,11,4,12,1,1,5,3,0
2002,glaut001,empty,345,299,67,123,9,1,15,0,15,45,0,75,0,1,0,0,0
2002,glaut001,loaded,15,10,6,9,0,0,1,1,17,1,0,1,1,1,0,3,0
2002,glaut001,menon,326,270,75,135,15,0,15,1,96,43,4,69,12,5,0,8,0
2002,glaut001,scoring,206,164,48,89,11,0,10,1,85,32,4,43,4,2,0,8,0
2002,glavt001,empty,43,41,5,6,1,0,0,0,0,2,0,6,0,0,0,0,0
2002,glavt001,loaded,3,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
2002,glavt001,menon,41,27,2,2,0,0,0,0,3,1,0,7,5,0,13,0,0
2002,glavt001,scoring,27,18,2,2,0,0,0,0,3,1,0,5,3,0,8,0,0
2002,gloar001,empty,18,18,6,10,1,0,1,0,1,0,0,3,0,0,0,0,0
2002,gloar001,loaded,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
2002,gloar001,menon,16,13,2,2,0,0,0,0,3,3,0,4,0,0,0,0,0
2002,gloar001,scoring,12,10,2,2,0,0,0,0,3,2,0,4,0,0,0,0,0
2002,glovg001,menon,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,glovg001,scoring,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,gomea001,empty,9,9,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2002,gomea001,menon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
