YEAR,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2012,gillc001,L,L,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,gillc001,L,R,15,15,3,4,1,0,0,0,1,0,0,2,0,0,0,0,0
2012,gimec001,R,L,62,56,20,24,4,0,0,0,6,5,0,14,1,0,1,0,0
2012,gimec001,R,R,47,44,6,9,0,0,1,0,3,3,0,10,3,0,0,0,0
2012,gimeh001,L,R,6,6,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2012,gimeh001,R,L,5,5,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,goldp001,R,L,201,172,59,111,20,1,10,0,34,26,4,34,3,0,0,3,0
2012,goldp001,R,R,386,342,88,141,23,0,10,0,48,34,0,96,6,4,0,6,0
2012,gomeb001,R,L,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
2012,gomec002,R,L,164,153,40,73,9,3,6,0,17,8,1,36,1,1,1,1,0
2012,gomec002,R,R,288,262,68,119,10,1,13,0,34,12,0,62,5,7,5,2,0
2012,gomej001,R,L,196,164,49,92,10,0,11,1,26,27,1,58,1,5,0,0,0
2012,gomej001,R,R,137,115,24,45,0,0,7,0,21,17,1,46,1,3,1,1,0
2012,gomej002,R,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,gomej002,R,R,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,gomem001,R,L,52,48,11,13,2,0,0,0,5,4,0,13,3,0,0,0,0
2012,gomem001,R,R,59,54,17,30,3,2,2,0,12,4,0,13,1,0,0,1,0
2012,gomey001,R,L,49,46,10,21,2,0,3,0,6,1,0,13,3,1,0,1,0
2012,gomey001,R,R,62,52,10,15,2,0,1,0,7,5,0,19,0,2,1,2,0
2012,gonza002,R,L,20,19,4,8,1,0,1,0,5,1,0,6,1,0,0,0,0
2012,gonza002,R,R,69,62,17,29,3,0,3,0,10,5,0,9,0,2,0,0,0
2012,gonza003,L,L,245,230,74,113,19,1,6,0,46,10,1,39,1,3,0,2,0
2012,gonza003,L,R,439,399,114,178,28,0,12,0,62,32,4,71,9,2,0,6,0
2012,gonza005,R,L,22,22,5,6,1,0,0,0,1,0,0,6,0,0,0,0,0
2012,gonza005,R,R,33,32,8,11,1,1,0,0,3,0,0,3,0,0,1,0,0
2012,gonzc001,L,L,209,192,51,81,10,1,6,0,27,14,2,40,6,2,0,1,0
2012,gonzc001,L,R,370,326,106,183,21,4,16,1,58,42,9,75,5,0,0,2,0
2012,gonze001,R,L,6,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
2012,gonze001,R,R,6,4,1,1,0,0,0,0,1,1,0,2,0,0,1,0,0
2012,gonzg003,R,L,20,18,1,1,0,0,0,0,1,0,0,6,0,0,2,0,0
2012,gonzg003,R,R,55,46,5,9,1,0,1,0,3,1,0,19,0,0,7,1,0
2012,gonzm002,L,R,164,152,42,59,11,0,2,0,11,11,0,20,7,0,1,0,0
2012,gonzm002,R,L,55,53,6,8,2,0,0,0,1,2,0,9,2,0,0,0,0
2012,gorda001,L,L,254,230,57,82,14,1,3,0,23,19,0,52,6,3,0,2,0
2012,gorda001,L,R,467,412,132,210,37,4,11,0,49,54,3,88,8,0,0,1,0
2012,gordd002,L,L,108,99,17,18,1,0,0,0,4,7,0,20,2,1,1,0,0
2012,gordd002,L,R,222,204,52,67,8,2,1,0,13,13,0,42,3,2,1,2,0
2012,gorzt001,L,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,gorzt001,L,R,6,5,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
2012,gosea001,L,L,35,31,9,13,2,1,0,0,3,0,0,11,1,0,4,0,0
2012,gosea001,L,R,154,135,28,40,5,2,1,0,8,17,0,48,0,2,0,0,0
2012,graht001,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,graht001,R,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
