YEAR,RESP_PIT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1998,alfoa001,loaded,23,15,2,5,0,0,1,1,16,3,0,4,0,1,0,4,0
1998,alfoa001,menon,163,127,37,62,7,0,6,1,46,21,9,23,6,2,7,6,0
1998,alfoa001,scoring,108,80,19,28,3,0,2,1,35,19,9,16,3,1,2,6,0
1998,almac001,empty,65,61,21,29,2,0,2,0,2,4,0,10,0,0,0,0,0
1998,almac001,menon,64,58,13,28,7,1,2,0,16,4,2,10,2,1,1,0,0
1998,almac001,scoring,34,31,8,20,4,1,2,0,15,3,2,6,1,0,0,0,0
1998,alvaw001,empty,363,317,64,101,10,0,9,0,9,39,0,67,0,7,0,0,0
1998,alvaw001,loaded,11,8,4,9,2,0,1,1,13,1,0,0,0,0,0,2,0
1998,alvaw001,menon,261,227,66,112,19,0,9,1,62,29,0,40,9,2,1,2,0
1998,alvaw001,scoring,138,116,32,59,9,0,6,1,51,19,0,24,2,0,1,2,0
1998,andeb002,empty,574,559,142,248,24,2,26,0,26,14,0,74,0,1,0,0,0
1998,andeb002,loaded,7,7,1,2,1,0,0,0,3,0,0,0,1,0,0,0,0
1998,andeb002,menon,271,247,79,133,13,1,13,0,71,10,2,21,15,3,8,3,0
1998,andeb002,scoring,156,139,44,82,9,1,9,0,62,6,2,10,5,2,6,3,0
1998,andem002,empty,88,75,14,15,1,0,0,0,0,12,0,25,0,1,0,0,0
1998,andem002,loaded,14,12,5,7,2,0,0,0,10,1,0,1,3,0,0,1,0
1998,andem002,menon,106,77,24,43,6,2,3,0,27,19,4,19,6,1,6,3,0
1998,andem002,scoring,73,50,15,23,3,1,1,0,22,16,4,15,3,1,3,3,0
1998,andul001,empty,8,7,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0
1998,andul001,loaded,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
1998,andul001,menon,22,21,9,12,3,0,0,0,7,1,0,1,0,0,0,0,0
1998,andul001,scoring,14,13,6,7,1,0,0,0,5,1,0,1,0,0,0,0,0
1998,appik001,empty,38,36,9,17,2,0,2,0,2,2,0,5,0,0,0,0,0
1998,appik001,loaded,2,1,1,2,1,0,0,0,3,0,0,0,0,0,0,1,0
1998,appik001,menon,31,26,12,17,2,0,1,0,11,3,1,4,2,1,0,1,0
1998,appik001,scoring,22,18,7,12,2,0,1,0,11,2,1,4,1,1,0,1,0
1998,arror001,empty,499,445,113,171,20,4,10,0,10,41,0,92,0,13,0,0,0
1998,arror001,loaded,8,8,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
1998,arror001,menon,354,316,82,132,13,2,11,0,65,24,2,60,20,6,5,3,0
1998,arror001,scoring,196,172,39,54,3,0,4,0,46,17,2,37,7,4,0,3,0
1998,ashba002,empty,556,522,141,235,28,6,18,0,18,31,0,96,0,3,0,0,0
1998,ashba002,loaded,14,12,1,2,1,0,0,0,6,0,0,3,1,0,0,2,0
