YEAR,PHASE,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1989,L,sutcr001,R,L,12,11,3,3,0,0,0,0,1,1,1,1,0,0,0,0,0
1989,L,sutcr001,R,R,14,11,2,2,0,0,0,0,2,3,1,1,1,0,0,0,0
1989,L,wardd001,R,L,4,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1989,L,wardd001,R,R,15,13,5,7,2,0,0,0,2,2,0,4,0,0,0,0,0
1989,L,welcb001,R,L,21,20,5,6,1,0,0,0,2,1,0,4,0,0,0,0,0
1989,L,welcb001,R,R,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,L,welld001,L,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,L,welld001,L,R,4,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
1989,L,willm002,L,L,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1989,L,willm002,L,R,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1989,L,wilss001,L,L,6,5,1,2,1,0,0,0,0,1,0,2,0,0,0,0,0
1989,L,wilss001,L,R,10,10,2,8,0,0,2,0,5,0,0,2,0,0,0,0,0
1989,L,younm001,L,L,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1989,L,younm001,L,R,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1989,R,aased001,R,L,131,114,31,45,9,1,1,0,14,15,3,15,1,0,1,1,0
1989,R,aased001,R,R,130,115,25,42,5,0,4,0,14,11,0,19,2,1,1,2,0
1989,R,abboj001,L,L,140,123,40,57,9,1,2,0,19,14,1,22,2,0,1,2,0
1989,R,abboj001,L,R,648,571,150,206,17,3,11,0,54,60,2,93,21,4,10,3,0
1989,R,ackej001,R,L,247,222,63,86,12,1,3,0,17,22,8,24,4,1,1,1,0
1989,R,ackej001,R,R,252,234,45,66,10,1,3,0,22,10,3,68,5,1,5,2,0
1989,R,agosj001,L,L,127,110,24,29,3,1,0,0,14,10,0,24,1,0,3,4,0
1989,R,agosj001,L,R,234,206,57,75,7,1,3,0,22,22,10,22,6,2,2,2,0
1989,R,aguir001,R,L,300,275,71,101,11,5,3,0,28,21,2,65,5,0,3,1,0
1989,R,aguir001,R,R,294,270,59,88,14,0,5,0,27,17,2,72,3,3,4,0,0
1989,R,akerd001,R,L,19,16,5,9,1,0,1,0,2,3,1,2,0,0,0,0,0
1989,R,akerd001,R,R,31,28,6,7,1,0,0,0,3,2,1,7,0,0,0,1,0
1989,R,aldrj001,R,L,76,64,11,13,2,0,0,0,8,9,3,9,2,1,1,1,0
1989,R,aldrj001,R,R,84,73,20,30,1,0,3,0,6,10,0,10,2,0,1,0,0
1989,R,alexd001,R,L,535,490,139,214,19,7,14,0,59,33,3,42,6,3,5,4,0
1989,R,alexd001,R,R,442,386,106,166,14,2,14,0,49,43,0,53,9,2,4,7,0
1989,R,allen001,R,L,9,9,5,10,0,1,1,0,2,0,0,0,0,0,0,0,0
1989,R,allen001,R,R,8,7,3,3,0,0,0,0,2,0,0,0,0,0,0,1,0
1989,R,alvaj001,R,L,110,90,21,30,6,0,1,0,8,17,2,22,4,0,3,0,0
1989,R,alvaj001,R,R,107,96,23,35,3,0,3,0,11,7,0,23,1,1,2,1,0
1989,R,alvaw001,L,L,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1989,R,alvaw001,L,R,4,3,3,9,0,0,2,0,3,1,0,0,0,0,0,0,0
1989,R,andea001,L,L,133,117,32,43,5,0,2,0,15,14,1,14,3,0,1,1,0
1989,R,andea001,L,R,713,660,182,264,35,4,13,0,71,39,0,55,18,7,3,4,0
1989,R,andel001,R,L,182,161,40,49,1,1,2,0,17,14,4,33,3,0,4,3,0
1989,R,andel001,R,R,169,157,23,29,4,1,0,0,12,10,0,52,1,0,0,2,0
1989,R,appik001,R,L,53,44,17,27,1,0,3,1,17,6,1,1,1,0,0,3,0
1989,R,appik001,R,R,53,47,17,21,4,0,0,0,3,6,0,9,2,0,0,0,0
1989,R,aquil001,R,L,279,253,73,95,11,1,3,0,27,23,4,25,3,0,0,3,0
1989,R,aquil001,R,R,312,293,75,94,10,0,3,0,32,12,0,43,9,4,2,1,0
1989,R,armsj001,R,L,108,92,26,37,8,0,1,0,11,13,2,10,1,0,2,1,0
1989,R,armsj001,R,R,79,71,14,28,2,0,4,0,10,8,2,13,1,0,0,0,0
1989,R,arnsb001,R,L,89,76,24,42,1,1,5,1,17,10,0,10,2,1,1,1,0
1989,R,arnsb001,R,R,120,106,21,28,4,0,1,0,13,12,0,16,1,2,0,0,0
1989,R,assep001,L,L,96,85,21,23,2,0,0,0,9,7,1,30,1,0,4,0,0
1989,R,assep001,L,R,235,205,53,75,13,0,3,0,28,21,7,49,5,1,5,3,0
1989,R,athek001,R,L,66,61,15,32,2,0,5,0,13,5,1,6,0,0,0,0,0
1989,R,athek001,R,R,112,103,33,54,11,2,2,0,18,8,3,7,0,0,1,0,0
1989,R,augud001,R,L,332,293,88,118,6,3,6,0,31,35,2,20,7,0,2,2,0
1989,R,augud001,R,R,316,286,87,132,10,1,11,0,47,23,0,31,8,2,0,5,0
1989,R,bails001,L,L,134,125,29,35,3,0,1,0,13,5,0,14,5,2,1,1,0
1989,R,bails001,L,R,339,306,87,130,21,2,6,0,44,24,4,33,12,1,4,4,0
1989,R,baird001,R,L,141,119,23,30,4,0,1,0,10,22,8,19,0,0,0,0,0
1989,R,baird001,R,R,135,127,29,44,6,0,3,0,14,6,2,37,4,0,1,1,0
1989,R,ballj002,L,L,152,139,39,56,3,1,4,0,15,10,0,22,2,1,1,1,0
