YEAR,PHASE,RESP_PIT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2004,R,andej002,menon,34,30,10,15,3,1,0,0,9,3,0,3,4,1,0,0,0
2004,R,andej002,scoring,19,17,6,9,1,1,0,0,8,1,0,3,0,1,0,0,0
2004,R,andej003,empty,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,andej003,loaded,3,1,1,4,0,0,1,1,6,2,0,0,0,0,0,0,0
2004,R,andej003,menon,6,2,1,4,0,0,1,1,6,4,1,0,0,0,0,0,0
2004,R,andej003,scoring,6,2,1,4,0,0,1,1,6,4,1,0,0,0,0,0,0
2004,R,ankir001,empty,28,25,6,11,2,0,1,0,1,1,0,6,0,2,0,0,0
2004,R,ankir001,menon,15,14,4,8,1,0,1,0,5,0,0,3,0,0,1,0,0
2004,R,ankir001,scoring,10,10,3,7,1,0,1,0,5,0,0,2,0,0,0,0,0
2004,R,appik001,empty,10,9,2,3,1,0,0,0,0,1,0,1,0,0,0,0,0
2004,R,appik001,loaded,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,R,appik001,menon,12,10,5,6,1,0,0,0,5,2,0,1,0,0,0,0,0
2004,R,appik001,scoring,10,9,4,5,1,0,0,0,5,1,0,1,0,0,0,0,0
2004,R,aquig001,empty,78,68,15,30,2,2,3,0,3,10,0,15,0,0,0,0,0
2004,R,aquig001,loaded,4,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2004,R,aquig001,menon,69,56,9,15,3,0,1,0,13,7,2,11,3,2,2,2,0
2004,R,aquig001,scoring,44,34,6,8,2,0,0,0,11,6,2,8,1,2,0,2,0
2004,R,armat002,empty,175,144,37,76,10,1,9,0,9,28,0,34,0,3,0,0,0
2004,R,armat002,loaded,7,4,1,1,0,0,0,0,5,1,0,2,0,1,0,1,0
2004,R,armat002,menon,145,123,29,45,4,0,4,0,25,17,6,20,9,1,2,2,0
2004,R,armat002,scoring,79,62,13,20,1,0,2,0,19,14,6,12,4,1,0,2,0
2004,D,arrob001,empty,17,14,2,5,0,0,1,0,1,2,0,3,0,1,0,0,0
2004,L,arrob001,empty,10,8,4,9,2,0,1,0,1,2,0,3,0,0,0,0,0
2004,R,arrob001,empty,451,418,98,165,27,2,12,0,12,22,0,95,0,11,0,0,0
2004,W,arrob001,empty,8,7,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0
2004,R,arrob001,loaded,13,13,5,8,0,0,1,1,11,0,0,3,0,0,0,0,0
2004,D,arrob001,menon,7,7,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0
2004,L,arrob001,menon,11,11,4,9,2,0,1,0,4,0,0,0,1,0,0,0,0
2004,R,arrob001,menon,313,270,73,112,20,2,5,1,70,25,3,47,11,9,5,4,0
2004,W,arrob001,menon,5,5,3,5,2,0,0,0,2,0,0,1,0,0,0,0,0
2004,D,arrob001,scoring,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,L,arrob001,scoring,6,6,2,5,0,0,1,0,3,0,0,0,0,0,0,0,0
2004,R,arrob001,scoring,187,158,40,66,15,1,3,1,61,17,3,25,4,7,1,4,0
2004,W,arrob001,scoring,4,4,2,4,2,0,0,0,2,0,0,1,0,0,0,0,0
2004,R,ashba002,empty,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,ashba002,menon,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,ashba002,scoring,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,astap001,empty,21,18,6,8,2,0,0,0,0,3,0,3,0,0,0,0,0
2004,R,astap001,menon,22,20,7,14,1,0,2,0,9,2,0,3,0,0,0,0,0
2004,R,astap001,scoring,13,11,4,8,1,0,1,0,7,2,0,1,0,0,0,0,0
2004,R,atchs001,empty,70,61,16,28,3,0,3,0,3,9,0,17,0,0,0,0,0
2004,R,atchs001,loaded,7,6,2,5,0,0,1,1,8,1,0,1,0,0,0,0,0
2004,R,atchs001,menon,63,55,13,18,2,0,1,1,14,5,2,19,3,0,2,1,0
2004,R,atchs001,scoring,37,31,8,12,1,0,1,1,13,5,2,12,1,0,0,1,0
2004,R,ayall001,empty,195,189,47,71,9,0,5,0,5,5,0,44,0,1,0,0,0
2004,R,ayall001,loaded,17,11,2,2,0,0,0,0,10,2,0,1,1,2,0,2,0
