YEAR,PHASE,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2013,D,albua001,R,L,3,2,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
2013,D,albua001,R,R,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,D,alvaj003,L,L,6,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2013,D,alvaj003,L,R,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,D,andeb004,L,L,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,D,andeb004,L,R,2,2,1,2,1,0,0,0,2,0,0,1,0,0,0,0,0
2013,D,archc001,R,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,D,archc001,R,R,5,4,1,1,0,0,0,0,1,0,0,2,0,0,0,1,0
2013,D,avill001,L,L,5,5,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2013,D,avill001,L,R,6,5,2,3,1,0,0,0,1,1,1,1,0,0,0,0,0
2013,D,axfoj001,R,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,D,axfoj001,R,R,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2013,D,ayall001,R,L,3,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2013,D,ayall001,R,R,5,3,1,1,0,0,0,0,0,1,0,2,0,0,1,0,0
2013,D,balfg001,R,L,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,D,balfg001,R,R,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2013,D,belir001,R,L,2,2,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0
2013,D,belir001,R,R,4,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
