YEAR,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2012,abadf001,corrk001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abadf001,dickr001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abadf001,leakm001,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abadf001,lohsk001,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abadf001,woodt004,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012,abreb001,arrij001,3,3,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0
2012,abreb001,arrob001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,bailh001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,abreb001,basta001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,batim001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,bauet001,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abreb001,beavb001,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,belim001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,blacn001,3,2,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0
2012,abreb001,blanj001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,boggm001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,bracb001,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,abreb001,bresc001,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,abreb001,brotr001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abreb001,browb004,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abreb001,broxj001,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2012,abreb001,burnc001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,byrdt001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abreb001,cahit001,4,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2012,abreb001,cainm001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,abreb001,camps002,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abreb001,cedex001,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2012,abreb001,clipt001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,collj001,3,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
2012,abreb001,collt001,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
2012,abreb001,colob001,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,cookr001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,abreb001,corbp001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,cuetj001,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,abreb001,delre001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,dickr001,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2012,abreb001,dolir001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,downs001,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abreb001,edgij001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,friee001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,furbc001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,gally001,3,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2012,abreb001,garcj002,3,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
2012,abreb001,gee-d001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2012,abreb001,gregl001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,greiz001,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2012,abreb001,hallr001,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abreb001,hampj001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,abreb001,hared001,3,3,1,4,0,0,1,0,3,0,0,1,1,0,0,0,0
2012,abreb001,harrl002,3,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2012,abreb001,harrw002,1,1,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0
2012,abreb001,hefnj001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,hellj001,3,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
2012,abreb001,hensc002,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abreb001,hernd002,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abreb001,hinsa001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abreb001,hochl001,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abreb001,humbp001,3,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,abreb001,iwakh001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,abreb001,jonen001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,abreb001,kellj001,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
