YEAR,PHASE,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2023,D,abreb002,R,L,8,8,1,2,1,0,0,0,0,0,0,5,0,0,0,0,0
2023,D,abreb002,R,R,4,4,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0
2023,D,alvaj004,L,L,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,D,alvaj004,L,R,8,6,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0
2023,D,bakeb001,R,L,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2023,D,bakeb001,R,R,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,D,bradc003,L,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,D,bradc003,L,R,11,11,3,5,2,0,0,0,0,0,0,3,0,0,0,0,0
2023,D,bradk001,R,L,14,13,6,8,2,0,0,0,2,1,0,4,0,0,0,0,0
2023,D,bradk001,R,R,8,8,1,2,1,0,0,0,0,0,0,5,0,0,0,0,0
2023,D,brasr001,R,L,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2023,D,brasr001,R,R,4,4,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0
2023,D,browh001,R,L,3,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2023,D,browh001,R,R,5,5,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0
2023,D,burkb001,L,L,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,D,burkb001,L,R,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,D,canoy001,R,L,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,D,canoy001,R,R,4,4,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0
2023,D,castm002,R,L,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2023,D,castm002,R,R,3,2,1,3,0,1,0,0,2,1,0,0,0,0,0,0,0
2023,D,chapa001,L,L,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,D,chapa001,L,R,8,4,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0
2023,D,could001,L,L,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2023,D,could001,L,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,D,domis001,R,L,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,D,domis001,R,R,8,8,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0
2023,D,dunnd001,R,L,5,4,1,4,0,0,1,0,1,1,0,1,0,0,0,0,0
2023,D,dunnd001,R,R,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,D,duraj002,R,L,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,D,duraj002,R,R,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,D,eldeb001,R,L,7,6,2,5,0,0,1,0,3,1,0,1,0,0,0,0,0
2023,D,eldeb001,R,R,7,7,3,6,0,0,1,0,1,0,0,3,0,0,0,0,0
2023,D,eovan001,R,L,17,17,4,4,0,0,0,0,1,0,0,1,0,0,0,0,0
2023,D,eovan001,R,R,9,9,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0
2023,D,fergc001,L,L,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2023,D,fergc001,L,R,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,D,flahj002,R,L,6,4,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0
2023,D,flahj002,R,R,4,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2023,D,frial001,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,D,frial001,R,R,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,D,friem001,L,L,8,7,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0
2023,D,friem001,L,R,14,11,5,9,1,0,1,0,3,3,0,1,0,0,0,0,0
2023,D,gallz001,R,L,12,10,2,2,0,0,0,0,0,2,0,3,0,0,0,0,0
2023,D,gallz001,R,R,11,11,3,6,0,0,1,0,1,0,0,1,0,0,0,0,0
2023,D,gibsk002,R,L,5,4,1,4,0,0,1,0,1,1,0,0,0,0,0,0,0
2023,D,gibsk002,R,R,5,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2023,D,ginkk001,R,L,3,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2023,D,ginkk001,R,R,4,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2023,D,gratb002,R,L,4,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2023,D,gratb002,R,R,6,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2023,D,grays001,R,L,6,5,3,5,2,0,0,0,1,1,0,0,0,0,0,0,0
2023,D,grays001,R,R,16,15,5,11,0,0,2,0,4,0,0,6,0,0,1,0,0
2023,D,grovm001,R,L,5,4,1,4,0,0,1,0,1,1,0,1,0,0,0,0,0
2023,D,grovm001,R,R,4,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2023,D,halld004,L,L,6,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
2023,D,halld004,L,R,6,6,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2023,D,handb001,L,L,3,3,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0
2023,D,handb001,L,R,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2023,D,heana001,L,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,D,heana001,L,R,11,10,2,3,1,0,0,0,1,1,0,0,0,0,0,0,0
2023,D,hernd005,R,L,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2023,D,hernd005,R,R,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,D,hoffj003,R,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,D,hoffj003,R,R,3,1,1,4,0,0,1,0,2,1,0,0,0,1,0,0,0
2023,D,igler001,R,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,D,igler001,R,R,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2023,D,javic001,R,L,15,10,1,2,1,0,0,0,0,5,0,6,0,0,0,0,0
2023,D,javic001,R,R,7,6,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
2023,D,jax-g001,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,D,jax-g001,R,R,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2023,D,jimej003,R,L,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,D,jimej003,R,R,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2023,D,johnp001,R,L,5,4,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0
2023,D,johnp001,R,R,8,6,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1
2023,D,kellj001,R,L,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,D,kellj001,R,R,5,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
2023,D,kellm002,R,L,13,12,1,2,1,0,0,0,0,1,0,3,0,0,0,0,0
