YEAR,PHASE,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2011,D,andre001,cruzj005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,andre001,gomeb001,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,D,andre001,hellj001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,andre001,moorm003,4,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2011,D,andre001,peraj002,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,D,andre001,pricd001,3,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,D,andre001,shiej002,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2011,D,avila001,ayall001,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,D,avila001,burna001,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,D,avila001,garcf002,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,D,avila001,logab001,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,D,avila001,novai001,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,D,avila001,rivem002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,avila001,robed002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,avila001,sabac001,5,4,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
2011,D,avila001,sorir001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,avila001,wadec001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,D,belta001,cruzj005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,belta001,daviw001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,belta001,gomeb001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,belta001,hellj001,2,2,2,8,0,0,2,0,2,0,0,0,0,0,0,0,0
2011,D,belta001,moorm003,4,4,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
2011,D,belta001,pricd001,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,belta001,shiej002,3,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2011,D,berkl001,hallr001,7,6,1,4,0,0,1,0,3,0,0,2,0,0,0,0,1
2011,D,berkl001,hamec001,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,D,berkl001,lee-c003,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,D,berkl001,lidgb001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,berkl001,madsr001,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,D,berkl001,oswar001,3,2,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0
2011,D,berkl001,stutm001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,berkl001,worlv001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,betay001,collj001,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,D,betay001,hernd002,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,betay001,hudsd001,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,D,betay001,kenni001,6,6,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0
2011,D,betay001,owinm001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,betay001,parkj001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,betay001,saunj001,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,betay001,shawb001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,D,betay001,ziegb001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,D,betew001,burna001,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2011,D,betew001,garcf002,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
