YEAR,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1982,adamg101,barkl001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamg101,borip101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamg101,davir001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1982,adamg101,davis001,6,5,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0
1982,adamg101,feltt101,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamg101,fingr001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamg101,forsk001,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1982,adamg101,frazg001,2,2,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0
1982,adamg101,gossr001,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1982,adamg101,gumpd001,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamg101,hannp101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamg101,jameb001,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamg101,kingb101,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1982,adamg101,kisob001,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1982,adamg101,martd001,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1982,adamg101,morgm001,6,5,2,3,1,0,0,0,0,1,0,1,0,0,0,0,0
1982,adamg101,morrj001,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamg101,mussr001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamg101,palmj001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamg101,pashl001,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1982,adamg101,petrd001,3,3,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
1982,adamg101,ruckd001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamg101,sosae101,2,2,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0
1982,adamg101,stanb001,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1982,adamg101,tobid001,5,4,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0
1982,adamg101,ujduj001,8,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1982,adamg101,vuckp001,3,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1982,adamr001,armsm001,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1982,adamr001,bluev001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamr001,boitd101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamr001,darwd001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1982,adamr001,eichm001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamr001,gottj001,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1982,adamr001,leond001,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1982,adamr001,mirap001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,adamr001,sents101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,agual001,allen001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,agual001,bereb001,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
