YEAR,PHASE,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2015,D,albeh001,R,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,D,albeh001,R,R,9,8,2,3,1,0,0,0,2,0,0,2,0,0,0,1,0
2015,D,altuj001,R,R,23,22,3,3,0,0,0,0,1,1,0,2,1,0,0,0,0
2015,D,andeb004,L,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,D,andre001,R,L,5,5,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
2015,D,andre001,R,R,17,17,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0
2015,D,arrij001,R,R,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015,D,baezj001,R,L,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,D,baezj001,R,R,4,4,3,6,0,0,1,0,3,0,0,0,0,0,0,0,0
2015,D,bautj002,R,L,12,12,4,6,2,0,0,0,1,0,0,1,0,0,0,0,0
2015,D,bautj002,R,R,11,10,2,8,0,0,2,0,4,1,0,1,0,0,0,0,0
2015,D,belta001,R,L,4,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2015,D,belta001,R,R,6,6,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,D,bryak001,R,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,D,bryak001,R,R,14,14,3,8,0,1,1,0,2,0,0,5,2,0,0,0,0
2015,D,buted001,R,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,D,cainl001,R,L,8,6,2,6,1,0,1,0,1,2,2,1,0,0,0,0,0
2015,D,cainl001,R,R,14,14,3,3,0,0,0,0,1,0,0,4,1,0,0,0,0
2015,D,carpm002,L,L,6,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2015,D,carpm002,L,R,12,12,4,7,0,0,1,0,1,0,0,3,0,0,0,0,0
2015,D,carre001,L,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,D,cartc002,R,L,1,1,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
2015,D,cartc002,R,R,16,16,4,5,1,0,0,0,0,0,0,7,0,0,0,0,0
2015,D,castj006,L,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,D,castj006,L,R,14,13,1,1,0,0,0,0,2,1,0,7,1,0,0,0,0
2015,D,casts001,R,L,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,D,casts001,R,R,12,11,3,6,0,0,1,0,1,1,1,0,0,0,0,0,0
2015,D,cespy001,R,L,10,10,4,7,0,0,1,0,3,0,0,2,0,0,0,0,0
2015,D,cespy001,R,R,10,10,1,4,0,0,1,0,1,0,0,6,0,0,0,0,0
2015,D,chirr001,R,L,4,4,2,5,0,0,1,0,3,0,0,0,0,0,0,0,0
2015,D,chirr001,R,R,7,7,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2015,D,choos001,L,L,7,5,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2015,D,choos001,L,R,16,16,4,7,0,0,1,0,2,0,0,6,0,0,0,0,0
2015,D,coghc001,L,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,D,coghc001,L,R,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
