YEAR,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2002,aybam001,R,R,46,45,10,16,3,0,1,0,3,0,0,9,0,1,0,0,0
2002,backb001,R,L,27,24,7,9,2,0,0,0,1,3,0,4,0,0,0,0,0
2002,backb001,R,R,34,28,8,17,0,0,3,1,9,4,0,2,1,2,0,0,0
2002,bacsm001,L,L,44,37,8,16,3,1,1,0,4,5,0,6,1,2,0,0,0
2002,bacsm001,L,R,203,181,55,89,11,1,7,0,19,14,3,24,5,2,5,1,0
2002,baezd001,R,L,376,324,90,134,23,3,5,0,37,48,4,58,4,2,1,1,0
2002,baezd001,R,R,350,301,70,113,14,1,9,0,40,34,1,72,8,7,1,7,0
2002,bailc001,R,L,94,71,20,31,5,0,2,0,12,21,5,7,4,1,1,0,0
2002,bailc001,R,R,117,102,33,45,3,0,3,0,20,10,2,17,7,1,2,2,0
2002,baldj002,R,L,328,297,96,152,21,1,11,0,36,29,2,45,6,0,1,1,0
2002,baldj002,R,R,334,303,83,152,22,1,15,1,51,20,0,43,13,7,3,1,0
2002,bankw001,R,L,76,69,17,29,3,0,3,0,10,4,0,17,2,2,0,1,0
2002,bankw001,R,R,86,75,15,25,4,0,2,0,7,10,0,9,1,1,0,0,0
2002,barcl001,R,L,10,10,6,9,0,0,1,0,4,0,0,0,0,0,0,0,0
2002,barcl001,R,R,18,17,3,3,0,0,0,0,1,1,0,1,1,0,0,0,0
2002,batim001,R,L,378,334,90,137,18,4,7,0,43,39,1,47,5,2,0,3,0
2002,batim001,R,R,412,367,82,119,18,2,5,0,41,31,2,65,11,4,5,5,0
2002,bauer001,R,L,151,132,38,60,5,1,5,0,12,15,4,14,5,1,1,2,0
2002,bauer001,R,R,207,182,46,69,2,0,7,1,23,21,0,31,8,3,1,0,0
2002,bechs001,R,L,13,10,2,8,0,0,2,1,5,2,0,2,0,1,0,0,0
2002,bechs001,R,R,12,10,4,8,1,0,1,0,1,2,0,1,0,0,0,0,0
2002,beckj002,R,L,228,195,48,90,7,4,9,0,27,29,2,51,1,1,3,0,0
2002,beckj002,R,R,226,206,45,66,7,1,4,0,25,15,0,62,3,0,2,3,0
2002,bedae001,L,L,3,3,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
2002,bedae001,L,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,beimj001,L,L,118,103,27,43,5,1,3,1,22,9,1,18,1,2,2,2,0
2002,beimj001,L,R,271,227,61,96,17,0,6,0,32,36,11,35,3,2,5,1,0
2002,beirk001,R,L,60,48,10,16,3,0,1,0,4,10,1,9,0,1,1,0,0
2002,beirk001,R,R,67,58,16,29,2,1,3,0,7,7,1,8,1,1,0,1,0
2002,bellr003,R,L,232,205,63,110,19,2,8,0,30,22,0,41,4,1,1,3,0
2002,bellr003,R,R,193,177,50,91,13,2,8,0,30,13,0,29,2,0,0,3,0
2002,beltf001,R,L,23,14,4,6,2,0,0,0,0,9,1,3,0,0,0,0,0
2002,beltf001,R,R,42,31,10,16,0,0,2,0,7,7,0,8,1,0,3,1,0
2002,benea001,R,L,187,156,39,57,7,1,3,0,14,27,3,27,1,1,1,2,0
2002,benea001,R,R,230,195,41,71,9,0,7,0,18,24,0,37,1,4,4,3,0
2002,benea002,R,L,75,67,16,23,4,0,1,0,7,6,0,16,3,0,1,1,0
2002,benea002,R,R,92,85,26,35,3,0,2,0,10,6,1,16,1,0,0,1,0
2002,benia001,R,L,144,119,19,40,3,0,6,0,12,19,0,41,1,1,3,2,0
2002,benia001,R,R,131,123,27,40,7,0,2,0,10,6,0,38,2,2,0,0,0
2002,benoj001,R,L,208,171,47,74,8,2,5,0,29,32,2,30,3,2,1,2,0
2002,benoj001,R,R,197,164,44,61,10,2,1,1,17,26,0,29,0,3,3,1,0
2002,bensk001,R,L,265,230,72,124,18,2,10,0,40,31,8,27,2,1,1,2,0
2002,bensk001,R,R,311,285,80,124,18,1,8,0,32,19,0,52,11,2,4,1,0
2002,berej002,R,L,160,141,46,76,9,3,5,0,22,13,0,20,4,3,2,1,0
2002,berej002,R,R,219,197,52,92,14,1,8,1,33,15,1,45,1,0,1,6,0
2002,berna001,R,L,251,224,72,126,16,4,10,0,42,19,0,39,4,2,3,3,0
2002,berna001,R,R,208,190,56,87,10,0,7,0,28,12,1,30,5,4,0,2,0
2002,bevej001,R,L,50,46,16,30,5,0,3,0,13,4,0,9,0,0,0,0,0
2002,bevej001,R,R,45,40,11,15,2,1,0,0,3,5,0,7,0,0,0,0,0
2002,biddr001,R,L,168,143,41,79,9,1,9,0,25,21,2,31,2,4,0,0,0
2002,biddr001,R,R,171,151,31,54,9,1,4,0,20,18,2,33,6,1,0,1,0
2002,boehb001,R,L,114,96,24,32,5,0,1,0,10,15,4,19,1,0,2,1,0
2002,boehb001,R,R,214,188,41,62,7,1,4,1,23,18,2,46,5,2,4,2,0
