YEAR,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1991,abnes001,akerd001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1991,abnes001,assep001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,abnes001,avers001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,abnes001,bankw001,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1991,abnes001,barnb001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,abnes001,bedrs001,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1991,abnes001,belct001,3,3,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
1991,abnes001,belis001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,abnes001,blacb001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1991,abnes001,boevj001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,abnes001,bohab001,4,4,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1991,abnes001,boltt001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1991,abnes001,boydo001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1991,abnes001,branj001,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1991,abnes001,burkj001,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1991,abnes001,burkt001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1991,abnes001,ceruj001,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1991,abnes001,charn001,4,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1991,abnes001,cox-d001,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1991,abnes001,crewt001,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,abnes001,darlr001,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
