YEAR,PHASE,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2017,D,albem001,R,L,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,D,albem001,R,R,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,D,allec002,R,L,14,13,4,4,0,0,0,0,1,1,0,4,0,0,0,0,0
2017,D,allec002,R,R,11,9,1,1,0,0,0,0,0,2,0,4,0,0,0,0,0
2017,D,arrij001,R,L,6,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
2017,D,arrij001,R,R,14,11,2,4,2,0,0,0,0,2,0,3,0,0,1,0,0
2017,D,bauet001,R,L,19,16,3,4,1,0,0,0,1,3,1,5,0,0,0,0,0
2017,D,bauet001,R,R,16,16,3,5,2,0,0,0,3,0,0,6,1,0,0,0,0
2017,D,betad001,R,L,8,7,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
2017,D,betad001,R,R,5,3,1,1,0,0,0,0,1,2,0,2,0,0,0,0,0
2017,D,brada001,R,L,8,6,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0
2017,D,brada001,R,R,13,12,3,3,0,0,0,0,0,1,0,2,0,0,0,0,0
2017,D,carrc003,R,L,12,9,2,2,0,0,0,0,0,2,0,1,2,1,0,0,0
2017,D,carrc003,R,R,10,9,1,1,0,0,0,0,0,1,0,6,0,0,0,0,0
2017,D,chafa001,L,L,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,D,chafa001,L,R,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,D,chapa001,L,L,6,6,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2017,D,chapa001,L,R,17,15,2,2,0,0,0,0,0,2,1,8,0,0,0,0,0
2017,D,cingt001,L,L,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017,D,clevm001,R,L,6,4,1,4,0,0,1,0,2,2,0,1,0,0,0,0,0
2017,D,clevm001,R,R,5,3,1,2,1,0,0,0,0,2,0,2,0,0,0,0,0
2017,D,darvy001,R,L,8,8,2,5,0,0,1,0,1,0,0,5,0,0,0,0,0
2017,D,darvy001,R,R,10,9,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
2017,D,daviw001,R,L,7,6,2,2,0,0,0,0,0,1,0,2,1,0,0,0,0
2017,D,daviw001,R,R,11,9,2,5,0,0,1,1,5,2,0,3,0,0,0,0,0
2017,D,delaj001,L,L,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2017,D,delaj001,L,R,5,5,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0
2017,D,devec001,R,L,8,8,2,2,0,0,0,0,1,0,0,3,0,0,0,0,0
2017,D,devec001,R,R,3,3,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0
2017,D,dools001,L,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,D,dools001,L,R,7,7,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0
2017,D,duenb001,L,L,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,D,duenb001,L,R,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,D,edwac001,R,L,5,4,2,5,0,0,1,0,2,1,0,1,0,0,0,0,0
2017,D,edwac001,R,R,8,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0
2017,D,fielj002,R,L,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,D,fielj002,R,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,D,fistd001,R,L,4,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2017,D,fistd001,R,R,5,5,3,6,0,0,1,0,2,0,0,1,0,0,0,0,0
2017,D,garcj004,L,L,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2017,D,garcj004,L,R,7,5,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
2017,D,gilek001,R,L,6,6,2,5,0,0,1,0,2,0,0,1,0,0,0,0,0
2017,D,gilek001,R,R,6,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,D,godlz001,R,L,12,11,2,2,0,0,0,0,1,0,0,3,0,0,1,0,0
2017,D,godlz001,R,R,10,8,2,2,0,0,0,0,2,2,0,2,0,0,0,0,0
2017,D,gonzg003,L,L,10,9,2,6,1,0,1,0,3,0,0,5,0,0,1,0,0
2017,D,gonzg003,L,R,25,19,4,9,2,0,1,0,2,6,0,6,1,0,0,0,0
2017,D,grays001,R,L,12,9,3,7,1,0,1,0,2,2,0,2,0,1,0,0,0
2017,D,grays001,R,R,5,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
2017,D,greec003,R,L,2,1,1,4,0,0,1,1,4,0,0,0,0,1,0,0,0
2017,D,greec003,R,R,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,D,gregl001,R,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,D,gregl001,R,R,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2017,D,greiz001,R,L,10,6,1,4,0,0,1,0,2,4,0,1,0,0,0,0,0
2017,D,greiz001,R,R,14,12,3,7,1,0,1,0,1,1,0,3,0,0,1,0,0
2017,D,harrw002,R,L,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,D,harrw002,R,R,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,D,hendk001,R,L,16,13,5,8,0,0,1,0,1,2,1,4,0,1,0,0,0
