YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1993,L,alomr001,4,28,24,7,8,1,0,0,0,4,4,0,3,1,0,0,0,0
1993,L,avers001,1,4,4,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0
1993,L,batik002,5,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1993,L,bellr001,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1993,L,bellr001,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1993,L,berrd002,2,20,19,4,7,0,0,1,0,3,1,0,5,1,0,0,0,0
1993,L,blauj001,6,29,25,7,14,1,0,2,0,4,4,0,7,0,0,0,0,0
1993,L,bordp001,2,24,24,6,7,1,0,0,0,3,0,0,6,0,0,0,0,0
1993,L,breas001,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,L,burke001,9,27,23,7,11,1,0,1,0,3,4,0,5,1,0,0,0,0
1993,L,cabrf001,11,3,3,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
1993,L,cartj001,9,28,27,7,7,0,0,0,0,2,1,0,5,0,0,0,0,0
1993,L,chamw001,9,12,10,4,7,3,0,0,0,1,1,1,2,0,0,0,1,0
1993,L,chamw001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1993,L,coraj001,4,28,22,3,3,0,0,0,0,1,3,0,6,1,1,2,0,0
1993,L,dauld001,2,25,19,5,9,1,0,1,0,3,6,1,3,0,0,0,0,0
1993,L,duncm001,4,15,15,4,8,0,2,0,0,0,0,0,5,0,0,0,0,0
1993,L,dyksl001,8,30,25,7,14,1,0,2,0,2,5,1,8,0,0,0,0,0
1993,L,eisej001,9,14,14,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
1993,L,eisej001,11,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1993,L,fernt001,6,25,22,7,7,0,0,0,0,1,2,2,4,1,0,1,0,0
1993,L,gantr001,7,29,27,5,8,3,0,0,0,3,2,0,9,1,0,0,0,0
1993,L,glavt001,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,L,grebc001,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,L,greet001,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
1993,L,guilo001,6,23,22,6,7,1,0,0,0,2,0,0,2,1,0,1,0,0
1993,L,hendr001,7,29,25,3,5,2,0,0,0,0,4,0,5,0,0,0,0,0
1993,L,holld001,5,25,20,4,11,1,0,2,0,4,5,0,4,1,0,0,0,0
1993,L,incap001,7,12,12,2,5,0,0,1,0,1,0,0,3,0,0,0,0,0
1993,L,jackb001,10,13,10,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0
1993,L,jackd001,1,4,4,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0
1993,L,johnl001,8,25,23,5,11,1,1,1,0,6,2,0,1,1,0,0,0,0
1993,L,jordr001,11,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1993,L,justd001,9,26,21,3,4,1,0,0,0,4,3,0,3,0,0,0,2,0
1993,L,karkr001,2,18,15,0,0,0,0,0,0,0,1,0,7,0,0,2,0,0
1993,L,krukj001,3,28,24,6,13,2,1,1,0,5,4,0,5,0,0,0,0,0
1993,L,lavam001,2,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1993,L,lemkm001,4,25,24,5,7,2,0,0,0,5,1,0,6,0,0,0,0,0
1993,L,longt001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1993,L,maddg002,1,6,4,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0
1993,L,mcgrf001,3,27,23,10,16,3,0,1,0,4,4,1,7,0,0,0,0,0
