YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1982,L,anduj001,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
1982,L,bayld001,10,20,17,5,11,1,1,1,1,10,2,0,0,1,0,0,1,0
1982,L,beneb001,2,10,8,2,3,1,0,0,0,0,2,0,1,0,0,0,0,0
1982,L,boonb001,2,19,16,4,7,0,0,1,0,4,0,0,2,0,0,2,1,0
1982,L,braus001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,L,broum001,7,4,4,3,7,1,0,1,0,3,0,0,0,0,0,0,0,0
1982,L,butlb001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,L,carer001,3,21,17,3,4,1,0,0,0,0,4,0,4,0,0,0,0,0
1982,L,chamc001,3,11,10,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
1982,L,coopc001,3,20,20,3,5,2,0,0,0,4,0,0,6,0,0,0,0,0
1982,L,decid001,5,20,19,6,8,2,0,0,0,0,1,0,5,0,0,0,0,0
1982,L,downb001,7,23,19,3,4,1,0,0,0,0,3,0,2,1,0,1,0,0
1982,L,edwam102,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,L,folit001,6,17,16,2,2,0,0,0,0,1,0,0,3,0,0,1,0,0
1982,L,forsb001,1,4,3,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0
1982,L,gantj001,4,17,16,3,3,0,0,0,0,2,1,0,1,0,0,0,0,0
1982,L,garbg001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,L,greed001,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,L,gricb001,4,19,15,3,4,1,0,0,0,1,2,0,7,0,1,1,0,0
1982,L,harpt001,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,L,hendg001,9,14,13,4,4,0,0,0,0,2,1,0,2,0,0,0,0,0
1982,L,hernk001,3,14,12,4,4,0,0,0,0,1,2,2,3,0,0,0,0,0
1982,L,herrt001,4,15,13,3,4,1,0,0,0,0,1,0,2,0,0,1,0,0
1982,L,hornb001,5,11,11,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
1982,L,hower001,10,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
