YEAR,PHASE,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1975,L,armbe101,hernr102,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1975,L,armbe101,tekuk001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,bands101,clevr101,3,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,bands101,dragd101,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,bands101,tianl101,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1975,L,bands101,wiser101,4,4,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
1975,L,bencj101,bretk101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,bencj101,candj001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1975,L,bencj101,demel101,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,bencj101,ellid101,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,bencj101,giusd101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,bencj101,kisob001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,bencj101,reusj001,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1975,L,bencj101,rookj101,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1975,L,bencj101,tekuk001,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,benij001,bluev001,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1975,L,benij001,fingr001,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,benij001,holtk101,6,6,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,benij001,lindp101,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1975,L,benij001,toddj102,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1975,L,burlr001,abbog001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,burlr001,bluev001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,burlr001,fingr001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1975,L,burlr001,holtk101,5,4,2,4,2,0,0,0,1,1,0,0,0,0,0,0,0
1975,L,burlr001,lindp101,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,campb101,clevr101,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1975,L,campb101,dragd101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,campb101,tianl101,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,campb101,wiser101,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,candj001,carrc103,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,candj001,nolag101,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1975,L,concd001,candj001,3,3,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0
1975,L,concd001,demel101,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,concd001,ellid101,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,concd001,giusd101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,concd001,kisob001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,concd001,reusj001,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1975,L,concd001,rookj101,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,concd001,tekuk001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,coopc001,abbog001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,coopc001,bluev001,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,coopc001,fingr001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,coopc001,holtk101,5,4,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0
1975,L,coopc001,lindp101,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1975,L,coopc001,toddj102,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,doyld102,bluev001,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,doyld102,fingr001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1975,L,doyld102,holtk101,6,6,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
1975,L,doyld102,lindp101,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1975,L,dyerd101,eastr101,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1975,L,evand002,abbog001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,evand002,bluev001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,evand002,fingr001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,evand002,holtk101,5,5,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,evand002,lindp101,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1975,L,evand002,toddj102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,fiskc001,bluev001,2,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,fiskc001,fingr001,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1975,L,fiskc001,holtk101,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,fiskc001,lindp101,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,fiskc001,toddj102,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1975,L,fossr101,clevr101,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,fostg001,candj001,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1975,L,fostg001,demel101,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,fostg001,giusd101,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,fostg001,kisob001,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1975,L,fostg001,reusj001,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,fostg001,rookj101,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,fostg001,tekuk001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,garnp001,clevr101,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,garnp001,tianl101,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,garnp001,wiser101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,geroc101,bretk101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,geroc101,candj001,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1975,L,geroc101,demel101,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1975,L,geroc101,ellid101,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,geroc101,hernr102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,geroc101,kisob001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,geroc101,reusj001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,geroc101,rookj101,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,geroc101,tekuk001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1975,L,grifk001,candj001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1975,L,grifk001,demel101,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1975,L,grifk001,ellid101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,grifk001,hernr102,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,grifk001,kisob001,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1975,L,grifk001,reusj001,2,2,1,2,1,0,0,0,2,0,0,1,0,0,0,0,0
1975,L,grifk001,rookj101,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1975,L,grifk001,tekuk001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,gulld101,bretk101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,gulld101,demel101,1,1,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0
1975,L,gulld101,ellid101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,gulld101,reusj001,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1975,L,harpt101,morer101,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1975,L,hebnr001,borbp101,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,hebnr001,eastr101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,hebnr001,gulld101,4,4,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0
1975,L,hebnr001,mcenw101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,hebnr001,nolag101,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,hebnr001,normf101,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1975,L,holtj101,dragd101,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,holtj101,tianl101,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,hopkd101,tianl101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,jackr001,clevr101,2,2,2,5,0,0,1,0,2,0,0,0,0,0,0,0,0
1975,L,jackr001,dragd101,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,jackr001,morer101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,jackr001,tianl101,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,jackr001,wiser101,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
1975,L,kirke102,eastr101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,kirke102,nolag101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,lynnf001,bluev001,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,lynnf001,fingr001,2,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1975,L,lynnf001,holtk101,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,lynnf001,lindp101,3,2,1,2,1,0,0,0,2,0,0,0,0,0,1,0,0
1975,L,morgj001,bretk101,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,morgj001,candj001,4,4,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,morgj001,demel101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,morgj001,ellid101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,morgj001,hernr102,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1975,L,morgj001,kisob001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1975,L,morgj001,reusj001,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1975,L,morgj001,rookj101,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,morgj001,tekuk001,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,nolag101,candj001,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1975,L,normf101,rookj101,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1975,L,nortb101,clevr101,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,nortb101,dragd101,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1975,L,nortb101,tianl101,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1975,L,nortb101,wiser101,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,oliva001,borbp101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,oliva001,eastr101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,oliva001,gulld101,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,oliva001,mcenw101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,oliva001,nolag101,3,3,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0
1975,L,oliva001,normf101,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1975,L,parkd001,eastr101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,parkd001,gulld101,4,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1975,L,parkd001,mcenw101,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,parkd001,nolag101,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,parkd001,normf101,3,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
1975,L,peret001,candj001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1975,L,peret001,demel101,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1975,L,peret001,ellid101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,peret001,giusd101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,peret001,kisob001,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1975,L,peret001,reusj001,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1975,L,peret001,rookj101,2,2,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0
1975,L,peret001,tekuk001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,petrr101,bluev001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,petrr101,bosmd101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,petrr101,fingr001,2,2,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0
1975,L,petrr101,holtk101,5,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1975,L,petrr101,lindp101,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,petrr101,toddj102,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1975,L,randw001,borbp101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,randw001,gulld101,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,L,rettm101,bretk101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,L,rettm101,candj001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1975,L,reusj001,gulld101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
