YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1985,L,anded001,6,8,5,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
1985,L,anduj001,1,4,4,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0
1985,L,bailb001,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,L,balbs001,3,27,25,3,3,0,0,0,0,1,2,0,8,0,0,0,0,0
1985,L,barfj001,9,28,25,7,11,1,0,1,0,4,3,0,7,0,0,0,0,0
1985,L,bellg001,7,30,28,9,12,3,0,0,0,1,0,0,4,0,1,0,1,0
1985,L,bianb001,6,20,18,4,5,1,0,0,0,1,1,0,6,0,0,1,0,0
1985,L,braus001,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,L,bretg001,5,30,23,8,19,2,0,3,0,5,7,3,5,0,0,0,0,0
1985,L,brocg001,3,13,11,1,4,0,0,1,0,2,2,0,2,1,0,0,0,0
1985,L,brocg001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,L,burrj001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,L,cabee001,3,10,10,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
1985,L,cabee001,11,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1985,L,castr001,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1985,L,cedec001,9,12,10,2,3,1,0,0,0,0,2,1,2,0,0,0,0,0
1985,L,cedec001,11,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1985,L,clarj001,3,26,21,8,11,0,0,1,0,4,5,3,5,0,0,0,0,0
1985,L,colev001,7,14,14,4,4,0,0,0,0,1,0,0,2,1,0,0,0,0
1985,L,conco001,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,L,cox-d001,1,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1985,L,daylk001,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,L,duncm001,6,19,18,4,8,2,1,0,0,1,1,0,3,0,0,0,0,0
1985,L,fernt001,6,26,24,8,10,2,0,0,0,2,1,0,2,1,0,0,1,0
1985,L,fielc001,11,3,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1985,L,forsb001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1985,L,garcd001,4,33,30,7,11,4,0,0,0,1,3,0,3,0,0,0,0,0
1985,L,guerp001,7,26,20,5,6,1,0,0,0,4,5,5,2,1,0,0,1,0
