YEAR,PHASE,RESP_BAT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2015,R,aardd001,empty,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,abrej003,empty,382,360,94,168,16,2,18,0,18,16,0,80,0,6,0,0,0
2015,R,abrej003,loaded,11,10,3,6,0,0,1,1,8,1,0,2,1,0,0,0,0
2015,R,abrej003,menon,286,253,84,140,18,1,12,1,83,23,11,60,16,9,0,1,0
2015,R,abrej003,scoring,161,132,45,70,7,0,6,1,64,21,11,32,4,7,0,1,0
2015,R,ackld001,empty,147,137,36,59,7,2,4,0,4,9,0,23,0,1,0,0,0
2015,R,ackld001,loaded,9,8,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0
2015,R,ackld001,menon,117,101,19,43,4,1,6,0,26,9,0,22,3,0,3,4,0
2015,R,ackld001,scoring,69,60,7,15,2,0,2,0,17,5,0,17,1,0,0,4,0
2015,R,adama001,menon,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015,R,adama001,scoring,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015,R,adamc001,empty,37,35,8,9,1,0,0,0,0,1,0,8,0,1,0,0,0
2015,R,adamc001,loaded,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2015,R,adamc001,menon,21,18,5,7,0,1,0,0,3,2,1,3,0,0,1,0,0
2015,R,adamc001,scoring,11,9,2,2,0,0,0,0,2,2,1,1,0,0,0,0,0
2015,R,adamm002,empty,75,71,18,27,3,0,2,0,2,4,0,20,0,0,0,0,0
2015,R,adamm002,loaded,5,5,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2015,R,adamm002,menon,111,104,24,39,6,0,3,0,22,6,1,21,1,0,0,1,0
2015,R,adamm002,scoring,61,56,12,18,3,0,1,0,17,4,1,12,0,0,0,1,0
2015,R,adrie001,empty,75,65,8,13,5,0,0,0,0,10,0,13,0,0,0,0,0
2015,R,adrie001,loaded,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015,R,adrie001,menon,59,48,13,17,2,1,0,0,11,5,0,7,2,4,2,0,0
2015,R,adrie001,scoring,37,26,8,11,1,1,0,0,10,5,0,3,1,4,2,0,0
2015,R,affej001,menon,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015,R,affej001,scoring,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,aguij001,empty,13,12,1,2,1,0,0,0,0,0,0,6,0,1,0,0,0
2015,R,aguij001,menon,7,7,5,5,0,0,0,0,2,0,0,1,0,0,0,0,0
2015,R,aguij001,scoring,4,4,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0
2015,R,ahmen001,empty,265,253,55,89,11,4,5,0,5,12,0,53,0,0,0,0,0
2015,R,ahmen001,loaded,6,4,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0
2015,R,ahmen001,menon,194,168,40,62,6,2,4,0,29,17,1,28,4,1,5,3,0
2015,R,ahmen001,scoring,121,101,21,28,4,0,1,0,20,13,1,17,1,0,4,3,0
2015,D,albeh001,empty,9,9,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0
2015,R,albeh001,empty,61,59,13,14,1,0,0,0,0,2,0,11,0,0,0,0,0
2015,R,albeh001,loaded,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,D,albeh001,menon,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0
2015,R,albeh001,menon,43,40,9,12,1,1,0,0,4,0,0,6,2,0,3,0,0
2015,D,albeh001,scoring,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0
2015,R,albeh001,scoring,24,22,2,2,0,0,0,0,3,0,0,5,2,0,2,0,0
2015,R,alcaa001,empty,19,16,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0
2015,R,alcaa001,loaded,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,R,alcaa001,menon,13,10,2,2,0,0,0,0,1,2,0,4,0,0,1,0,0
2015,R,alcaa001,scoring,7,6,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0
2015,R,almoa001,empty,149,136,39,60,8,5,1,0,1,13,0,24,0,0,0,0,0
2015,R,almoa001,loaded,8,5,1,4,0,0,1,1,7,2,0,1,0,0,0,1,0
2015,R,almoa001,menon,109,96,19,35,4,0,4,1,23,8,0,28,5,0,3,2,0
2015,R,almoa001,scoring,64,55,10,18,2,0,2,1,18,5,0,14,3,0,2,2,0
2015,R,alony001,empty,229,208,64,90,12,1,4,0,4,20,0,33,0,1,0,0,0
2015,R,alony001,loaded,10,5,1,4,0,0,1,1,9,3,0,0,1,1,0,1,0
2015,R,alony001,menon,173,146,36,45,6,0,1,1,27,22,3,15,13,2,0,3,0
2015,R,alony001,scoring,96,74,15,19,1,0,1,1,25,18,3,8,4,1,0,3,0
2015,R,altha001,empty,97,86,20,41,8,2,3,0,3,8,0,29,0,3,0,0,0
2015,R,altha001,loaded,3,2,2,7,0,1,1,1,8,1,0,0,0,0,0,0,0
2015,R,altha001,menon,64,51,13,26,3,2,2,1,19,8,0,12,3,2,1,2,0
2015,R,altha001,scoring,36,29,8,18,2,1,2,1,17,4,0,7,1,1,0,2,0
2015,D,altuj001,empty,19,18,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0
2015,F,altuj001,empty,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,altuj001,empty,444,421,134,198,26,4,10,0,10,18,0,46,0,5,0,0,0
2015,D,altuj001,loaded,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,F,altuj001,loaded,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,R,altuj001,loaded,19,14,3,4,1,0,0,0,12,1,0,0,1,1,0,3,0
2015,D,altuj001,menon,4,4,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2015,F,altuj001,menon,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,R,altuj001,menon,245,217,66,95,14,0,5,0,56,15,8,21,17,4,3,6,0
2015,D,altuj001,scoring,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,F,altuj001,scoring,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,R,altuj001,scoring,137,111,33,49,7,0,3,0,47,13,8,15,5,4,3,6,0
2015,R,alvad002,empty,24,23,3,6,0,0,1,0,1,1,0,7,0,0,0,0,0
2015,R,alvad002,menon,7,6,4,5,1,0,0,0,0,1,0,1,0,0,0,0,0
2015,R,alvad002,scoring,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,R,alvah001,empty,4,4,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,alvah001,menon,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,R,alvah001,scoring,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,F,alvap001,empty,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015,R,alvap001,empty,269,251,59,132,7,0,22,0,22,17,0,72,0,1,0,0,0
2015,R,alvap001,loaded,19,16,6,6,0,0,0,0,15,1,0,3,0,0,0,2,0
2015,F,alvap001,menon,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,alvap001,menon,222,186,47,73,11,0,5,0,55,31,9,59,6,1,0,4,0
2015,R,alvap001,scoring,147,121,27,42,6,0,3,0,49,21,9,37,4,1,0,4,0
2015,R,amara001,empty,201,190,32,47,7,1,2,0,2,10,0,33,0,1,0,0,0
2015,R,amara001,loaded,9,7,1,1,0,0,0,0,5,0,0,2,0,0,0,2,0
2015,R,amara001,menon,156,134,34,46,3,3,1,0,28,14,4,22,6,0,3,5,0
2015,R,amara001,scoring,84,69,19,26,1,3,0,0,25,10,4,13,1,0,0,5,0
2015,R,andeb004,empty,29,26,2,2,0,0,0,0,0,3,0,20,0,0,0,0,0
2015,R,andeb004,loaded,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015,D,andeb004,menon,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,andeb004,menon,32,21,2,3,1,0,0,0,3,2,0,12,2,0,9,0,0
2015,D,andeb004,scoring,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,andeb004,scoring,22,13,2,3,1,0,0,0,3,1,0,9,0,0,8,0,0
2015,R,andeb005,empty,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,R,andeb005,menon,4,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0
2015,R,andeb005,scoring,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015,R,andec001,empty,33,32,3,3,0,0,0,0,0,1,0,17,0,0,0,0,0
2015,R,andec001,loaded,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,R,andec001,menon,24,16,2,2,0,0,0,0,3,0,0,6,2,0,8,0,0
2015,R,andec001,scoring,13,10,2,2,0,0,0,0,3,0,0,2,1,0,3,0,0
2015,R,andec002,empty,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2015,D,andre001,empty,15,15,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0
2015,R,andre001,empty,372,346,91,127,25,1,3,0,3,26,0,52,0,0,0,0,0
2015,R,andre001,loaded,16,15,6,6,0,0,0,0,12,0,0,1,2,0,0,1,0
2015,D,andre001,menon,7,7,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
2015,R,andre001,menon,289,250,63,86,9,1,4,0,59,20,1,26,14,2,8,9,0
2015,D,andre001,scoring,5,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2015,R,andre001,scoring,169,143,35,43,5,0,1,0,50,12,1,17,6,2,3,9,0
2015,R,andrm001,empty,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,R,annad001,empty,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,R,aokin001,empty,274,254,71,101,9,3,5,0,5,17,0,19,0,3,0,0,0
2015,R,aokin001,loaded,5,4,1,1,0,0,0,0,3,1,0,1,0,0,0,0,0
2015,R,aokin001,menon,118,101,31,34,3,0,0,0,21,13,0,6,8,3,1,0,0
2015,R,aokin001,scoring,77,64,22,24,2,0,0,0,21,12,0,3,5,1,0,0,0
2015,R,araue001,menon,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,araue001,scoring,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,archc001,empty,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015,R,archc001,menon,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,archc001,scoring,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,arcio001,empty,33,33,9,9,0,0,0,0,0,0,0,8,0,0,0,0,0
2015,R,arcio001,loaded,3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0
2015,R,arcio001,menon,32,25,7,13,0,0,2,0,8,4,4,7,2,2,0,1,0
2015,R,arcio001,scoring,19,12,3,6,0,0,1,0,6,4,4,4,0,2,0,1,0
2015,R,arenj001,empty,41,40,12,26,2,0,4,0,4,1,0,11,0,0,0,0,0
2015,R,arenj001,loaded,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2015,R,arenj001,menon,32,31,10,17,1,0,2,0,13,0,0,11,1,0,0,1,0
2015,R,arenj001,scoring,15,14,6,9,0,0,1,0,10,0,0,4,0,0,0,1,0
2015,R,arenn001,empty,359,346,88,172,26,2,18,0,18,10,0,59,0,3,0,0,0
2015,R,arenn001,loaded,7,5,1,4,0,0,1,1,6,0,0,2,2,0,0,2,0
2015,R,arenn001,menon,306,270,89,182,17,2,24,1,112,24,13,51,17,1,0,11,0
2015,R,arenn001,scoring,182,150,56,110,11,2,13,1,86,21,13,34,6,0,0,11,0
2015,R,ariaj001,empty,41,41,8,11,0,0,1,0,1,0,0,10,0,0,0,0,0
2015,R,ariaj001,loaded,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,R,ariaj001,menon,18,17,4,5,1,0,0,0,3,0,0,2,1,0,1,0,0
2015,R,ariaj001,scoring,8,8,2,3,1,0,0,0,3,0,0,1,0,0,0,0,0
2015,D,arrij001,empty,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,F,arrij001,empty,3,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
2015,L,arrij001,empty,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,arrij001,empty,44,44,9,18,1,1,2,0,2,0,0,23,0,0,0,0,0
2015,R,arrij001,loaded,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015,D,arrij001,menon,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,arrij001,menon,39,35,3,3,0,0,0,0,0,1,0,22,1,0,3,0,0
2015,D,arrij001,scoring,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,arrij001,scoring,29,27,1,1,0,0,0,0,0,1,0,20,1,0,1,0,0
2015,R,aschc001,empty,266,252,60,95,10,2,7,0,7,11,0,69,0,3,0,0,0
2015,R,aschc001,loaded,6,6,1,3,0,1,0,0,3,0,0,1,0,0,0,0,0
2015,R,aschc001,menon,190,173,44,73,12,1,5,0,32,15,3,42,4,1,0,1,0
2015,R,aschc001,scoring,94,83,20,33,5,1,2,0,25,9,3,18,1,1,0,1,0
2015,R,ashea001,empty,5,5,2,3,1,0,0,0,0,0,0,2,0,0,0,0,0
2015,R,ashea001,menon,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,ashln001,empty,13,12,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0
2015,R,ashln001,loaded,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,ashln001,menon,8,8,2,3,1,0,0,0,1,0,0,2,0,0,0,0,0
2015,R,ashln001,scoring,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,aumop001,menon,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,R,aumop001,scoring,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,R,avila001,empty,132,106,19,30,5,0,2,0,2,26,0,46,0,0,0,0,0
2015,R,avila001,loaded,4,4,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0
2015,R,avila001,menon,87,72,15,21,0,0,2,0,11,14,0,20,4,0,1,0,0
2015,R,avila001,scoring,47,37,9,15,0,0,2,0,11,9,0,10,2,0,1,0,0
2015,R,avill001,empty,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,R,avilm001,empty,184,176,44,63,7,0,4,0,4,8,0,23,0,0,0,0,0
2015,R,avilm001,loaded,7,5,1,1,0,0,0,0,4,1,0,0,0,0,0,1,0
2015,R,avilm001,menon,133,114,23,29,3,0,1,0,13,12,0,15,18,1,5,1,0
2015,R,avilm001,scoring,61,49,11,11,0,0,0,0,10,9,0,5,3,0,2,1,0
2015,R,axeld001,empty,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,R,axeld001,menon,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
