YEAR,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2010,abadf001,doteo001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,aardd001,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,accaj001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,aceva001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,albaj001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,ambrh001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,andeb004,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,arrij001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,atchs001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,baila001,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,abreb001,bakes002,6,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,balfg001,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,bannb001,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,beckj002,7,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2010,abreb001,belim001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,belir001,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,belto001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2010,abreb001,bergb002,3,3,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0
2010,abreb001,billc001,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,abreb001,blacn001,4,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2010,abreb001,blevj001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,boggm001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,bondj001,9,8,2,3,1,0,0,0,1,1,0,2,0,0,0,0,0
2010,abreb001,bonie002,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,bonsb001,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2010,abreb001,bowec001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,bradd002,14,13,5,9,1,0,1,0,1,1,0,3,1,0,0,0,0
2010,abreb001,bradz001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,bresc001,6,6,3,7,1,0,1,0,1,0,0,1,0,0,0,0,0
2010,abreb001,broxj001,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,buchc001,9,9,2,6,1,0,1,0,1,0,0,0,0,0,0,0,0
2010,abreb001,bullb001,3,2,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0
2010,abreb001,burna001,4,3,2,4,2,0,0,0,0,1,0,1,0,0,0,0,0
2010,abreb001,bushd001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,cahit001,9,7,2,6,1,0,1,0,2,2,0,3,1,0,0,0,0
2010,abreb001,carmf001,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,abreb001,carpc002,3,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,abreb001,carrc003,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2010,abreb001,cecib001,6,6,2,3,1,0,0,0,0,0,0,3,0,0,0,0,0
2010,abreb001,chacj001,3,3,1,3,0,1,0,0,0,0,0,2,0,0,0,0,0
2010,abreb001,chamj002,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,abreb001,chavj001,2,2,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
2010,abreb001,chenb001,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,choar001,4,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2010,abreb001,cokep001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,coloj001,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,abreb001,cooka002,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,cordc001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,corml001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,craij001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,dankj001,7,5,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0
2010,abreb001,davik002,7,5,1,2,1,0,0,0,0,2,0,1,0,0,0,0,0
2010,abreb001,daviw001,6,5,2,3,1,0,0,0,1,1,0,2,0,0,0,0,0
2010,abreb001,delcm001,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2010,abreb001,doubf001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,downs001,4,4,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0
2010,abreb001,duenb001,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,ely-j001,6,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
2010,abreb001,felds001,6,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2010,abreb001,felin001,5,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2010,abreb001,fistd001,7,5,1,2,1,0,0,0,1,2,0,1,0,0,0,0,0
2010,abreb001,florr001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,floyg001,3,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
2010,abreb001,franf001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,franj003,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2010,abreb001,franr001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,frasj002,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,frenl001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,garcf002,6,4,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0
2010,abreb001,garzm001,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,abreb001,gaudc001,3,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
2010,abreb001,germj001,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2010,abreb001,gomej002,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,gonze002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,gonzg003,6,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
2010,abreb001,gonzm001,3,3,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
2010,abreb001,grabj002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,abreb001,greiz001,8,8,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0
