YEAR,PHASE,RESP_PIT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1983,R,abbog001,empty,321,307,94,152,22,0,12,0,12,11,0,31,0,3,0,0,0
1983,R,abbog001,loaded,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,R,abbog001,menon,220,200,52,74,10,3,2,0,39,11,3,18,11,1,5,3,0
1983,R,abbog001,scoring,127,116,31,47,6,2,2,0,36,6,3,11,3,1,1,3,0
1983,R,ackej001,empty,205,186,47,65,9,0,3,0,3,14,0,27,0,5,0,0,0
1983,R,ackej001,loaded,17,14,7,9,2,0,0,0,20,2,0,0,1,0,0,1,0
1983,R,ackej001,menon,221,191,56,84,14,1,4,0,59,24,1,17,17,3,1,2,0
1983,R,ackej001,scoring,146,124,35,48,8,1,1,0,49,18,1,14,8,2,0,2,0
1983,R,agosj001,empty,84,78,22,26,4,0,0,0,0,6,0,19,0,0,0,0,0
1983,R,agosj001,loaded,5,4,1,1,0,0,0,0,4,0,0,1,1,0,0,1,0
1983,L,agosj001,menon,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1983,R,agosj001,menon,82,67,19,26,1,0,2,0,18,5,1,10,8,1,5,4,0
1983,L,agosj001,scoring,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1983,R,agosj001,scoring,48,38,10,10,0,0,0,0,13,3,1,8,4,1,2,4,0
1983,R,alexd001,empty,375,351,94,171,22,2,17,0,17,24,0,38,0,0,0,0,0
1983,R,alexd001,loaded,4,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
1983,R,alexd001,menon,228,213,63,91,15,2,3,0,49,9,1,25,13,1,1,4,0
1983,R,alexd001,scoring,125,114,32,44,9,0,1,0,41,6,1,17,5,0,1,4,0
1983,R,allen001,empty,417,374,97,124,8,2,5,0,5,42,0,68,0,1,0,0,0
1983,R,allen001,loaded,22,22,6,10,1,0,1,1,16,0,0,2,2,0,0,0,0
1983,R,allen001,menon,345,292,82,118,9,3,7,1,73,42,9,38,21,0,9,2,0
1983,R,allen001,scoring,202,169,44,68,5,2,5,1,66,29,9,22,7,0,2,2,0
1983,R,altap001,empty,87,79,27,53,3,1,7,0,7,7,0,12,0,1,0,0,0
1983,R,altap001,loaded,5,5,1,4,0,0,1,1,4,0,0,2,0,0,0,0,0
1983,R,altap001,menon,86,70,11,19,2,0,2,1,12,8,3,12,5,1,6,1,0
1983,R,altap001,scoring,53,43,6,10,1,0,1,1,9,7,3,7,3,1,1,1,0
1983,R,andeb101,empty,132,117,30,47,5,0,4,0,4,15,0,18,0,0,0,0,0
1983,R,andeb101,loaded,8,7,3,4,1,0,0,0,6,0,0,0,1,0,0,1,0
1983,R,andeb101,menon,158,134,34,56,10,0,4,0,38,17,6,14,10,0,5,2,0
1983,R,andeb101,scoring,93,79,20,35,6,0,3,0,32,12,6,8,6,0,0,2,0
1983,R,andel001,empty,64,59,10,15,5,0,0,0,0,5,0,8,0,0,0,0,0
