YEAR,PHASE,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1977,L,birdd101,R,L,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1977,L,birdd101,R,R,7,6,3,3,0,0,0,0,1,0,0,1,1,0,0,1,0
1977,L,brusw001,R,L,2,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0
1977,L,brusw001,R,R,8,7,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0
1977,L,carls001,L,R,54,46,13,19,0,0,2,1,8,8,0,6,2,0,0,0,0
1977,L,chril101,R,L,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
1977,L,chril101,R,R,12,12,6,9,3,0,0,0,3,0,0,0,0,0,0,0,0
1977,L,figue101,R,L,8,8,1,3,0,1,0,0,1,0,0,2,0,0,0,0,0
1977,L,figue101,R,R,9,6,4,7,1,1,0,0,2,2,0,1,0,0,0,1,0
1977,L,garbg001,R,L,6,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,L,garbg001,R,R,14,14,3,4,1,0,0,0,2,0,0,2,0,0,0,0,0
1977,L,garmm101,R,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,L,garmm101,R,R,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1977,L,guidr001,L,L,12,11,3,5,0,1,0,0,1,1,0,0,0,0,0,0,0
1977,L,guidr001,L,R,33,30,6,8,2,0,0,0,3,2,0,8,0,0,0,1,0
1977,L,gulld101,L,L,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1977,L,gulld101,L,R,8,7,4,8,1,0,1,0,4,1,0,0,0,0,0,0,0
1977,L,gural001,L,L,8,7,4,5,1,0,0,0,2,1,0,2,0,0,0,0,0
1977,L,gural001,L,R,6,6,3,5,2,0,0,0,2,0,0,0,0,0,0,0,0
1977,L,hassa001,L,L,11,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1977,L,hassa001,L,R,11,11,5,8,0,0,1,0,2,0,0,1,0,0,0,0,0
1977,L,hootb001,R,L,5,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
1977,L,hootb001,R,R,6,4,2,2,0,0,0,0,1,2,0,1,0,0,0,0,0
1977,L,hougc001,R,L,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
1977,L,hougc001,R,R,4,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
1977,L,johnt001,L,L,20,18,4,5,1,0,0,0,0,1,0,8,0,1,0,0,0
1977,L,johnt001,L,R,40,35,7,10,0,0,1,0,5,4,0,3,1,1,0,0,0
1977,L,leond001,R,L,20,18,3,5,2,0,0,0,0,2,0,2,0,0,0,0,0
1977,L,leond001,R,R,14,14,2,3,1,0,0,0,1,0,0,2,0,0,0,0,0
1977,L,littm101,R,L,6,4,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0
1977,L,littm101,R,R,12,10,4,5,1,0,0,0,3,1,0,1,0,0,0,1,0
