YEAR,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2001,abada001,L,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,abboj002,R,L,12,12,4,6,2,0,0,0,1,0,0,3,1,0,0,0,0
2001,abboj002,R,R,34,30,7,8,1,0,0,0,4,3,0,4,0,1,0,0,0
2001,abbok002,R,L,7,7,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2001,abbok002,R,R,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,abbop001,R,R,5,4,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2001,aberb001,R,L,81,75,24,40,8,1,2,0,7,6,0,9,2,0,0,0,0
2001,aberb001,R,R,254,229,58,76,9,0,3,0,26,21,1,26,1,0,3,1,0
2001,abreb001,L,L,191,159,41,58,14,0,1,0,24,29,0,41,4,0,0,3,0
2001,abreb001,L,R,513,429,129,261,34,4,30,0,86,77,11,96,9,1,0,6,0
2001,acevj001,R,R,4,3,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0
2001,acevj002,R,L,7,6,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
2001,acevj002,R,R,29,28,4,5,1,0,0,0,1,0,0,15,0,0,1,0,0
2001,adamt001,R,L,12,9,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0
2001,adamt001,R,R,36,30,2,3,1,0,0,0,1,2,0,14,0,0,3,1,0
2001,agbab001,R,L,86,72,24,39,2,2,3,0,9,12,0,17,2,1,1,0,0
2001,agbab001,R,R,253,224,58,79,12,0,3,0,18,24,0,56,9,4,0,1,0
2001,alcai001,R,L,12,11,1,2,1,0,0,0,1,1,0,5,1,0,0,0,0
2001,alcai001,R,R,29,27,9,9,0,0,0,0,2,2,0,8,2,0,0,0,0
2001,aldrc001,L,R,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2001,alfoe001,R,L,101,90,19,32,7,0,2,0,8,8,0,9,0,1,0,2,0
2001,alfoe001,R,R,418,367,92,152,15,0,15,0,41,43,0,53,7,4,1,3,0
2001,alicl001,L,R,329,304,85,119,14,4,4,0,29,19,0,50,3,3,2,1,0
2001,alicl001,R,L,89,83,21,23,2,0,0,0,3,4,0,6,3,1,1,0,0
2001,allec001,R,L,59,52,14,27,5,1,2,0,9,7,1,10,2,0,0,0,0
2001,allec001,R,R,136,123,32,48,8,1,2,0,11,12,0,27,5,0,0,1,0
2001,almoe001,R,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,almoe001,R,R,3,3,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0
2001,alomr001,L,R,500,421,150,236,27,10,13,0,77,63,5,43,9,3,6,7,0
2001,alomr001,R,L,177,154,43,75,7,2,7,0,23,17,0,28,0,1,3,2,0
2001,aloms001,R,L,45,44,12,18,0,0,2,0,7,1,0,4,1,0,0,0,0
2001,aloms001,R,R,194,176,42,58,8,1,2,0,14,11,1,13,5,2,3,2,0
2001,aloum001,R,L,113,99,42,65,6,1,5,0,21,11,5,6,4,1,0,2,0
2001,aloum001,R,R,468,414,128,219,25,0,22,0,87,46,9,51,14,2,0,6,0
2001,andeb001,L,L,96,81,15,24,3,0,2,0,11,13,0,20,1,2,0,0,0
2001,andeb001,L,R,405,349,72,105,9,3,6,0,34,47,4,57,2,6,2,1,0
2001,andeb002,L,R,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,andeb002,R,L,14,14,3,6,1,1,0,0,0,0,0,2,1,0,0,0,0
2001,andeb002,R,R,20,20,2,2,0,0,0,0,2,0,0,7,1,0,0,0,0
2001,andeg001,L,L,215,208,60,87,7,1,6,0,34,7,0,31,2,0,0,0,0
2001,andeg001,L,R,489,464,134,234,32,1,22,1,89,20,4,69,10,0,0,5,0
2001,andej002,L,L,11,11,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2001,andej002,L,R,58,48,5,6,1,0,0,0,3,4,0,14,0,0,6,0,0
2001,andem003,L,L,109,101,33,45,9,0,1,0,13,3,0,18,3,1,3,1,0
2001,andem003,L,R,465,421,120,175,21,2,10,0,48,32,5,56,9,1,7,4,0
2001,ankir001,L,L,5,3,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0
2001,ankir001,L,R,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2001,appik001,R,L,9,8,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
2001,appik001,R,R,58,54,7,7,0,0,0,0,4,1,0,21,0,1,2,0,0
2001,ariaa001,R,L,69,60,16,19,3,0,0,0,1,8,0,12,0,1,0,0,0
2001,ariaa001,R,R,89,77,15,27,6,0,2,0,11,9,1,10,3,0,1,2,0
2001,armat002,R,L,19,16,3,3,0,0,0,0,3,0,0,11,0,0,3,0,0
2001,armat002,R,R,40,37,5,6,1,0,0,0,1,0,0,6,0,0,3,0,0
2001,arrob001,R,L,8,7,1,1,0,0,0,0,1,0,0,4,0,0,0,1,0
2001,arrob001,R,R,15,14,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0
2001,arror001,R,L,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2001,arror001,R,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,ashba002,R,L,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
2001,ashba002,R,R,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2001,astap001,R,L,7,7,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
2001,astap001,R,R,57,46,3,3,0,0,0,0,2,0,0,16,0,0,11,0,0
2001,atchj001,L,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,aurir001,R,L,154,143,46,93,7,2,12,0,26,9,0,15,4,0,1,1,0
2001,aurir001,R,R,535,493,160,271,30,3,25,0,71,38,2,68,10,0,2,2,0
2001,ausmb001,R,L,83,70,13,22,3,0,2,0,6,12,2,11,2,0,0,1,0
2001,ausmb001,R,R,378,352,85,122,20,4,3,0,28,18,4,53,11,1,6,1,0
2001,avenb001,R,L,11,9,2,2,0,0,0,0,0,0,0,1,0,2,0,0,0
2001,avenb001,R,R,15,15,6,11,2,0,1,0,2,0,0,4,0,0,0,0,0
2001,aybam001,R,L,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,aybam001,R,R,3,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,baezb001,L,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,bagwj001,R,L,123,98,29,52,8,0,5,0,22,25,2,15,4,0,0,0,0
2001,bagwj001,R,R,594,502,144,289,35,4,34,2,108,81,3,120,16,6,0,5,0
2001,bainh001,L,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,bainh001,L,R,92,82,11,12,1,0,0,0,6,8,0,16,2,0,0,2,0
2001,bakop001,L,L,26,24,5,8,3,0,0,0,3,2,0,8,1,0,0,0,0
2001,bakop001,L,R,131,113,24,39,7,1,2,0,12,18,2,26,2,0,0,0,0
2001,baldj002,R,L,4,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
2001,baldj002,R,R,25,25,2,3,1,0,0,0,1,0,0,10,1,0,0,0,0
2001,barar001,R,L,30,28,6,9,3,0,0,0,2,1,0,7,0,0,0,0,1
2001,barar001,R,R,81,78,11,20,0,0,3,0,7,3,0,19,0,0,0,0,0
2001,barka001,L,L,5,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2001,barka001,L,R,46,42,13,18,2,0,1,0,3,3,1,6,2,1,0,0,0
2001,barkg001,L,R,14,12,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0
2001,barkg001,R,L,16,12,2,2,0,0,0,0,0,2,0,3,0,2,0,0,0
2001,barnj001,R,L,8,6,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
2001,barnj001,R,R,15,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2001,barnl001,L,L,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,barnl001,L,R,36,35,4,7,0,0,1,0,2,1,0,8,1,0,0,0,0
2001,barrm003,R,L,125,122,31,48,13,2,0,0,5,2,1,10,5,0,1,0,0
2001,barrm003,R,R,381,350,87,125,20,0,6,0,33,23,1,44,9,2,3,3,0
2001,bartk001,R,L,7,4,0,0,0,0,0,0,1,2,1,2,0,0,0,1,0
2001,bartk001,R,R,12,11,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
2001,batim001,R,L,7,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,batim001,R,R,29,25,1,1,0,0,0,0,0,2,0,16,0,0,2,0,0
2001,batit001,R,L,140,128,26,47,6,0,5,1,22,9,0,22,2,1,0,2,0
2001,batit001,R,R,482,451,112,205,21,6,20,0,65,23,1,91,7,3,0,5,0
2001,bautd001,R,L,92,88,21,28,3,2,0,0,8,3,1,15,3,0,1,0,0
2001,bautd001,R,R,147,134,46,69,8,0,5,0,18,11,0,16,4,1,1,0,0
2001,beckj002,R,R,9,7,2,3,1,0,0,0,0,0,0,1,0,0,2,0,0
2001,beckr001,R,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,beimj001,L,L,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,beimj001,L,R,27,22,6,6,0,0,0,0,0,1,0,9,0,0,4,0,0
2001,belit001,L,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,bellc001,R,L,24,23,6,14,0,1,2,0,6,0,0,5,0,0,0,1,0
2001,bellc001,R,R,64,58,7,17,1,0,3,0,6,4,0,18,2,1,1,0,0
2001,belld001,R,L,32,30,5,10,2,0,1,0,5,2,1,4,1,0,0,0,0
