YEAR,PHASE,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1999,D,agbab001,R,L,10,10,3,4,1,0,0,0,1,0,0,3,0,0,0,0,0
1999,D,alfoe001,R,L,10,9,3,10,1,0,2,0,2,1,0,2,0,0,0,0,0
1999,D,alfoe001,R,R,9,7,1,4,0,0,1,1,4,2,1,0,0,0,0,0,0
1999,D,alomr001,L,R,20,17,7,11,4,0,0,0,2,2,0,2,0,0,0,1,0
1999,D,alomr001,R,L,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1999,D,aloms001,R,L,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1999,D,aloms001,R,R,16,14,2,2,0,0,0,0,0,2,0,6,0,0,0,0,0
1999,D,andeb002,R,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,D,bagwj001,R,L,7,3,0,0,0,0,0,0,0,3,2,2,0,1,0,0,0
1999,D,bagwj001,R,R,12,10,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0
1999,D,bainh001,L,R,16,14,5,8,0,0,1,0,4,2,0,1,0,0,0,0,0
1999,D,barkg001,L,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,D,barkg001,R,L,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1999,D,batth001,R,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,D,belld001,R,L,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,D,bellj001,R,L,7,5,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0
1999,D,bellj001,R,R,10,9,2,3,1,0,0,0,3,0,0,0,0,0,0,1,0
1999,D,biggc001,R,L,6,6,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
