YEAR,PHASE,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1979,L,andej001,flanm001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,andej001,martd001,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,L,andej001,mcgrs001,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1979,L,andej001,palmj001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,auerr101,blylb001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,auerr101,romoe101,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,L,bayld001,flanm001,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,bayld001,martd001,4,4,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
1979,L,bayld001,mcgrs001,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1979,L,bayld001,palmj001,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,bayld001,stand101,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
1979,L,belam101,aased001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,L,belam101,montj101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,belam101,ryann001,3,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1979,L,bencj101,bibbj001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,bencj101,blylb001,4,4,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
1979,L,bencj101,candj001,3,3,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
1979,L,bencj101,robid001,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1979,L,bencj101,tekuk001,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1979,L,bibbj001,pastf001,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
1979,L,blylb001,lacom001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,blylb001,normf101,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,blylb001,sotom001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,L,blylb001,tomld001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1979,L,bumba001,aased001,3,3,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
1979,L,bumba001,cleam001,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,bumba001,frosd101,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1979,L,bumba001,knapc101,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1979,L,bumba001,larod101,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1979,L,bumba001,montj101,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1979,L,bumba001,ryann001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1979,L,bumba001,tanaf001,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,L,candj001,seavt001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1979,L,carer001,flanm001,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,carer001,martd001,4,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,carer001,mcgrs001,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,carer001,palmj001,4,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,carer001,stand101,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1979,L,clarb002,flanm001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1979,L,colld001,bibbj001,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1979,L,colld001,blylb001,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,colld001,candj001,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,colld001,jackg101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,colld001,romoe101,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,colld001,tekuk001,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1979,L,concd001,bibbj001,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,concd001,blylb001,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
1979,L,concd001,candj001,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,concd001,jackg101,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,concd001,robid001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,L,concd001,romoe101,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,concd001,tekuk001,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1979,L,crowt101,aased001,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1979,L,crowt101,montj101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,cruzh101,candj001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,cruzh101,jackg101,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,L,cruzh101,tekuk001,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,dauer001,aased001,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,L,dauer001,cleam001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,dauer001,frosd101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,dauer001,montj101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1979,L,dauer001,ryann001,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,dauer001,tanaf001,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,daviw102,stand101,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,decid001,aased001,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1979,L,decid001,cleam001,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1979,L,decid001,frosd101,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1979,L,decid001,knapc101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,decid001,larod101,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,decid001,montj101,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,decid001,ryann001,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1979,L,decid001,tanaf001,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1979,L,dempr001,aased001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,dempr001,cleam001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,dempr001,frosd101,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1979,L,dempr001,knapc101,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,dempr001,larod101,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1979,L,dempr001,montj101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,dempr001,ryann001,3,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1979,L,downb001,flanm001,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,downb001,martd001,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,downb001,mcgrs001,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,L,downb001,palmj001,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,downb001,stand101,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1979,L,dried001,bibbj001,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,dried001,blylb001,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,L,dried001,candj001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1979,L,dried001,jackg101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,dried001,robid001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,dried001,tekuk001,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1979,L,easlm001,humet001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,folit001,baird001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1979,L,folit001,humet001,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,folit001,lacom001,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1979,L,folit001,normf101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,folit001,pastf001,3,3,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0
1979,L,folit001,seavt001,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1979,L,folit001,sotom001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,folit001,tomld001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,fordd001,flanm001,3,3,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
1979,L,fordd001,martd001,4,4,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1979,L,fordd001,mcgrs001,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,fordd001,palmj001,4,4,2,6,1,0,1,0,2,0,0,0,0,0,0,0,0
1979,L,fordd001,stand101,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,fostg001,bibbj001,3,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
1979,L,fostg001,blylb001,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1979,L,fostg001,candj001,3,2,1,4,0,0,1,0,2,1,0,0,0,0,0,0,0
1979,L,fostg001,jackg101,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1979,L,fostg001,robid001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,fostg001,romoe101,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,fostg001,tekuk001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,L,garck001,aased001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,L,garck001,cleam001,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
