YEAR,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1977,adamb105,R,L,23,23,5,12,1,0,2,0,2,0,0,5,0,0,0,0,0
1977,adamb105,R,R,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,adamg101,L,L,7,5,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
1977,adamg101,L,R,283,264,91,126,17,0,6,1,49,16,3,28,5,0,0,3,0
1977,adamm102,R,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,aikew001,L,L,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,aikew001,L,R,99,89,17,21,4,0,0,0,6,10,2,22,1,0,0,0,0
1977,alcas101,R,L,5,5,1,1,0,0,0,0,1,0,0,4,0,0,0,0,0
1977,alcas101,R,R,25,23,1,4,0,0,1,0,1,0,0,11,0,0,2,0,0
1977,alexg101,R,L,48,40,11,16,2,0,1,0,5,6,1,9,4,1,0,1,0
1977,alexg101,R,R,95,79,25,43,2,2,4,0,15,14,1,24,1,1,0,1,0
1977,alexm101,L,R,30,28,8,9,1,0,0,0,2,2,0,3,0,0,0,0,0
1977,alexm101,R,L,17,14,2,2,0,0,0,0,0,2,0,3,0,0,1,0,0
1977,alled101,R,L,64,53,18,26,2,0,2,0,8,10,0,8,1,0,0,1,0
1977,alled101,R,R,136,118,23,34,2,0,3,0,23,14,0,28,3,1,0,3,0
1977,almob001,R,L,177,160,50,71,9,6,0,0,7,15,1,29,2,0,2,0,0
1977,almob001,R,R,493,453,110,135,9,5,2,0,36,22,0,85,12,0,18,0,0
1977,aloms101,L,R,59,54,14,19,2,0,1,0,7,3,0,8,0,0,2,0,0
1977,aloms101,R,L,38,29,8,9,1,0,0,0,4,5,0,5,0,1,2,1,0
1977,alstd101,L,L,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1977,alstd101,L,R,41,36,13,20,4,0,1,0,4,3,0,2,2,0,1,1,0
1977,alval101,R,R,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,andem101,R,L,94,84,20,33,2,1,3,0,9,9,0,15,3,0,1,0,0
1977,andem101,R,R,75,70,14,19,2,0,1,0,8,5,0,16,0,0,0,0,0
1977,andrf101,R,L,9,8,3,5,0,1,0,0,1,1,0,2,0,0,0,0,0
1977,andrf101,R,R,16,15,1,1,0,0,0,0,1,0,0,3,1,0,0,1,0
1977,andrr101,R,L,167,150,46,53,3,2,0,0,9,13,0,9,3,0,2,2,0
1977,andrr101,R,R,334,286,69,79,8,1,0,0,16,43,0,23,3,0,3,1,1
1977,anduj001,L,R,42,37,6,7,1,0,0,0,2,3,0,21,0,0,2,0,0
1977,anduj001,R,L,18,16,4,5,1,0,0,0,0,0,0,6,0,0,2,0,0
1977,apodb101,R,L,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1977,apodb101,R,R,5,4,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1
1977,armat001,R,L,133,123,27,43,4,0,4,0,14,9,0,30,2,0,0,1,0
1977,armat001,R,R,259,240,60,95,4,2,9,1,39,11,2,69,6,0,1,7,0
1977,armbe101,R,L,79,69,17,30,4,3,1,0,5,9,0,19,2,0,0,1,0
1977,armbe101,R,R,12,9,3,3,0,0,0,0,0,1,0,2,1,0,2,0,0
1977,ashba001,L,R,329,289,67,86,10,3,1,0,23,33,3,37,7,2,4,1,0
1977,ashba001,R,L,130,107,16,25,6,0,1,0,6,17,0,13,6,0,6,0,0
1977,ashft001,R,L,68,63,16,19,3,0,0,0,1,5,2,9,0,0,0,0,0
1977,ashft001,R,R,209,186,38,62,15,0,3,0,23,16,2,26,5,1,4,2,0
1977,asseb101,L,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,asseb101,L,R,132,122,26,44,6,0,4,0,17,9,1,10,2,0,1,0,0
1977,atkib101,L,R,6,5,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1977,auerr101,R,L,26,22,3,4,1,0,0,0,1,3,0,6,1,0,0,1,0
1977,auerr101,R,R,26,23,4,5,1,0,0,0,2,1,0,1,0,0,1,1,0
1977,aultd101,R,L,203,178,51,84,11,2,6,0,37,19,5,18,5,1,3,2,0
1977,aultd101,R,R,291,267,58,86,11,1,5,0,27,20,0,48,15,3,0,1,0
1977,avilr101,R,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1977,ayalb001,R,L,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,baezj101,R,L,137,123,33,43,8,1,0,0,6,11,1,7,2,0,3,0,0
1977,baezj101,R,R,196,182,46,55,6,0,1,0,11,8,0,13,4,1,5,0,0
1977,bahns101,R,L,9,8,1,1,0,0,0,0,3,0,0,2,0,0,1,0,0
1977,bahns101,R,R,40,34,4,6,2,0,0,0,4,3,0,16,1,0,3,0,0
1977,bailb001,R,L,179,171,54,69,7,1,2,0,17,5,1,4,0,0,2,1,0
1977,bailb001,R,R,344,325,100,131,14,4,3,0,15,12,0,21,7,2,4,1,0
1977,bailb103,R,L,77,64,18,28,2,1,2,0,11,12,2,9,1,0,0,1,0
1977,bailb103,R,R,17,17,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0
1977,baked002,R,L,150,133,36,61,4,0,7,0,18,16,0,18,2,0,0,1,0
1977,baked002,R,R,454,400,119,212,22,1,23,1,68,42,6,71,7,6,2,4,0
1977,bakej103,R,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,baldr101,L,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,baldr101,L,R,3,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,bands101,R,L,148,135,38,61,6,1,5,0,17,13,2,19,1,0,0,0,0
1977,bands101,R,R,518,445,107,168,21,2,12,0,65,62,1,70,9,3,3,5,0
1977,banna001,R,L,201,176,53,73,10,2,2,0,23,20,1,8,2,0,2,3,0
1977,banna001,R,R,429,384,101,116,10,1,1,0,34,34,0,40,9,2,1,8,0
1977,bannf001,L,L,17,17,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0
1977,bannf001,L,R,38,31,9,9,0,0,0,0,1,1,0,5,0,0,6,0,0
1977,barrj101,R,L,29,24,2,2,0,0,0,0,1,2,0,7,0,0,3,0,0
1977,barrj101,R,R,63,52,8,10,2,0,0,0,8,0,0,15,0,1,10,0,0
1977,bassr101,L,R,19,19,2,2,0,0,0,0,0,0,0,5,0,0,0,0,0
1977,bayld001,R,L,131,114,27,45,9,0,3,0,13,15,1,10,2,1,0,1,0
1977,bayld001,R,R,514,447,114,198,18,0,22,1,62,47,6,66,14,11,2,7,0
1977,beasl101,L,R,37,32,7,8,1,0,0,0,3,2,0,2,0,0,2,1,0
1977,belam101,R,L,132,114,24,34,3,2,1,0,9,14,1,15,3,1,2,1,0
1977,belam101,R,R,326,288,59,76,10,2,1,0,21,29,0,53,4,2,6,1,0
1977,bellb001,R,L,175,157,60,83,7,2,4,1,24,16,2,15,2,0,2,0,0
