YEAR,PHASE,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1997,D,abbok002,R,L,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,abbok002,R,R,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1997,D,abreb001,L,R,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
1997,D,alomr001,L,L,4,4,1,2,1,0,0,0,2,0,0,1,0,0,0,0,0
1997,D,alomr001,L,R,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1997,D,alomr001,R,L,6,5,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0
1997,D,aloms001,R,L,10,10,2,3,1,0,0,0,1,0,0,1,0,0,0,0,0
1997,D,aloms001,R,R,9,9,4,10,0,0,2,0,4,0,0,1,0,0,0,0,0
1997,D,aloum001,R,L,8,8,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0
1997,D,aloum001,R,R,6,6,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0
1997,D,alvaw001,L,R,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,amarr001,R,L,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1997,D,andeb001,L,L,16,15,5,6,1,0,0,0,2,1,0,4,0,0,0,0,0
1997,D,andeb001,L,R,2,2,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0
1997,D,ariaa001,R,L,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1997,D,ausmb001,R,L,3,3,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0
1997,D,ausmb001,R,R,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1997,D,bagwj001,R,L,3,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
1997,D,bagwj001,R,R,10,10,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
1997,D,bainh001,L,L,3,3,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0
1997,D,bainh001,L,R,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1997,D,bautd001,R,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997,D,bautd001,R,R,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1997,D,belld001,R,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997,D,belld001,R,R,10,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1997,D,benam001,L,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997,D,berrd002,L,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,berrg001,R,L,14,12,4,11,1,0,2,0,2,2,0,2,0,0,0,0,0
1997,D,berrg001,R,R,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,berrs001,R,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,biggc001,R,L,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1997,D,biggc001,R,R,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,blauj001,R,L,6,6,2,5,0,0,1,0,3,0,0,1,0,0,0,0,0
1997,D,blauj001,R,R,6,4,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0
1997,D,blowm001,R,L,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1997,D,blowm001,R,R,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1997,D,boggw001,L,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,boggw001,L,R,6,6,3,3,0,0,0,0,2,0,0,0,1,0,0,0,0
1997,D,bondb001,L,L,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1997,D,bondb001,L,R,9,9,2,4,2,0,0,0,1,0,0,3,0,0,0,0,0
1997,D,bonib001,L,R,6,4,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0
1997,D,bonib001,R,L,8,8,3,6,0,0,1,0,3,0,0,1,0,0,0,0,0
1997,D,bordm001,R,L,10,7,2,3,1,0,0,0,1,3,0,1,0,0,0,0,0
1997,D,bordm001,R,R,4,3,2,2,0,0,0,0,3,1,0,1,0,0,0,0,0
1997,D,browk001,R,L,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1997,D,buhnj001,R,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997,D,buhnj001,R,R,13,10,3,9,0,0,2,0,2,3,0,5,0,0,0,0,0
1997,D,cangj001,R,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D,carrc001,L,R,4,4,1,4,0,0,1,0,1,0,0,3,0,0,0,0,0
1997,D,carrc001,R,L,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1997,D,cathm001,R,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997,D,colbg001,R,L,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
