YEAR,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1998,abboj002,acevj001,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1998,abboj002,aguir001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,abboj002,almac001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,abboj002,alvaw001,1,1,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
1998,abboj002,andem002,2,2,2,5,0,0,1,0,3,0,0,0,0,0,0,0,0
1998,abboj002,arror001,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1998,abboj002,assep001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,abboj002,avers001,2,2,2,5,0,0,1,0,3,0,0,0,0,0,0,0,0
1998,abboj002,ayalb002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,abboj002,bails001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,abboj002,barbb002,4,4,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0
1998,abboj002,belct001,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1998,abboj002,benia001,1,1,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
1998,abboj002,bergs001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,abboj002,bevib001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1998,abboj002,bochd001,1,1,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
1998,abboj002,boner001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,abboj002,bottk001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,abboj002,branj001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,abboj002,burbd001,6,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1998,abboj002,burkj001,3,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1998,abboj002,cadag001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,abboj002,candt001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,abboj002,carpc002,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,abboj002,carrh001,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1998,abboj002,clemr001,7,6,2,3,1,0,0,0,1,0,0,0,0,0,0,0,1
1998,abboj002,clouk001,3,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
