YEAR,PHASE,RESP_PIT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2017,R,abadf001,empty,96,88,22,37,6,0,3,0,3,7,0,16,0,1,0,0,0
2017,R,abadf001,loaded,4,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2017,R,abadf001,menon,86,77,18,24,3,0,1,0,13,7,1,21,4,0,0,2,0
2017,R,abadf001,scoring,50,43,8,12,1,0,1,0,11,5,1,13,0,0,0,2,0
2017,R,adama002,empty,12,9,2,3,1,0,0,0,0,3,0,5,0,0,0,0,0
2017,R,adama002,loaded,3,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0
2017,R,adama002,menon,17,10,2,2,0,0,0,0,3,5,0,5,0,1,0,1,0
2017,R,adama002,scoring,10,6,1,1,0,0,0,0,3,2,0,2,0,1,0,1,0
2017,R,adlet001,empty,330,297,73,154,17,2,20,0,20,30,0,76,0,3,0,0,0
2017,R,adlet001,loaded,3,3,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0
2017,R,adlet001,menon,201,172,51,95,17,0,9,0,53,21,1,32,8,3,1,4,0
2017,R,adlet001,scoring,111,92,29,57,10,0,6,0,43,12,1,15,2,2,1,4,0
2017,R,albea001,empty,104,97,26,43,5,0,4,0,4,5,0,20,0,1,0,0,1
2017,R,albea001,loaded,4,4,2,6,1,0,1,1,7,0,0,1,0,0,0,0,0
2017,R,albea001,menon,74,67,17,25,2,0,2,1,15,5,0,17,3,1,0,1,0
2017,R,albea001,scoring,36,32,7,14,1,0,2,1,15,3,0,10,0,0,0,1,0
2017,D,albem001,empty,7,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,R,albem001,empty,137,121,16,24,2,0,2,0,2,13,0,40,0,3,0,0,0
2017,R,albem001,loaded,8,8,1,1,0,0,0,0,3,0,0,2,1,0,0,0,0
2017,D,albem001,menon,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,R,albem001,menon,96,90,19,35,2,1,4,0,22,4,0,23,6,1,0,1,0
2017,R,albem001,scoring,45,42,11,21,1,0,3,0,18,1,0,8,2,1,0,1,0
2017,R,albua001,empty,45,41,5,6,1,0,0,0,0,4,0,13,0,0,0,0,0
2017,R,albua001,loaded,3,3,1,2,1,0,0,0,3,0,0,1,0,0,0,0,0
2017,R,albua001,menon,26,22,5,6,1,0,0,0,5,4,0,1,1,0,0,0,0
2017,R,albua001,scoring,13,12,3,4,1,0,0,0,5,1,0,1,0,0,0,0,0
2017,R,alcar001,empty,60,51,9,12,3,0,0,0,0,8,0,7,0,1,0,0,0
2017,R,alcar001,loaded,3,3,2,5,0,0,1,1,5,0,0,0,1,0,0,0,0
