YEAR,PHASE,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1982,L,anduj001,R,L,7,6,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
1982,L,anduj001,R,R,18,17,5,5,0,0,0,0,1,1,0,3,2,0,0,0,0
1982,L,baird001,R,L,3,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
1982,L,baird001,R,R,5,3,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0
1982,L,bedrs001,R,L,6,5,3,3,0,0,0,0,3,1,0,2,0,0,0,0,0
1982,L,bedrs001,R,R,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1982,L,bernd101,R,R,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,L,caldm001,L,L,6,6,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
1982,L,caldm001,L,R,12,10,5,7,0,1,0,0,4,1,0,1,0,0,0,1,0
1982,L,campr001,R,L,6,5,3,5,0,1,0,0,3,1,0,0,0,0,0,0,0
1982,L,campr001,R,R,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1982,L,forsb001,R,L,8,8,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1982,L,forsb001,R,R,22,22,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0
1982,L,garbg001,R,L,11,9,2,5,0,0,1,0,3,1,0,2,0,0,1,0,0
1982,L,garbg001,R,R,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1982,L,goltd101,R,L,5,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1982,L,goltd101,R,R,11,8,3,7,1,0,1,0,3,2,0,1,0,0,1,0,0
1982,L,haasm001,R,L,12,9,2,4,2,0,0,0,1,3,0,3,0,0,0,0,0
1982,L,haasm001,R,R,20,18,3,6,0,0,1,1,4,2,0,4,0,0,0,0,0
1982,L,hassa001,L,L,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1982,L,hassa001,L,R,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1982,L,johnt001,L,L,16,16,2,3,1,0,0,0,2,0,0,1,0,0,0,0,0
1982,L,johnt001,L,R,38,31,9,12,0,0,1,0,3,6,1,5,1,1,0,0,0
1982,L,kisob001,R,L,27,25,1,4,0,0,1,0,2,1,0,6,0,0,0,1,0
1982,L,kisob001,R,R,26,24,7,11,1,0,1,0,2,2,0,6,1,0,0,0,0
1982,L,laddp001,R,L,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1982,L,laddp001,R,R,5,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1982,L,mahlr001,R,L,7,5,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0
1982,L,mahlr001,R,R,4,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1982,L,mcclb001,L,L,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1982,L,mcclb001,L,R,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,L,moord001,R,L,8,7,2,3,1,0,0,0,0,0,0,1,0,0,1,0,0
1982,L,moord001,R,R,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1982,L,niekp001,R,L,19,15,4,6,2,0,0,0,1,4,0,4,0,0,0,0,0
1982,L,niekp001,R,R,8,7,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0
1982,L,perep001,R,L,27,24,7,10,1,1,0,0,2,1,0,4,0,0,1,1,0
1982,L,perep001,R,R,11,10,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0
1982,L,sancl001,R,L,5,5,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0
1982,L,sancl001,R,R,8,7,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
1982,L,slatj001,R,L,3,3,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0
1982,L,slatj001,R,R,15,14,2,3,1,0,0,0,2,1,0,2,0,0,0,0,0
1982,L,stupj001,R,L,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1982,L,stupj001,R,R,17,14,4,5,1,0,0,0,2,1,0,3,0,0,1,1,0
1982,L,suttb001,R,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,L,suttb001,R,R,10,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1982,L,suttd001,R,L,12,11,5,6,1,0,0,0,1,1,0,4,0,0,0,0,0
1982,L,suttd001,R,R,20,19,3,7,1,0,1,0,2,1,0,5,0,0,0,0,0
1982,L,vuckp001,R,L,22,18,6,9,0,0,1,0,3,4,0,2,1,0,0,0,0
1982,L,vuckp001,R,R,40,31,9,12,3,0,0,0,4,3,0,6,2,1,4,1,0
1982,L,walkb001,R,L,4,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
1982,L,walkb001,R,R,3,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1982,L,wittm001,R,L,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1982,L,wittm001,R,R,8,5,2,5,0,0,1,0,2,2,0,1,0,0,1,0,0
1982,L,zahng001,L,L,5,4,2,3,1,0,0,0,1,0,0,1,0,1,0,0,0
1982,L,zahng001,L,R,11,8,2,2,0,0,0,0,2,1,0,1,1,0,0,2,0
1982,R,aased001,R,L,107,94,23,31,2,0,2,0,8,11,2,21,3,0,2,0,0
1982,R,aased001,R,R,105,91,22,35,4,0,3,0,15,12,0,19,2,0,2,0,0
1982,R,agosj001,L,R,13,13,7,9,2,0,0,0,3,0,0,1,0,0,0,0,0
1982,R,alexd001,R,L,133,119,41,69,7,0,7,0,18,8,2,10,1,0,4,2,0
1982,R,alexd001,R,R,160,153,40,83,10,6,7,0,31,6,0,16,2,0,0,1,0
1982,R,allen001,R,L,157,135,30,37,1,0,2,1,23,20,3,35,1,0,1,1,0
1982,R,allen001,R,R,122,109,35,48,4,0,3,0,19,10,2,24,4,1,2,0,0
1982,R,altap001,R,L,78,69,22,31,4,1,1,0,10,7,2,8,2,0,1,1,0
1982,R,altap001,R,R,91,77,19,24,2,0,1,0,14,7,1,18,1,1,3,3,0
1982,R,alvaj001,R,L,12,10,3,4,1,0,0,0,0,2,1,2,0,0,0,0,0
1982,R,alvaj001,R,R,17,16,5,9,1,0,1,1,7,0,0,4,1,0,1,0,0
1982,R,andeb101,R,L,177,153,41,49,5,0,1,0,19,19,1,17,4,0,3,2,0
1982,R,andeb101,R,R,176,160,43,60,8,0,3,0,19,11,1,27,5,1,2,2,0
1982,R,andel001,R,L,140,124,44,66,11,1,3,0,17,13,1,8,4,2,0,1,0
1982,R,andel001,R,R,214,198,56,109,14,0,13,0,41,10,0,24,5,2,2,2,0
