YEAR,PHASE,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1987,L,aldrm001,cox-d001,8,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1987,L,aldrm001,hortr001,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1987,L,aldrm001,worrt001,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1987,L,bayld001,hernw001,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1987,L,bayld001,petrd001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,bayld001,tanaf001,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1987,L,bergd001,athek001,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1987,L,bergd001,berej001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1987,L,bergd001,blylb001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,bergd001,rearj001,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1987,L,bergd001,stral001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,brenb001,cox-d001,7,7,3,6,0,0,1,0,1,0,0,2,0,0,0,0,0
1987,L,brenb001,daylk001,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1987,L,brenb001,forsb001,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1987,L,brenb001,hortr001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,brenb001,magrj001,2,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1987,L,brenb001,mathg001,4,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
1987,L,brenb001,tudoj001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,brenb001,worrt001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1987,L,broot001,blylb001,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1987,L,broot001,rearj001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,broot001,schad001,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1987,L,broot001,stral001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,L,broot001,violf001,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1987,L,brunt001,alexd001,4,4,2,4,2,0,0,0,3,0,0,0,0,0,0,0,0
