game.key,game.date,game.number,site.key,team.alignment,team.key,opponent.key,R_G,R_W,R_L,R_T,B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_GW,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_XI,B_LOB,P_G,P_GS,P_CG,P_SHO,P_CSHO,P_GF,P_W,P_L,P_SV,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_XI,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,F_G,F_OUT,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB
WS3187204180,1872-04-18,0,,0,BL1,WS3,1,1,0,0,1,,44,16,14,18,4,0,0,,9,,1,,0,0,0,0,0,,1,,8,1,1,1,1,0,0,1,0,0,21,,,0,0,4,4,0,0,0,0,1,,0,,0,0,0,,1,0,,,,,,,1,21,35,21,9,5,1,0,0
WS4187204200,1872-04-20,0,,0,BL1,WS4,1,1,0,0,1,,57,21,17,,,,,,13,,0,,0,0,0,0,0,,,,9,1,1,1,0,0,0,1,0,0,27,,,1,0,4,,,,,0,0,,2,,0,0,0,,,0,,,,,,,1,27,43,27,10,6,,0,
BL1187204220,1872-04-22,0,,1,BL1,NY2,1,1,0,0,1,,49,14,18,19,1,0,0,,9,,0,,1,0,0,0,0,0,0,,8,1,1,1,0,0,0,1,0,0,27,,,8,0,9,11,2,0,0,0,0,,3,,0,0,0,,0,0,,,,,,,1,27,43,27,8,8,2,0,0
BL1187204250,1872-04-25,0,,1,BL1,NY2,1,0,1,0,1,,55,11,21,21,0,0,0,,9,,1,,0,0,0,0,0,0,0,,12,1,1,0,0,0,1,0,1,0,33,,,13,0,16,,,,,0,0,,0,,0,0,0,,3,0,,,,,,,1,33,57,33,16,8,0,0,1
BL1187204270,1872-04-27,0,,1,BL1,WS4,1,1,0,0,1,,56,22,17,,,,2,,15,,0,,0,0,0,0,0,,,,7,1,1,1,0,0,0,1,0,0,27,,,5,0,6,,,,0,0,0,,0,,0,0,0,,0,0,,,,,,,1,27,43,27,8,8,,0,3
PH1187205010,1872-05-01,0,,0,BL1,PH1,1,0,1,0,1,,50,19,16,26,1,3,1,,12,,3,,0,0,0,0,0,2,0,,7,1,1,0,0,0,1,0,1,0,27,,,34,0,34,,,,,0,2,,4,,0,0,0,,0,0,,,,,,,1,27,53,27,7,19,0,0,1
BL1187205020,1872-05-02,0,,1,BL1,BS1,1,0,1,0,1,,38,4,9,10,1,0,0,,2,,0,,2,0,0,0,0,0,0,,5,1,1,1,0,0,0,0,1,0,27,,,5,0,8,14,1,1,1,0,0,,0,,0,0,0,,,0,,,,,,,1,27,39,27,6,6,0,0,0
NY2187205040,1872-05-04,0,,0,BL1,NY2,1,0,1,0,1,,45,9,12,12,0,0,0,,4,,0,,0,1,0,0,0,0,0,,6,1,1,1,0,0,0,0,1,0,30,,,11,0,11,14,3,0,0,0,2,,1,,0,0,0,,1,0,,,,,,,1,30,53,30,9,14,1,0,2
BL1187205070,1872-05-07,0,,1,BL1,WS3,1,1,0,0,1,,56,22,19,19,0,0,0,,12,,0,,0,0,0,0,0,,,,7,1,1,1,0,0,0,1,0,0,27,,,5,0,8,10,2,0,0,0,0,,0,,0,0,0,,1,0,,,,,,,1,27,42,27,9,6,1,0,2
BL1187205110,1872-05-11,0,,1,BL1,TRO,1,1,0,0,1,,41,8,11,19,3,1,1,,4,,1,,0,0,0,0,0,0,0,,6,1,1,1,0,0,0,1,0,0,27,,,1,0,4,4,0,0,0,0,0,,3,,0,0,0,,0,0,,,,,,,1,27,40,27,9,4,0,0,0
