game.key,game.date,game.number,site.key,team.alignment,team.key,opponent.key,R_G,R_W,R_L,R_T,B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_GW,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_XI,B_LOB,P_G,P_GS,P_CG,P_SHO,P_CSHO,P_GF,P_W,P_L,P_SV,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_XI,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,F_G,F_OUT,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB
BOS194405100,1944-05-10,0,BOS07,1,BOS,CLE,1,0,1,0,1,,34,4,8,11,3,0,0,,3,,4,,2,1,0,0,0,0,0,0,7,1,1,0,0,0,1,0,1,0,27,41,,5,0,11,,,,1,0,3,,2,,0,1,0,,0,0,,,,,,,1,27,40,27,11,2,1,0,0
BOS194405110,1944-05-11,0,BOS07,1,BOS,CLE,1,0,1,0,1,,32,6,8,12,4,0,0,,4,,5,,0,2,0,0,0,0,0,0,4,1,1,0,0,0,1,0,1,0,27,44,,7,0,12,,,,1,0,5,,7,,0,2,0,,0,0,,,,,,,1,27,37,27,9,1,0,0,0
BOS194405120,1944-05-12,0,BOS07,1,BOS,CLE,1,1,0,0,1,,32,10,14,23,5,2,0,,9,,6,,1,2,0,5,0,0,0,0,9,1,1,1,0,0,0,1,0,0,27,38,,3,0,10,11,1,0,0,0,1,,4,,0,1,0,,0,0,,,,,,,1,27,35,27,6,2,2,0,0
BOS194405130,1944-05-13,0,BOS07,1,BOS,DET,1,1,0,0,1,,31,4,11,14,3,0,0,,4,,3,,1,1,0,0,0,0,0,0,6,1,1,1,0,0,0,1,0,0,27,36,,2,0,8,8,0,0,0,0,3,,4,,0,0,0,,1,0,,,,,,,1,27,39,27,11,1,1,0,0
BOS194405130,1944-05-13,0,BOS07,1,BOS,DET,1,1,0,0,1,34,31,4,11,14,3,0,0,0,4,,3,0,1,1,0,0,0,0,0,0,6,1,1,1,0,0,0,1,0,0,27,36,33,2,1,8,8,0,0,0,0,3,0,4,1,0,0,0,0,1,0,0,0,12,9,,,1,27,32,21,10,1,1,0,0
BOS194405141,1944-05-14,1,BOS07,1,BOS,DET,1,0,1,0,1,,33,1,6,9,1,1,0,,1,,2,,5,0,0,0,0,0,0,0,7,1,1,0,0,0,1,0,1,0,27,37,,6,0,9,,,,1,0,1,,5,,0,1,0,,0,0,,,,,,,1,27,43,27,13,3,1,0,0
BOS194405142,1944-05-14,2,BOS07,1,BOS,DET,1,0,1,0,1,,28,0,3,3,0,0,0,,0,,1,,3,2,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,27,50,,9,0,15,,,,0,0,7,,4,,1,0,0,,0,0,,,,,,,1,27,40,27,10,3,1,0,0
BOS194405160,1944-05-16,0,BOS07,1,BOS,SLA,1,0,1,0,1,,46,3,10,13,3,0,0,,3,,5,,4,0,0,0,0,0,0,0,12,1,1,0,0,0,1,0,1,0,36,59,,7,0,18,,,,0,0,6,,4,,0,3,0,,1,0,,,,,,,1,36,60,36,23,1,1,0,0
BOS194405171,1944-05-17,1,BOS07,1,BOS,SLA,1,1,0,0,1,,27,5,7,11,4,0,0,,5,,4,,2,2,0,3,0,0,0,0,5,1,1,1,0,0,0,1,0,0,27,35,,1,0,4,4,0,0,0,0,4,,5,,0,0,0,,0,0,,,,,,,1,27,37,27,10,0,0,0,0
BOS194405171,1944-05-17,1,BOS07,1,BOS,SLA,1,1,0,0,1,34,27,5,7,11,4,0,0,0,5,,4,1,2,2,0,3,0,0,0,0,5,1,1,1,0,0,0,1,0,0,27,35,31,1,1,4,4,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,9,13,,,1,27,37,27,10,0,0,0,0
