game.key,game.source,game.date,game.number,site.key,season.phase,team.alignment,team.key,opponent.key,R_G,R_W,R_L,R_T,B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_GW,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_XI,B_LOB,P_G,P_GS,P_CG,P_SHO,P_CSHO,P_GF,P_W,P_L,P_SV,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_XI,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,F_G,F_OUT,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB
BOS192004150,box,1920-04-15,0,BOS07,R,1,BOS,WS1,1,1,0,0,1,,29,7,6,8,0,1,0,,6,,8,-10,4,-10,2,2,0,1,0,0,10,1,1,0,0,0,1,1,0,1,27,44,35,6,0,10,16,2,2,0,0,7,-13,4,-13,1,1,0,0,0,0,0,0,0,0,,,1,27,43,27,14,2,0,0,0
BOS192004170,box,1920-04-17,0,BOS07,R,1,BOS,WS1,1,1,0,0,1,,45,2,9,12,1,1,0,,1,,8,-13,4,-13,0,2,0,1,2,0,12,1,1,0,0,0,1,1,0,0,42,53,48,1,0,8,13,3,1,0,0,3,-9,11,-9,0,2,0,0,0,0,0,0,0,0,,,1,42,61,42,17,2,1,0,0
BOS192004191,evt,1920-04-19,1,BOS07,R,1,BOS,NYA,1,1,0,0,1,32,30,6,8,10,0,1,0,0,4,,2,0,1,2,0,0,0,4,0,0,2,1,1,1,1,0,0,1,0,0,27,32,31,0,0,5,7,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,16,8,,,1,27,43,27,16,0,1,0,0
BOS192004191,box,1920-04-19,1,BOS07,R,1,BOS,NYA,1,1,0,0,1,,30,6,8,10,0,1,0,,4,,2,-9,1,-9,0,0,0,4,0,0,2,1,1,1,1,0,0,1,0,0,27,32,31,0,0,5,7,2,0,0,0,1,-10,2,-10,0,0,0,0,0,0,0,0,0,0,,,1,27,43,27,16,0,1,0,0
BOS192004192,box,1920-04-19,2,BOS07,R,1,BOS,NYA,1,1,0,0,1,,33,8,10,11,1,0,0,,6,,4,-9,5,-9,0,2,0,1,0,0,7,1,1,1,0,0,0,1,0,0,27,42,36,3,0,7,9,2,0,0,0,5,-12,5,-12,1,0,0,0,1,0,0,0,0,0,,,1,27,41,27,11,3,0,0,0
BOS192004200,box,1920-04-20,0,BOS07,R,1,BOS,NYA,1,1,0,0,1,,32,3,10,11,1,0,0,,3,,5,-12,3,-12,0,2,0,2,0,0,10,1,1,1,0,0,0,1,0,0,27,34,29,2,0,3,4,1,0,0,0,4,-9,1,-9,0,1,0,0,0,0,0,0,0,0,,,1,27,40,27,11,2,0,0,0
WS1192004220,box,1920-04-22,0,WAS09,R,0,BOS,WS1,1,0,1,0,1,,36,5,13,15,2,0,0,,5,,4,-14,3,-14,0,2,0,0,3,0,10,1,1,0,0,0,1,0,1,0,24,41,30,8,0,11,13,2,0,0,0,11,-12,5,-12,0,3,0,0,1,0,0,0,0,0,,,1,24,43,24,18,1,1,0,2
WS1192004230,box,1920-04-23,0,WAS09,R,0,BOS,WS1,1,1,0,0,1,,36,4,11,14,1,1,0,,4,,3,-9,3,-9,0,1,0,0,2,0,9,1,1,1,0,0,0,1,0,0,27,38,34,2,0,7,8,1,0,0,0,2,-11,4,-11,1,1,0,0,0,0,0,0,0,0,,,1,27,38,27,10,1,0,0,0
WS1192004240,box,1920-04-24,0,WAS09,R,0,BOS,WS1,1,1,0,0,1,,35,7,12,20,4,2,0,,6,,4,-9,0,-9,0,3,0,0,2,0,8,1,1,1,0,0,0,1,0,0,27,37,32,3,0,7,8,1,0,0,0,5,-11,5,-11,0,0,0,0,0,0,0,0,0,0,,,1,27,40,27,12,1,3,0,0
WS1192004250,box,1920-04-25,0,WAS09,R,0,BOS,WS1,1,0,1,0,1,,31,0,7,8,1,0,0,,0,,2,-9,5,-9,1,0,0,1,1,0,7,1,1,1,0,0,0,0,1,0,24,31,27,2,0,7,9,2,0,0,0,2,-9,1,-9,1,1,0,0,0,0,0,0,0,0,,,1,24,41,24,13,4,1,0,0
PHA192004260,evt,1920-04-26,0,PHI11,R,0,BOS,PHA,1,1,0,0,1,39,34,9,11,16,0,1,1,0,9,,3,0,4,2,0,1,1,0,1,0,3,1,1,1,1,0,0,1,0,0,27,34,34,0,0,7,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,16,,,1,27,38,27,10,1,0,0,0
PHA192004260,box,1920-04-26,0,PHI11,R,0,BOS,PHA,1,1,0,0,1,,34,9,11,16,0,1,1,,9,,3,-10,4,-10,0,2,0,0,1,0,3,1,1,1,1,0,0,1,0,0,27,34,34,0,0,7,7,0,0,0,0,0,-12,1,-12,0,0,0,0,1,0,0,0,0,0,,,1,27,38,27,10,1,0,0,0
PHA192004280,evt,1920-04-28,0,PHI11,R,0,BOS,PHA,1,0,0,1,1,65,53,7,16,17,1,0,0,0,7,,8,0,8,0,0,3,1,0,1,0,16,1,1,0,0,0,1,0,0,0,42,59,51,7,5,12,18,3,0,1,0,5,0,7,0,1,1,1,0,1,0,0,0,16,16,,,1,42,64,42,20,2,0,0,1
PHA192004280,box,1920-04-28,0,PHI11,R,0,BOS,PHA,1,0,0,1,1,,53,7,16,17,1,0,0,,6,,8,-13,8,-13,0,4,0,0,1,0,16,1,1,0,0,0,1,0,0,0,42,59,51,7,0,12,18,3,0,1,0,5,-15,7,-15,1,2,0,0,1,0,0,0,0,0,,,1,42,65,42,21,2,0,0,1
