game.key,game.source,game.date,game.number,site.key,season.phase,team.alignment,team.key,opponent.key,R_G,R_W,R_L,R_T,B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_GW,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_XI,B_LOB,P_G,P_GS,P_CG,P_SHO,P_CSHO,P_GF,P_W,P_L,P_SV,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_XI,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,F_G,F_OUT,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB
NYA194504170,evt,1945-04-17,0,NYC16,R,0,BOS,NYA,1,0,1,0,1,36,33,4,9,12,0,0,1,0,4,,3,0,2,1,0,0,0,1,3,0,5,1,1,0,0,0,1,0,1,0,24,35,31,8,2,6,13,1,0,2,1,3,0,6,0,0,1,0,0,1,0,0,0,15,1,,,1,24,26,15,7,4,0,0,0
NYA194504170,box,1945-04-17,0,NYC16,R,0,BOS,NYA,1,0,1,0,1,,33,4,9,12,0,0,1,,4,,3,-11,2,1,0,0,0,1,3,0,5,1,1,0,0,0,1,0,1,0,24,35,31,8,0,6,13,1,0,2,0,3,-11,6,0,0,1,0,0,1,0,0,0,0,0,,,1,24,38,24,10,4,0,0,0
NYA194504180,evt,1945-04-18,0,NYC16,R,0,BOS,NYA,1,0,1,0,1,35,32,2,5,6,1,0,0,0,2,,2,0,3,1,1,0,0,0,0,0,6,1,1,0,0,0,1,0,1,0,24,36,29,6,6,8,8,0,0,0,0,7,0,5,2,0,0,0,0,1,0,2,1,7,9,,,1,24,34,24,10,0,2,0,0
NYA194504180,box,1945-04-18,0,NYC16,R,0,BOS,NYA,1,0,1,0,1,,32,2,5,6,1,0,0,,2,,2,-12,3,1,1,0,0,0,0,0,6,1,1,0,0,0,1,0,1,0,24,36,29,6,0,8,8,0,0,0,0,7,-9,5,2,0,0,0,0,1,0,0,0,0,0,,,1,24,34,24,10,0,2,0,0
NYA194504190,evt,1945-04-19,0,NYC16,R,0,BOS,NYA,1,0,1,0,1,36,35,3,7,9,2,0,0,0,3,,1,0,2,0,0,0,0,0,0,0,6,1,1,0,0,0,1,0,1,0,24,40,34,4,2,10,12,2,0,0,0,4,1,4,2,2,0,0,0,0,0,0,0,11,5,,,1,24,27,17,8,2,2,0,0
NYA194504190,box,1945-04-19,0,NYC16,R,0,BOS,NYA,1,0,1,0,1,,35,3,7,9,2,0,0,,3,,1,-15,2,0,0,0,0,0,0,0,6,1,1,0,0,0,1,0,1,0,24,40,34,4,0,10,12,2,0,0,0,4,-11,4,2,2,0,0,0,0,0,0,0,0,0,,,1,24,37,24,11,2,2,0,0
BOS194504200,box,1945-04-20,0,BOS07,R,1,BOS,PHA,1,0,1,0,1,,34,3,9,12,1,1,0,,3,,4,-15,4,2,0,0,0,0,0,0,8,1,1,0,0,0,1,0,1,0,27,39,34,5,0,9,13,1,0,1,0,4,-9,2,0,0,1,0,0,0,0,0,0,0,0,,,1,27,40,27,12,1,0,0,0
BOS194504200,ded,1945-04-20,0,BOS07,R,1,BOS,PHA,1,0,1,0,1,38,34,3,9,12,1,1,0,0,3,,4,0,4,2,0,0,0,0,0,0,8,1,1,0,0,0,1,0,1,0,27,39,34,5,5,9,13,1,0,1,0,4,0,2,0,0,1,0,0,0,0,1,0,16,7,,,1,27,14,11,2,1,0,0,0
BOS194504210,evt,1945-04-21,0,BOS07,R,1,BOS,PHA,1,0,1,0,1,40,37,2,10,13,0,0,1,0,2,,3,0,3,1,0,0,0,0,0,0,11,1,1,0,0,0,1,0,1,0,27,42,34,8,8,9,16,1,0,2,1,6,0,4,0,0,2,0,0,0,0,1,0,14,5,,,1,27,35,21,12,2,2,0,0
BOS194504210,box,1945-04-21,0,BOS07,R,1,BOS,PHA,1,0,1,0,1,,37,2,10,13,0,0,1,,2,,3,-12,3,1,0,0,0,0,0,0,11,1,1,0,0,0,1,0,1,0,27,42,34,8,0,9,16,1,0,2,0,6,-9,4,0,0,2,0,0,0,0,0,0,0,0,,,1,27,45,27,16,2,2,0,0
BOS194504220,box,1945-04-22,0,BOS07,R,1,BOS,PHA,1,0,1,0,1,,28,1,5,5,0,0,0,,1,,4,-11,6,3,2,0,0,0,0,0,6,1,1,0,0,0,1,0,1,0,27,43,36,6,0,12,15,3,0,0,0,5,-10,4,0,0,2,0,0,0,0,0,0,0,0,,,1,27,49,27,20,2,0,0,0
BOS194504220,ded,1945-04-22,0,BOS07,R,1,BOS,PHA,1,0,1,0,1,34,28,1,5,5,0,0,0,0,1,,4,0,6,3,2,0,0,0,0,0,6,1,1,0,0,0,1,0,1,0,27,43,36,6,6,12,15,3,0,0,0,5,0,4,0,0,2,0,0,0,0,2,1,19,0,,,1,27,10,6,2,2,0,0,0
