game.key,game.source,game.date,game.number,site.key,season.phase,team.alignment,team.key,opponent.key,R_G,R_W,R_L,R_T,B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_GW,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_XI,B_LOB,P_G,P_GS,P_CG,P_SHO,P_CSHO,P_GF,P_W,P_L,P_SV,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_XI,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,F_G,F_OUT,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB
ALS200807150,evt,2008-07-15,0,NYC16,A,1,ALS,NLS,1,1,0,0,1,65,57,4,14,20,3,0,1,0,4,,7,2,17,1,0,0,1,6,1,0,17,1,1,0,0,0,1,1,0,0,45,59,52,3,2,13,16,0,0,1,0,4,1,17,1,0,1,2,0,0,0,4,0,9,14,205,140,1,45,56,45,10,1,2,0,0
MIN200803310,evt,2008-03-31,0,MIN03,R,0,ANA,MIN,1,0,1,0,1,34,34,2,9,11,2,0,0,0,1,,0,0,5,1,0,0,0,0,0,0,5,1,1,0,0,0,1,0,1,0,24,36,33,3,3,10,13,3,0,0,0,3,1,6,0,0,0,0,0,0,0,0,0,10,7,131,82,1,24,35,24,11,0,1,0,0
MIN200804010,evt,2008-04-01,0,MIN03,R,0,ANA,MIN,1,1,0,0,1,47,43,9,15,25,4,0,2,0,9,,3,1,5,1,1,0,0,1,0,0,11,1,1,0,0,0,1,1,0,0,27,34,33,1,1,8,9,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,17,7,112,76,1,27,45,27,18,0,2,0,0
MIN200804020,evt,2008-04-02,0,MIN03,R,0,ANA,MIN,1,1,0,0,1,36,32,1,7,7,0,0,0,0,0,,2,1,7,1,1,1,0,1,0,0,8,1,1,0,1,1,1,1,0,1,27,29,27,0,0,4,4,0,0,0,0,2,0,5,4,0,0,0,0,0,0,0,0,12,5,90,57,1,27,46,27,17,2,4,0,0
MIN200804030,evt,2008-04-03,0,MIN03,R,0,ANA,MIN,1,1,0,0,1,36,35,5,9,21,3,0,3,0,5,,1,0,6,0,0,0,0,1,1,0,4,1,1,0,0,0,1,1,0,1,27,39,33,4,4,8,13,2,0,1,0,4,1,5,0,0,0,2,0,1,0,2,0,10,12,163,101,1,27,35,27,7,1,0,0,0
ANA200804040,evt,2008-04-04,0,ANA01,R,1,ANA,TEX,1,0,1,0,1,41,37,6,14,19,3,1,0,0,6,,4,0,4,4,0,0,0,0,0,0,8,1,1,0,0,0,1,0,1,0,27,43,38,11,11,12,22,5,1,1,1,4,0,5,0,1,0,0,0,3,0,0,0,11,9,174,101,1,27,40,27,12,1,0,0,0
ANA200804050,evt,2008-04-05,0,ANA01,R,1,ANA,TEX,1,1,0,0,1,35,33,2,12,13,1,0,0,0,2,,1,0,5,2,1,0,0,1,0,0,9,1,1,0,0,0,1,1,0,1,27,33,31,1,1,5,10,2,0,1,0,1,0,7,0,1,0,0,0,0,0,0,0,10,9,138,86,1,27,36,27,9,0,0,0,0
ANA200804060,evt,2008-04-06,0,ANA01,R,1,ANA,TEX,1,0,1,0,1,35,35,4,9,16,1,0,2,0,3,,0,0,7,1,0,0,0,1,1,0,4,1,1,0,0,0,1,0,1,0,27,45,39,10,10,14,26,1,1,3,0,3,1,4,1,2,0,1,0,0,0,0,0,13,9,169,108,1,27,38,27,11,0,1,0,0
ANA200804070,evt,2008-04-07,0,ANA01,R,1,ANA,CLE,1,1,0,0,1,41,33,6,9,15,0,0,2,1,5,,8,0,4,2,0,0,0,5,1,0,10,1,1,0,0,0,1,1,0,0,27,38,33,4,4,8,13,2,0,1,0,5,0,6,0,0,0,0,0,1,0,1,0,8,11,142,82,1,27,38,27,11,0,1,0,0
ANA200804080,evt,2008-04-08,0,ANA01,R,1,ANA,CLE,1,0,1,0,1,31,30,3,7,10,0,0,1,0,3,,0,0,4,2,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,27,40,31,4,4,7,11,1,0,1,0,5,0,6,1,3,1,0,0,1,0,2,0,8,10,154,90,1,27,38,27,11,0,1,0,0
ANA200804090,evt,2008-04-09,0,ANA01,R,1,ANA,CLE,1,1,0,0,1,36,33,9,8,21,1,0,4,1,9,,3,0,5,0,0,0,0,0,0,0,3,1,1,0,0,0,1,1,0,0,27,41,38,5,5,12,21,3,0,2,0,1,0,8,0,1,0,1,0,1,0,0,0,7,12,143,93,1,27,33,27,6,0,0,0,0
