game.key,game.source,game.date,game.number,site.key,season.phase,team.alignment,team.key,opponent.key,R_G,R_W,R_L,R_T,B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_GW,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_XI,B_LOB,P_G,P_GS,P_CG,P_SHO,P_CSHO,P_GF,P_W,P_L,P_SV,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_XI,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,F_G,F_OUT,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB
NLS201507140,evt,2015-07-14,0,CIN09,A,0,ALS,NLS,1,1,0,0,1,39,34,6,7,15,2,0,2,0,6,,4,0,15,0,0,0,1,1,0,0,6,1,1,0,0,0,1,1,0,0,27,36,33,3,2,6,11,0,1,1,0,2,0,9,0,0,0,1,0,1,0,0,0,10,8,130,80,1,27,39,27,10,2,0,0,0
SEA201504060,evt,2015-04-06,0,SEA03,R,0,ANA,SEA,1,0,1,0,1,32,29,1,4,7,0,0,1,0,1,,2,0,12,2,1,0,0,0,0,0,4,1,1,0,0,0,1,0,1,0,24,33,32,4,4,10,18,3,1,1,0,1,0,3,1,0,0,0,0,1,0,0,0,7,12,124,78,1,24,33,24,9,0,1,0,0
SEA201504070,evt,2015-04-07,0,SEA03,R,0,ANA,SEA,1,1,0,0,1,33,32,2,5,10,2,0,1,0,2,,1,0,8,1,0,0,0,0,0,0,4,1,1,0,1,1,1,1,0,1,27,30,29,0,0,2,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,13,10,111,74,1,27,41,27,14,0,0,0,0
SEA201504080,evt,2015-04-08,0,SEA03,R,0,ANA,SEA,1,1,0,0,1,39,34,5,10,15,2,0,1,0,4,,2,1,7,0,1,1,1,0,1,0,7,1,1,0,0,0,1,1,0,1,27,37,35,3,3,9,17,2,0,2,0,1,1,9,0,1,0,0,0,0,0,0,0,5,12,122,86,1,27,32,27,5,0,0,0,0
ANA201504100,evt,2015-04-10,0,ANA01,R,1,ANA,KCA,1,0,1,0,1,35,33,2,7,12,2,0,1,0,2,,2,0,9,1,0,0,0,0,0,0,6,1,1,0,0,0,1,0,1,0,27,41,35,4,4,9,13,1,0,1,0,2,0,6,0,3,1,0,0,0,0,4,1,8,12,158,105,1,27,37,27,8,2,0,0,0
ANA201504110,evt,2015-04-11,0,ANA01,R,1,ANA,KCA,1,0,1,0,1,33,32,4,6,10,1,0,1,0,4,,1,0,3,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0,1,0,27,42,36,6,6,12,19,1,0,2,0,4,0,8,1,2,0,0,0,0,0,4,1,6,10,148,90,1,27,37,27,10,0,1,0,0
ANA201504120,evt,2015-04-12,0,ANA01,R,1,ANA,KCA,1,0,1,0,1,33,30,2,5,9,1,0,1,0,1,,3,0,9,1,0,0,0,0,1,0,4,1,1,0,0,0,1,0,1,0,27,44,41,9,8,14,24,3,2,1,0,1,1,9,1,1,0,1,0,1,0,1,0,5,13,151,97,1,27,34,27,6,1,1,0,0
TEX201504130,evt,2015-04-13,0,ARL02,R,0,ANA,TEX,1,1,0,0,1,43,38,6,12,19,1,0,2,0,6,,5,0,5,0,0,0,0,1,0,0,10,1,1,0,0,0,1,1,0,1,27,35,33,3,3,7,9,2,0,0,0,1,0,11,0,0,0,1,0,1,0,1,0,3,12,146,96,1,27,32,27,4,1,0,0,0
TEX201504140,evt,2015-04-14,0,ARL02,R,0,ANA,TEX,1,0,1,0,1,37,32,2,7,9,2,0,0,0,2,,3,0,2,1,1,0,1,0,0,0,8,1,1,0,0,0,1,0,1,0,24,39,33,8,8,11,20,3,0,2,0,5,0,6,1,1,0,0,0,3,0,2,0,7,9,166,109,1,24,32,24,8,0,1,0,0
TEX201504150,evt,2015-04-15,0,ARL02,R,0,ANA,TEX,1,1,0,0,1,45,39,10,13,17,4,0,0,0,10,,5,1,6,0,0,1,0,2,0,0,8,1,1,0,0,0,1,1,0,0,27,37,33,2,2,6,13,1,0,2,0,3,0,7,0,1,0,0,0,0,0,0,0,6,14,143,92,1,27,32,27,5,0,0,0,0
HOU201504170,evt,2015-04-17,0,HOU03,R,0,ANA,HOU,1,1,0,0,1,35,31,6,6,14,0,1,2,0,6,,3,0,9,1,0,0,1,0,0,0,2,1,1,0,0,0,1,1,0,1,27,36,34,3,3,8,12,1,0,1,0,1,0,5,1,0,0,1,0,0,0,3,1,10,12,123,84,1,27,39,27,11,1,1,0,0
HOU201504180,evt,2015-04-18,0,HOU03,R,0,ANA,HOU,1,0,1,0,1,33,30,0,3,5,2,0,0,0,0,,3,0,13,0,0,0,0,0,0,0,6,1,1,0,0,0,1,0,1,0,24,33,28,4,4,4,10,0,0,2,0,5,1,11,0,0,0,0,0,0,0,1,0,5,8,135,81,1,24,31,24,6,1,0,0,0
HOU201504190,evt,2015-04-19,0,HOU03,R,0,ANA,HOU,1,0,1,0,1,34,34,3,8,14,0,0,2,0,3,,0,0,6,0,0,0,0,0,1,0,4,1,1,0,0,0,1,0,1,0,24,38,31,4,3,6,9,0,0,1,0,7,1,8,0,0,0,0,0,1,0,4,0,9,7,161,92,1,24,34,24,8,2,0,0,0
ANA201504200,evt,2015-04-20,0,ANA01,R,1,ANA,OAK,1,0,1,0,1,37,32,3,5,6,1,0,0,0,3,,5,0,7,1,0,0,0,1,0,0,7,1,1,0,0,0,1,0,1,0,27,38,32,6,6,8,17,3,0,2,0,4,0,6,0,0,0,2,0,0,0,0,0,7,13,139,85,1,27,34,27,7,0,1,0,0
ANA201504210,evt,2015-04-21,0,ANA01,R,1,ANA,OAK,1,1,0,0,1,44,39,14,15,24,3,0,2,0,11,,4,1,9,0,0,0,1,0,0,0,6,1,1,0,0,0,1,1,0,0,27,36,32,1,1,5,8,0,0,1,0,4,0,10,0,0,0,0,0,0,0,0,0,6,11,146,94,1,27,32,27,5,0,0,0,0
ANA201504220,evt,2015-04-22,0,ANA01,R,1,ANA,OAK,1,0,1,0,1,34,31,2,4,6,2,0,0,0,2,,3,0,10,0,0,0,0,0,0,0,5,1,1,0,0,0,1,0,1,0,27,45,41,9,9,18,22,1,0,1,0,2,1,5,2,0,1,1,0,1,0,4,4,7,11,158,105,1,27,39,27,12,0,2,0,0
ANA201504230,evt,2015-04-23,0,ANA01,R,1,ANA,OAK,1,1,0,0,1,29,25,2,1,4,0,0,1,0,2,,3,0,4,0,0,1,0,1,0,0,3,1,1,0,1,1,1,1,0,1,27,37,35,0,0,8,9,1,0,0,0,2,0,8,0,0,0,0,0,0,0,1,0,9,10,145,95,1,27,36,27,9,0,0,0,0
ANA201504240,evt,2015-04-24,0,ANA01,R,1,ANA,TEX,1,1,0,0,1,35,30,3,8,12,1,0,1,0,3,,3,0,8,1,1,0,1,1,0,0,8,1,1,0,0,0,1,1,0,1,27,33,27,2,2,3,4,1,0,0,0,5,0,7,2,0,1,0,0,0,0,0,0,10,7,134,89,1,27,38,27,10,1,2,0,0
ANA201504250,evt,2015-04-25,0,ANA01,R,1,ANA,TEX,1,1,0,0,1,34,29,4,8,8,0,0,0,0,4,,4,0,5,0,1,0,0,0,0,0,6,1,1,0,0,0,1,1,0,1,27,38,34,1,1,8,9,1,0,0,0,3,0,6,0,1,0,0,0,1,0,4,0,7,13,146,85,1,27,35,27,8,0,0,0,0
ANA201504260,evt,2015-04-26,0,ANA01,R,1,ANA,TEX,1,0,1,0,1,51,46,4,15,21,3,0,1,0,4,,4,0,9,0,1,0,0,0,0,0,14,1,1,0,0,0,1,0,1,0,33,52,42,5,3,9,13,1,0,1,0,7,1,9,0,2,0,1,0,0,0,1,0,9,14,203,124,1,33,43,33,8,2,0,0,0
OAK201504280,evt,2015-04-28,0,OAK01,R,0,ANA,OAK,1,0,1,0,1,31,30,2,6,6,0,0,0,0,2,,1,0,9,1,0,0,0,0,1,0,2,1,1,0,0,0,1,0,1,0,24,33,31,6,6,7,13,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,10,12,116,76,1,24,32,24,7,1,1,0,0
