game.key,game.source,game.date,game.number,site.key,season.phase,team.alignment,team.key,opponent.key,R_G,R_W,R_L,R_T,B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_GW,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_XI,B_LOB,P_G,P_GS,P_CG,P_SHO,P_CSHO,P_GF,P_W,P_L,P_SV,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_XI,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,F_G,F_OUT,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB
NYA193104140,evt,1931-04-14,0,NYC16,R,0,BOS,NYA,1,0,1,0,1,34,34,3,8,14,1,1,1,0,3,,0,0,7,0,0,0,0,0,1,0,4,1,1,0,0,0,1,0,1,0,24,36,33,6,4,11,14,0,0,1,0,3,0,3,0,0,0,0,0,0,0,2,1,8,9,,,1,24,36,24,11,1,1,0,0
NYA193104140,box,1931-04-14,0,NYC16,R,0,BOS,NYA,1,0,1,0,1,,34,3,8,14,1,1,1,,3,,0,-14,7,-14,0,0,0,0,1,0,4,1,1,0,0,0,1,0,1,0,24,36,33,6,0,11,14,0,0,1,0,3,-9,3,-9,0,0,0,0,0,0,0,0,0,0,,,1,24,36,24,11,1,1,0,0
NYA193104150,evt,1931-04-15,0,NYC16,R,0,BOS,NYA,1,0,1,0,1,40,35,7,8,15,1,0,2,0,7,,4,0,14,0,0,1,0,0,0,0,6,1,1,0,0,0,1,0,1,0,26,48,41,8,6,13,17,1,0,1,0,5,0,4,0,0,2,0,0,0,0,2,1,11,9,,,1,26,40,26,10,4,0,0,1
NYA193104150,box,1931-04-15,0,NYC16,R,0,BOS,NYA,1,0,1,0,1,,35,7,8,15,1,0,2,,7,,4,-20,14,-20,0,1,0,0,0,0,6,1,1,0,0,0,1,0,1,0,26,48,41,8,0,13,17,1,0,1,0,5,-11,4,-11,0,2,0,0,0,0,0,0,0,0,,,1,26,40,26,10,4,0,0,1
NYA193104160,evt,1931-04-16,0,NYC16,R,0,BOS,NYA,1,0,1,0,1,36,32,1,8,9,1,0,0,0,1,,1,1,3,2,0,3,0,0,0,0,8,1,1,1,0,0,0,0,1,0,25,35,29,2,1,7,11,2,1,0,0,5,2,7,1,0,1,0,0,0,0,0,0,6,8,,,1,25,36,25,10,1,1,0,0
NYA193104160,box,1931-04-16,0,NYC16,R,0,BOS,NYA,1,0,1,0,1,,32,1,8,9,1,0,0,,1,,1,-9,3,-9,0,3,0,0,0,0,8,1,1,1,0,0,0,0,1,0,25,35,29,2,0,7,11,2,1,0,0,5,-9,7,-9,0,1,0,0,0,0,0,0,0,0,,,1,25,35,25,9,1,1,0,0
NYA193104180,evt,1931-04-18,0,NYC16,R,0,BOS,NYA,1,1,0,0,1,62,57,5,11,17,3,0,1,0,5,,4,0,12,0,1,0,0,1,0,0,12,1,1,0,0,0,1,1,0,0,45,56,49,4,4,10,14,1,0,1,0,4,2,8,1,0,3,0,0,0,0,0,0,12,19,,,1,45,61,45,16,0,2,0,0
NYA193104180,box,1931-04-18,0,NYC16,R,0,BOS,NYA,1,1,0,0,1,,57,5,11,17,3,0,1,,5,,4,-14,12,-14,1,0,0,1,0,0,12,1,1,0,0,0,1,1,0,0,45,56,49,4,0,10,14,1,0,1,0,4,-10,8,-10,0,3,0,0,0,0,0,0,0,0,,,1,45,59,45,14,0,2,0,0
WS1193104190,box,1931-04-19,0,WAS09,R,0,BOS,WS1,1,0,1,0,1,,36,0,10,12,2,0,0,,0,,0,-15,3,-15,0,0,0,0,0,0,9,1,1,0,0,0,1,0,1,0,24,40,36,8,0,10,13,1,1,0,0,4,-9,1,-9,0,0,0,0,0,0,0,0,0,0,,,1,24,33,24,7,2,0,0,0
WS1193104190,ded,1931-04-19,0,WAS09,R,0,BOS,WS1,1,0,1,0,1,36,36,0,10,12,2,0,0,0,0,,0,0,3,1,0,0,0,0,0,0,9,1,1,0,0,0,1,0,1,0,24,40,36,8,8,10,13,1,1,0,0,4,0,1,0,0,0,0,0,0,0,2,2,20,3,,,1,24,6,4,0,2,0,0,0
WS1193104200,evt,1931-04-20,0,WAS09,R,0,BOS,WS1,1,1,0,0,1,47,44,13,18,27,9,0,0,0,11,,1,0,3,0,0,2,0,0,0,0,7,1,1,1,0,0,0,1,0,0,27,36,35,3,3,8,13,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,2,,,1,27,2,1,0,1,0,0,0
