game.key,game.source,game.date,game.number,site.key,season.phase,team.alignment,team.key,opponent.key,R_G,R_W,R_L,R_T,B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_GW,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_XI,B_LOB,P_G,P_GS,P_CG,P_SHO,P_CSHO,P_GF,P_W,P_L,P_SV,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_XI,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,F_G,F_OUT,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB
NLS197207250,evt,1972-07-25,0,ATL01,A,0,ALS,NLS,1,0,1,0,1,36,33,3,6,11,2,0,1,0,3,,2,0,8,1,0,1,0,0,0,0,3,1,1,0,0,0,1,0,1,0,28,37,33,4,4,8,11,0,0,1,0,3,0,5,2,0,1,0,0,0,0,0,0,8,12,,,1,28,38,28,10,0,2,0,0
SDN197204150,evt,1972-04-15,0,SAN01,R,0,ATL,SDN,1,0,1,0,1,43,35,5,9,12,3,0,0,0,5,,8,1,6,1,0,0,0,1,0,0,11,1,1,0,0,0,1,0,1,0,24,33,30,6,6,9,12,1,1,0,0,2,0,4,1,0,1,0,0,0,0,1,0,9,8,,,1,24,37,24,12,1,1,0,0
SDN197204161,evt,1972-04-16,1,SAN01,R,0,ATL,SDN,1,1,0,0,1,42,32,5,11,13,2,0,0,0,5,,8,1,8,1,0,1,1,1,0,0,10,1,1,0,0,0,1,1,0,1,27,34,32,1,0,6,6,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,11,10,,,1,27,42,27,14,1,1,0,0
SDN197204162,evt,1972-04-16,2,SAN01,R,0,ATL,SDN,1,0,1,0,1,37,33,0,6,7,1,0,0,0,0,,3,0,8,0,0,1,0,0,0,0,10,1,1,0,0,0,1,0,1,0,24,34,32,3,3,10,12,2,0,0,0,1,0,7,0,0,1,0,0,0,0,0,0,6,8,,,1,24,33,24,7,2,1,0,0
ATL197204170,evt,1972-04-17,0,ATL01,R,1,ATL,LAN,1,0,1,0,1,34,34,3,6,9,0,0,1,0,2,,0,0,7,0,0,0,0,0,0,0,4,1,1,0,0,0,1,0,1,0,27,49,41,8,7,16,23,1,0,2,0,6,0,3,0,0,2,0,0,0,0,4,1,5,16,,,1,27,35,27,7,1,0,0,0
ATL197204180,evt,1972-04-18,0,ATL01,R,1,ATL,LAN,1,0,1,0,1,35,29,1,4,4,0,0,0,0,1,,6,0,5,2,0,0,0,0,0,0,7,1,1,0,0,0,1,0,1,0,27,35,35,3,3,9,13,1,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,10,12,,,1,27,39,27,9,3,2,0,0
ATL197204190,evt,1972-04-19,0,ATL01,R,1,ATL,LAN,1,0,1,0,1,31,29,0,2,3,1,0,0,0,0,,1,0,2,0,0,1,0,0,0,0,4,1,1,0,0,0,1,0,1,0,27,34,32,4,4,6,8,0,1,0,0,1,0,7,1,0,1,0,0,0,0,0,0,7,11,,,1,27,39,27,10,2,1,0,0
ATL197204200,evt,1972-04-20,0,ATL01,R,1,ATL,LAN,1,0,1,0,1,34,33,1,7,11,1,0,1,0,1,,1,0,2,1,0,0,0,0,0,0,6,1,1,0,0,0,1,0,1,0,27,46,44,11,11,18,22,2,1,0,0,0,0,3,1,1,0,1,0,2,0,3,3,11,12,,,1,27,41,27,12,2,1,0,0
ATL197204210,evt,1972-04-21,0,ATL01,R,1,ATL,CIN,1,0,1,0,1,39,35,3,11,19,2,0,2,0,3,,3,1,4,1,0,0,1,0,0,0,9,1,1,0,0,0,1,0,1,0,27,39,33,4,4,8,12,1,0,1,0,4,1,4,1,1,1,0,0,1,0,2,0,12,7,,,1,27,46,27,17,2,2,0,0
ATL197204220,evt,1972-04-22,0,ATL01,R,1,ATL,CIN,1,1,0,0,1,42,35,11,17,33,1,0,5,0,11,,3,0,3,2,1,3,0,0,0,0,7,1,1,0,0,0,1,1,0,1,27,37,31,7,7,9,13,1,0,1,0,4,0,3,1,0,0,2,0,1,0,1,1,6,15,,,1,27,37,27,10,0,1,0,1
